,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2
IncomeRevenues,8693000,22977000,30645000,30051000,18710000,21103000,41647000,18214000,7328000,27541000
IncomeRevenues_yy,,,,,115.23,-8.16,35.90,-39.39,-60.83,30.51
IncomeRevenues_sy,,,,,4.68,9.87,8.11,14.70,10.97,14.47
IncomeRevenues_qq,,164.32,33.37,-1.94,-37.74,12.79,97.36,-56.27,-59.77,275.84
IncomeRevenues_sq,,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18
IncomeCostOfSales,5296000,9691000,14568000,15061000,11159000,11054000,26949000,15111000,7808000,22568000
IncomeCostOfSales_yy,,,,,110.69,14.06,84.99,0.33,-30.03,104.17
IncomeCostOfSales_sy,,,,,2.31,4.74,3.30,3.08,6.28,12.98
IncomeCostOfSales_qq,,82.98,50.32,3.38,-25.91,-0.94,143.80,-43.93,-48.33,189.06
IncomeCostOfSales_sq,,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79
IncomeDistributionExpenses,12000,119000,70000,809000,3000,435000,506000,2259000,1229000,-152000
IncomeDistributionExpenses_yy,,,,,-73.88,266.44,623.55,179.24,37608.87,-135.06
IncomeDistributionExpenses_sy,,,,,-11.60,-11.91,3.44,-3.02,-2.34,-18.11
IncomeDistributionExpenses_qq,,850.57,-41.05,1057.10,-99.60,13235.15,16.40,346.55,-45.60,-112.40
IncomeDistributionExpenses_sq,,17.81,-10.65,-1.44,-14.48,4.57,-12.94,3.98,0.51,0.14
IncomeAdministrativExpenses,377000,359000,623000,1838000,453000,786000,881000,2928000,1141000,1990000
IncomeAdministrativExpenses_yy,,,,,20.03,118.90,41.37,59.28,151.86,153.09
IncomeAdministrativExpenses_sy,,,,,3.66,3.65,8.22,-4.37,1.24,5.68
IncomeAdministrativExpenses_qq,,-4.83,73.42,195.09,-75.35,73.56,12.00,232.46,-61.03,74.41
IncomeAdministrativExpenses_sq,,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93
IncomeGrossProfit,3007000,12809000,15385000,12343000,7095000,8828000,13312000,-2084000,-2849000,3136000
IncomeGrossProfit_yy,,,,,135.96,-31.08,-13.47,-116.89,-140.16,-64.48
