,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3568000,5033000,7492000,4249000,8898000,12818000,22848000,9282000,3566000,21770000,20198000,23762000,11259000,27624000,8069000,6052000,7582000,12373000,15070000,22647000,15126000,16753000
IncomeRevenues_yy,,,,,149.36,154.70,204.96,118.47,-59.92,69.84,-11.60,155.99,215.73,26.89,-60.05,-74.53,-32.66,-55.21,86.76,274.21,99.50,35.40
IncomeRevenues_sy,,,,,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,41.03,48.87,-43.29,109.43,44.05,78.25,-59.37,-61.58,510.49,-7.22,17.65,-52.62,145.35,-70.79,-25.00,25.28,63.19,21.80,50.28,-33.21,10.76
IncomeRevenues_sq,,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,1442000,425000,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,-100.00,-100.00,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,9.72,-6.77,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,-70.52,-100.00,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,15.00,-18.02,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-484000,-926000,-51000,-1413000,681000,2189000,3728000,1923000,-1375000,2921000,1815000,5844000,799000,1156000,-824000,-190000,-482000,189000,-1684000,2714000,986000,2577000
IncomeGrossProfit_yy,,,,,240.84,336.40,7482.27,236.10,-301.88,33.43,-51.32,203.85,158.11,-60.42,-145.40,-103.25,-160.33,-83.65,-104.37,1528.42,304.56,1263.49
IncomeGrossProfit_sy,,,,,23.94,21.77,27.74,6.79,-3.66,14.32,-15.81,-9.80,-13.46,-24.51,-29.80,-9.30,17.57,-32.87,-3.43,-20.65,28.19,25.89
IncomeGrossProfit_qq,,-91.49,94.55,-2698.05,148.20,221.42,70.31,-48.41,-171.49,312.44,-37.86,221.98,-86.33,44.68,-171.28,76.94,-153.68,139.21,-991.01,261.16,-63.67,161.36
IncomeGrossProfit_sq,,30.65,16.78,-15.25,-6.98,51.52,10.60,-8.87,-25.52,21.38,4.86,-14.76,-30.77,30.83,-12.83,16.65,-31.87,-16.02,19.88,10.16,58.34,15.96
IncomeOtherOperatingIncome,10000,17000,91000,-49000,1000,11000,2000,-85000,-1482000,-34000,-44000,707000,41000,554000,-348000,425000,-323000,520000,-488000,725000,-164000,220000
IncomeOtherOperatingIncome_yy,,,,,-92.00,-36.75,-97.34,-73.69,-181273.58,-407.55,-1921.19,928.95,102.77,1729.41,-690.91,-39.89,-887.80,-6.14,-40.23,70.59,49.23,-57.69
IncomeOtherOperatingIncome_sy,,,,,13.57,3.44,-1.36,-22.75,-27.14,-2.74,-33.16,5.34,25.36,23.12,-9.20,-6.66,9.07,-6.14,-23.22,75.07,-0.68,-9.27
IncomeOtherOperatingIncome_qq,,70.96,420.08,-154.02,101.67,1251.47,-78.15,-3630.17,-1637.62,97.71,-29.41,1706.82,-94.20,1251.22,-162.82,222.13,-176.00,260.99,-193.85,248.57,-122.62,234.15
IncomeOtherOperatingIncome_sq,,34.65,-10.93,147.28,-55.52,-2.04,11.38,48.90,-33.12,17.13,-16.80,183.20,-20.94,12.86,-30.19,81.32,-41.00,9.96,-30.31,194.70,-70.82,32.06
IncomeOtherOperatingCosts,9000,7000,64000,46000,5000,2000,14000,396000,15000,104000,49000,323000,233000,1347000,139000,273000,129000,583000,-511000,1078000,43000,6518000
IncomeOtherOperatingCosts_yy,,,,,-47.02,-76.40,-78.72,765.06,208.39,6086.79,260.40,-18.41,1453.33,1195.19,183.67,-15.48,-44.64,-56.72,-467.63,294.87,-66.67,1018.01
IncomeOtherOperatingCosts_sy,,,,,18.83,36.64,120.86,3.27,-42.72,31.96,-7.02,13.06,61.62,11.21,88.08,-2.82,15.68,18.08,16.59,6.69,11.06,11.93
IncomeOtherOperatingCosts_qq,,-22.42,797.21,-28.39,-89.37,-65.44,708.80,2811.58,-96.21,593.33,-52.88,559.18,-27.86,478.11,-89.68,96.40,-52.75,351.94,-187.65,310.96,-96.01,15058.14
IncomeOtherOperatingCosts_sq,,19.11,-27.12,352.97,-64.96,45.35,-1.44,62.75,-75.92,74.71,-30.71,226.78,-61.31,5.56,-28.69,151.61,-50.38,22.66,-17.89,215.30,-69.23,18.69
IncomeEBIT,-483000,-916000,-24000,-1508000,677000,2199000,3717000,1442000,-2872000,2783000,1722000,6228000,607000,363000,-1311000,-38000,-934000,126000,-1661000,2361000,779000,-3721000
IncomeEBIT_yy,,,,,240.30,340.10,15911.95,195.63,-524.19,26.58,-53.68,331.85,121.14,-86.96,-176.13,-100.61,-253.87,-65.29,-26.70,6313.16,183.40,-3053.17
IncomeEBIT_sy,,,,,31.22,12.41,8.70,11.67,-5.06,14.86,-4.48,-8.98,-20.06,4.42,-40.90,-11.12,12.22,-29.59,6.17,12.99,26.82,16.86
IncomeEBIT_qq,,-89.75,97.43,-6314.65,144.90,224.72,69.08,-61.20,-299.14,196.90,-38.12,261.67,-90.25,-40.20,-461.16,97.10,-2357.89,113.49,-1418.25,242.14,-67.01,-577.66
IncomeEBIT_sq,,16.59,16.65,-7.94,-16.00,24.96,-0.64,-5.22,-24.60,11.57,10.18,-19.46,-39.90,30.32,-13.65,22.20,-18.63,-7.28,22.60,-5.95,12.31,-11.62
IncomeFinanceIncome,8000,6000,5000,21000,7000,-7000,143000,-57000,14000,14000,58000,22000,25000,35000,19000,9000,13000,17000,28000,37000,14000,18000
IncomeFinanceIncome_yy,,,,,-16.63,-207.73,2965.58,-366.80,113.32,308.36,-59.37,138.86,78.57,150.00,-67.24,-59.09,-48.00,-51.43,47.37,311.11,7.69,5.88
IncomeFinanceIncome_sy,,,,,-25.14,-50.16,40.96,117.37,106.72,-38.61,-64.50,-23.25,-49.02,42.25,-6.12,-61.67,,-65.09,67.71,-36.62,-22.08,108.94
