,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceCosts,2027000,1968000,665000,765000,796000,672000,445000,582000,1001000,529000,1336000,1583000,1198000,1733000
IncomeFinanceCosts_yy,,,,,-60.73,-65.85,-33.08,-23.92,25.75,-21.28,200.22,171.99,19.68,227.60
IncomeFinanceCosts_sy,,,,,-13.16,19.08,-34.43,22.52,-0.87,-21.28,80.29,-29.34,5.62,33.33
IncomeFinanceCosts_qq,,-2.91,-66.21,15.04,4.05,-15.58,-33.78,30.79,71.99,-47.15,152.55,18.49,-24.32,44.66
IncomeFinanceCosts_sq,,-0.02,-1.27,18.84,-14.08,19.76,-35.30,80.31,-32.98,1.98,-3.10,8.78,-2.91,24.64
IncomeOtherIncome,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,
IncomeNetGrossProfit,19579000,4421000,2611000,18281000,-505000,7308000,8351000,28289000,3919000,12564000,33122000,17564000,10691000,6811000
IncomeNetGrossProfit_yy,,,,,-102.58,65.30,219.84,54.75,876.04,71.92,296.62,-37.91,172.80,-45.79
IncomeNetGrossProfit_sy,,,,,55.87,9.48,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeNetGrossProfit_qq,,-77.42,-40.94,600.15,-102.76,1547.13,14.27,238.75,-86.15,220.59,163.63,-46.97,-39.13,-36.29
IncomeNetGrossProfit_sq,,31.43,-20.72,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeExtraordinarProfit,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,19579000,4421000,2611000,18281000,-505000,7308000,8351000,28289000,3919000,12564000,33122000,17564000,10691000,6811000
IncomeBeforeTaxProfit_yy,,,,,-102.58,65.30,219.84,54.75,876.04,71.92,296.62,-37.91,172.80,-45.79
IncomeBeforeTaxProfit_sy,,,,,55.87,9.48,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeBeforeTaxProfit_qq,,-77.42,-40.94,600.15,-102.76,1547.13,14.27,238.75,-86.15,220.59,163.63,-46.97,-39.13,-36.29
IncomeBeforeTaxProfit_sq,,31.43,-20.72,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeDiscontinuedProfit,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,
IncomeNetProfit,21131000,3807000,5571000,12270000,-628000,16490000,8519000,12931000,2946000,11201000,33040000,10095000,8492000,5248000
IncomeNetProfit_yy,,,,,-102.97,333.15,52.92,5.39,569.11,-32.07,287.84,-21.93,188.26,-53.15
IncomeNetProfit_sy,,,,,54.90,74.51,14.18,5.42,5.02,11.68,44.06,-14.19,44.78,20.03
IncomeNetProfit_qq,,-81.98,46.34,120.25,-105.12,2725.80,-48.34,51.79,-77.22,280.21,194.97,-69.45,-15.88,-38.20
IncomeNetProfit_sq,,15.62,17.13,85.44,-57.27,23.52,-10.41,165.17,-66.45,73.45,-1.63,30.86,-32.24,-2.23
IncomeShareholderNetProfit,7268000,496000,5570000,12269000,-627000,16496000,8519000,12930000,2946000,11201000,32210000,10114000,6133000,4905000
IncomeShareholderNetProfit_yy,,,,,-108.63,3225.81,52.94,5.39,569.86,-32.10,278.10,-21.78,108.18,-56.21
IncomeShareholderNetProfit_sy,,,,,46.07,74.50,7.03,5.42,5.02,11.68,44.06,-5.10,44.88,10.99
IncomeShareholderNetProfit_qq,,-93.18,1022.98,120.27,-105.11,2730.94,-48.36,51.78,-77.22,280.21,187.56,-68.60,-39.36,-20.02
IncomeShareholderNetProfit_sq,,15.62,17.13,85.44,-57.27,23.52,-10.42,165.70,-66.88,73.45,-3.66,37.18,-35.04,-7.42
BalanceNoncurrentAssets,,142218000,,138848000,139939000,180880000,184547000,183606000,185660000,177464000,185729000,186344000,194635000,203017000
BalanceNoncurrentAssets_yy,,,,,,27.19,,32.24,32.67,-1.89,0.64,1.49,4.83,14.40
BalanceNoncurrentAssets_sy,,,,,,-1.81,,1.85,-0.61,-1.73,-1.45,3.43,6.44,4.34
BalanceNoncurrentAssets_qq,,,-100.00,,0.79,29.26,2.03,-0.51,1.12,-4.41,4.66,0.33,4.45,4.31
BalanceNoncurrentAssets_sq,,,0.40,,0.86,1.20,-0.30,1.05,-0.89,1.89,1.78,1.19,0.80,0.70
BalanceIntangibleAssets,,166000,,260000,325000,384000,571000,1039000,1214000,1413000,1896000,2207000,2291000,2505000
BalanceIntangibleAssets_yy,,,,,,131.33,,299.62,273.54,267.97,232.05,112.42,88.71,77.28
BalanceIntangibleAssets_sy,,,,,,-6.34,,-0.20,-0.47,-0.44,-0.24,-0.52,-0.46,0.01
BalanceIntangibleAssets_qq,,,-100.00,,25.00,18.15,48.70,81.96,16.84,16.39,34.18,16.40,3.81,9.34
BalanceIntangibleAssets_sq,,,-1.22,,-0.13,-0.92,-0.05,-0.04,-1.48,-0.48,,-0.34,-0.19,
BalanceProperty,,118207000,,117394000,117093000,148883000,150607000,159867000,161005000,154720000,161403000,166362000,170944000,177531000
BalanceProperty_yy,,,,,,25.95,,36.18,37.50,3.92,7.17,4.06,6.17,14.74
BalanceProperty_sy,,,,,,-2.75,,0.46,-0.28,-0.55,0.04,4.15,5.73,4.13
BalanceProperty_qq,,,-100.00,,-0.26,27.15,1.16,6.15,0.71,-3.90,4.32,3.07,2.75,3.85
BalanceProperty_sq,,,-0.31,,-0.02,1.49,-0.36,1.25,-0.50,0.73,0.33,0.28,0.67,3.25
