,2014/Q1,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CashflowInvestingCashflow_yy,,,,,,-104.25,21.28,-79.67,17.06,-6.71,-6.82,57.08,1419.52,-24.83,132.09
CashflowInvestingCashflow_sy,,,,,,-12.93,-27.15,15.99,25.40,4.68,42.87,-16.37,34.14,10.76,0.01
CashflowInvestingCashflow_qq,,,-85.32,41.06,-27.67,-46.48,28.58,-34.53,41.06,-88.46,28.51,45.95,1911.96,-117.83,118.38
CashflowInvestingCashflow_sq,,,-13.56,-53.93,-27.67,38.11,-44.49,-6.90,-13.05,-11.47,-2.33,42.05,4.08,-24.16,-76.06
CashflowCapex,,94000,47000,3000,3000,8000,13000,30000,3000,8000,3000,8000,10000,5000,16000
CashflowCapex_yy,,,,,,-91.49,-72.34,900.00,,,-76.92,-73.33,233.33,-37.50,433.33
CashflowCapex_sy,,,,,,-7.85,32.51,-30.33,,,-63.54,54.51,-12.62,4.30,1.20
CashflowCapex_qq,,,-50.00,-93.62,,166.67,62.50,130.77,-90.00,166.67,-62.50,166.67,25.00,-50.00,220.00
CashflowCapex_sq,,,2.40,-41.49,,-49.23,46.48,-31.50,85.37,-30.62,-15.19,16.87,23.89,-35.44,13.13
CashflowFinancingCashflow,1080000,649000,1437000,1113000,1345000,2695000,6851000,-2993000,1937000,2280000,2009000,641000,-6938000,,
CashflowFinancingCashflow_yy,,-39.92,,,,315.25,376.76,-368.91,44.01,-15.40,-70.68,121.42,-458.18,-100.00,-100.00
CashflowFinancingCashflow_sy,,-23.72,,,,8.22,21.36,-69.72,21.06,40.37,-41.52,-32.53,30.20,-47.52,-6.88
CashflowFinancingCashflow_qq,,,121.42,-22.55,20.84,100.37,154.21,-143.69,164.72,17.71,-11.89,-68.09,-1182.37,100.00,
CashflowFinancingCashflow_sq,,,71.38,-22.55,20.84,-61.97,146.41,-9.78,0.58,116.44,36.12,-68.09,54.10,50.92,
CashflowShareCapitalCash,,,,,,,5364000,4735000,0,,-25000,0,0,,
CashflowShareCapitalCash_yy,,,,,,,,,,,-100.47,-100.00,,,100.00
CashflowShareCapitalCash_sy,,,,,,,,,,,-100.00,-100.00,,,0.05
CashflowShareCapitalCash_qq,,,,,,,,-11.73,-100.00,,,100.00,,,
CashflowShareCapitalCash_sq,,,,,,,,-100.00,-100.00,,,116.05,,,
CashflowDividend,,,,,,,,,,,,,,,
CashflowDividend_yy,,,,,,,,,,,,,,,
CashflowDividend_sy,,,,,,,,,,,,,,,
CashflowDividend_qq,,,,,,,,,,,,,,,
CashflowDividend_sq,,,,,,,,,,,,,,,
CashflowNetCashflow,15000,-572000,-109000,-176000,-99000,108000,5229000,-5302000,-28000,276000,237000,-757000,3351000,-3055000,-321000
CashflowNetCashflow_yy,,-3906.99,,,,118.88,4897.25,-2912.50,71.72,155.56,-95.47,85.72,12067.86,-1206.88,-235.44
CashflowNetCashflow_sy,,-26.11,,,,-90.35,-49.65,-88.09,90.16,21.19,-4.02,30.85,48.34,59.56,-18.81
CashflowNetCashflow_qq,,,80.94,-61.47,43.75,209.09,4741.67,-201.40,99.47,1085.71,-14.13,-419.41,542.67,-191.17,89.49
CashflowNetCashflow_sq,,,92.12,-61.47,73.76,-81.13,55.89,52.30,105.02,-97.28,-14.13,67.52,94.19,-86.03,-96.16
