,2014/Q1,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,,,,,,,26000,1000,30000,,,,,97000,140000
IncomeRevenues_yy,,,,,,,,,,,-100.00,-100.00,-100.00,,
IncomeRevenues_sy,,,,,,,,,,,-7.34,12.97,6.02,,
IncomeRevenues_qq,,,,,,,,-96.15,2900.00,-100.00,,,,,44.33
IncomeRevenues_sq,,,,,,,,-9.84,8.80,0.72,,,,,3.79
IncomeCostOfSales,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,
IncomeGrossProfit,-764000,-199000,-147000,-222000,-592000,-362000,-821000,-850000,-535000,-751000,-409000,-563000,-2189000,-564000,-391000
IncomeGrossProfit_yy,,73.95,,,,-81.91,-458.50,-282.88,9.63,-107.46,50.18,33.76,-309.16,24.90,4.40
IncomeGrossProfit_sy,,-25.48,,,,19.83,-46.92,-48.21,-26.79,-63.24,-32.60,33.49,29.01,26.79,10.56
IncomeGrossProfit_qq,,,26.13,-51.02,-166.67,38.85,-126.80,-3.53,37.06,-40.37,45.54,-37.65,-288.81,74.23,30.67
IncomeGrossProfit_sq,,,26.13,-31.59,-70.49,34.88,-50.77,-4.84,-22.88,20.55,-13.37,5.67,-30.59,26.12,3.38
IncomeOtherOperatingIncome,7000,25000,31000,101000,58000,6000,108000,131000,54000,13000,110000,1000,27408000,,226000
IncomeOtherOperatingIncome_yy,,250.78,,,,-76.00,248.39,29.70,-6.90,116.67,1.85,-99.24,50655.56,-100.00,105.45
IncomeOtherOperatingIncome_sy,,-15.78,,,,-13.11,209.73,29.70,-1.40,101.42,-2.18,18.09,80.15,45.75,-31.52
IncomeOtherOperatingIncome_qq,,,24.00,225.81,-42.57,-89.66,1700.00,21.30,-58.78,-75.93,746.15,-99.09,2740700.00,-100.00,
