,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,42461000,61367000,63490000,83764000,77450000,61034000,71034000,100922000,52961000,42584000,64042000,99126000,75015000,83898000,199741000,220338000,161051000,193683000
IncomeRevenues_yy,,,,,82.40,-0.54,11.88,20.48,-31.62,-30.23,-9.84,-1.78,41.64,97.02,211.89,122.28,114.69,130.86
IncomeRevenues_sy,,,,,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,44.53,3.46,31.93,-7.54,-21.20,16.38,42.08,-47.52,-19.59,50.39,54.78,-24.32,11.84,138.08,10.31,-26.91,20.26
IncomeRevenues_sq,,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,38525000,54395000,55814000,70518000,72361000,51955000,58175000,92773000,45410000,41380000,49515000,77210000,63918000,74188000,161347000,191818000,138748000,172201000
IncomeCostOfSales_yy,,,,,87.83,-4.49,4.23,31.56,-37.25,-20.35,-14.89,-16.78,40.76,79.28,225.85,148.44,117.07,132.11
IncomeCostOfSales_sy,,,,,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,41.19,2.61,26.34,2.61,-28.20,11.97,59.47,-51.05,-8.87,19.66,55.93,-17.22,16.07,117.48,18.89,-27.67,24.11
IncomeCostOfSales_sq,,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
IncomeDistributionExpenses,1012000,807000,581000,1375000,1611000,1488000,1950000,3800000,3758000,1888000,2534000,9539000,2852000,4375000,12421000,6745000,5479000,4868000
