,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1053000,1037000,1088000,1200000,1591000,1763000,1792000,2370000,1657000,1573000,1917000,3583000,3175000,3605000,3215000,4548000,6170000,5764000,6021000,7068000,7424000,11867000,8238000,10731000,7655000,10848000,10231000,12609000,10694000,11746000,10668000,12858000,10059000,12620000
IncomeRevenues_yy,,,,,51.09,70.01,64.71,97.52,4.15,-10.78,6.98,51.15,91.63,129.21,67.72,26.96,94.30,59.86,87.25,55.39,20.34,105.89,36.83,51.84,3.10,-8.59,24.19,17.49,39.71,8.28,4.27,1.98,-5.94,7.44
IncomeRevenues_sy,,,,,16.48,8.99,20.57,31.73,10.78,11.50,7.07,4.42,15.79,-0.16,9.91,4.61,10.10,26.62,9.01,6.98,18.23,8.12,13.91,6.07,16.81,-1.21,4.49,17.49,4.33,8.28,4.27,1.74,-2.76,8.68
IncomeRevenues_qq,,-1.52,4.92,10.29,32.58,10.81,1.64,32.27,-30.09,-5.07,21.87,86.89,-11.37,13.55,-10.82,41.46,35.64,-6.58,4.46,17.39,5.05,59.84,-30.58,30.27,-28.67,41.72,-5.69,23.24,-15.18,9.84,-9.18,20.53,-21.77,25.46
IncomeRevenues_sq,,12.63,-5.42,25.96,-13.19,6.44,4.12,28.34,-25.43,12.43,-7.30,17.28,-13.86,4.88,-11.84,24.07,-15.56,23.68,-4.91,21.64,-10.12,21.68,-9.91,30.44,-17.50,9.12,-5.69,19.41,-15.79,3.40,-3.20,23.12,-17.45,11.61
IncomeCostOfSales,,,,4008000,,,,,,,5025000,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,-100.00,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,30.44,,,,,,,-1.46,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,-100.00,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,-15.54,,,,,,,6.05,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,171000,95000,,146000,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,-100.00,-100.00,,-100.00,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,-5.59,-24.72,,15.55,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,-44.36,-100.00,,-100.00,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,-9.23,49.24,,17.35,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,229000,66000,108000,-33000,442000,414000,95000,200000,-14000,58000,78000,482000,227000,231000,129000,-177000,1168000,297000,763000,822000,949000,2320000,1345000,1723000,703000,2148000,903000,1975000,1403000,1113000,633000,1339000,969000,1373000
IncomeGrossProfit_yy,,,,,93.01,527.27,-12.04,706.91,-103.17,-85.99,-17.89,140.48,1721.87,298.51,65.22,-136.68,414.49,28.42,491.96,565.40,-18.76,681.54,76.29,109.62,-25.90,-7.41,-32.83,14.62,99.57,-48.19,-29.91,-32.22,-30.96,23.35
IncomeGrossProfit_sy,,,,,32.20,9.48,-11.82,15.83,-48.06,-13.80,-18.48,-4.47,7.86,-0.58,5.52,-9.92,40.00,7.99,18.44,12.48,9.55,-4.21,28.72,12.10,-25.90,-29.63,-12.76,14.62,25.37,26.49,23.82,11.53,14.63,15.73
