,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingCosts_yy,,,,,,-99.06,,,,-100.00,,,,,,,-53.00,,,-100.00,-100.00,663.87,,,,-87.89,,,-80.15,-27.36,-39.10,-35.81,-8.69,726.54,-65.14,189.53
IncomeOtherOperatingCosts_sy,,,,,,-38.36,,,,-9.84,,,,,,,11.78,,,-14.24,6.16,-1.84,,,,-9.79,,,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,,-100.00,,,,-100.00,,,,,,,-100.00,,,1466.67,5598.09,-100.00,,,,-100.00,,,17.40,-63.22,1.43,-54.68,329.68,-69.17,6.90,-35.53,3789.54,-98.70,787.90
IncomeOtherOperatingCosts_sq,,,-78.34,,,,-67.61,,,,,,,125.07,,,-13.28,217.00,-59.72,,,,-72.53,,,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,,-91000,,,,-298000,,,,,,,-259000,,,-128000,-65000,-42000,-57000,4000,-29000,-185000,-37000,-45000,843000,1746000,-60000,-165000,2420000,-955000,-179000,-2174000,-2257000,6379000,3170000,-2451000
IncomeEBIT_yy,,,,,,-227.44,,,,100.00,,,,,,,74.85,,,102.81,54.86,-345.62,33.95,-1355.83,2965.89,1043.39,-60.40,-265.89,187.06,-154.68,-197.87,-1214.42,-193.29,768.12,1871.49,-12.71
IncomeEBIT_sy,,,,,,56.43,,,,46.31,,,,,,,11.81,,,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,,100.00,,,,100.00,,,,,,,100.00,,,49.12,36.24,-36.50,106.35,-916.94,-529.40,79.77,-20.72,1964.32,107.19,-103.44,-175.38,1562.65,-139.46,81.26,-1115.15,-3.81,382.64,-50.31,-177.31
IncomeEBIT_sq,,,55.91,,,,-6.14,,,,,,,-31.26,,,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,,,,,,1595000,,,,,,,277000,,,0,0,0,0,20000,2000,-20000,,0,6000,12000,5000,3000,6000,8000,5000,3000,5000,92000,117000,115000
IncomeFinanceIncome_yy,,,,,,,,,,-100.00,,,,,,,-99.95,,,13353.33,1460.00,-14412.23,-100.00,-100.00,149.91,158.75,,,8.52,-27.39,-6.67,-10.03,-17.79,982.31,2450.55,3576.43
IncomeFinanceIncome_sy,,,,,,,,,,101.02,,,,,,,-64.12,,,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,,,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,,,,,,-100.00,,,,,,,-100.00,,,200.00,-7.33,-28.06,19780.00,-88.23,-950.17,100.00,,,99.86,-57.82,-29.41,82.36,33.74,-45.79,-31.95,66.62,1660.71,27.76,-1.91
IncomeFinanceIncome_sq,,,,,,,19.52,,,,,,,-19.05,,,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,,,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
IncomeFinanceCosts,,10000,,,,3000,,,,,,,116000,,,0,0,18000,,8000,0,20000,,0,32000,0,1000,53000,18000,0,0,0,0,1000,0,17000
IncomeFinanceCosts_yy,,,,,,-74.80,,,,-100.00,,,,,,,-100.00,,,4095.00,,11.24,,-99.87,,-99.50,,525500.00,-43.15,-352.48,-91.81,-99.95,-99.81,329.41,-4.92,71866.67
IncomeFinanceCosts_sy,,,,,,-10.06,,,,34.26,,,,,,,-26.85,,,22.17,,24.32,,-12.22,,-7.74,,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,,-100.00,,,,-100.00,,,,,,,-100.00,,,100.00,,-100.00,,-100.00,,-100.00,,318289.99,-99.68,1375.25,3427.52,-65.57,-101.41,147.84,-80.33,41.67,1620.59,-80.17,14789.66
IncomeFinanceCosts_sq,,,,,,,-11.97,,,,,,,-26.68,,,-12.04,,-13.32,,6.33,,-25.46,,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,,54000,,,,,,,,,,,359000,,,413000,392000,1044000,-8000,,,-145000,,-2000,,,-58000,149000,,,,,,,,
IncomeOtherIncome_yy,,,,,,-100.00,,,,,,,,,,,9.23,,,-100.00,-100.00,-113.86,100.00,,,100.00,,7252.15,,,100.00,-100.00,,,,
IncomeOtherIncome_sy,,,,,,87.59,,,,,,,,,,,9.23,,,100.00,100.00,-46.96,-22.70,,,-52.10,,38.24,,,25.70,-100.00,,,,
IncomeOtherIncome_qq,,,-100.00,,,,,,,,,,,-100.00,,,-5.06,166.18,-100.76,100.00,,,100.00,,100.00,,,358.30,-100.00,,,,,,,
IncomeOtherIncome_sq,,,97.46,,,,,,,,,,,-67.84,,,-5.06,-8.79,-30.19,-3.41,,,-3.87,,75.73,,,-33.21,-29.29,,,,,,,
IncomeNetGrossProfit,1000,-15000,-23000,168000,-33000,1182000,-132000,484000,-1058000,1538000,14000,106000,141000,-106000,345000,-60000,327000,984000,-65000,23000,-27000,-370000,-37000,-47000,819000,1758000,-115000,-65000,2316000,-946000,-174000,-2171000,-2252000,6471000,3287000,-2353000
IncomeNetGrossProfit_yy,,,,,-3400.00,7982.07,-473.91,188.10,-3106.06,30.08,110.61,-78.10,113.33,-106.89,2364.29,-156.56,132.02,1028.44,-118.70,139.02,-108.27,-137.60,41.94,-302.27,3125.33,575.04,-205.74,-37.43,182.82,-153.82,-52.36,-3239.28,-197.23,783.94,1984.18,-8.36
IncomeNetGrossProfit_sy,,,,,25.89,101.06,-19.89,49.06,0.28,58.24,14.63,-37.72,-8.21,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,-1600.00,-53.33,830.43,-119.64,3682.76,-111.16,466.67,-318.60,245.37,-99.09,657.14,33.02,-175.18,425.47,-117.38,645.70,200.82,-106.55,136.26,-215.73,-1267.01,89.88,-26.33,1831.04,114.65,-106.51,43.21,3662.21,-140.85,81.56,-1144.58,-3.72,387.34,-49.20,-171.58
IncomeNetGrossProfit_sq,,-45.88,47.14,6.64,59.01,-25.39,-22.92,47.77,19.47,24.95,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,1000,-15000,-23000,168000,-33000,1182000,-132000,484000,-1058000,1538000,14000,106000,141000,-106000,345000,-60000,327000,984000,-65000,23000,-27000,-370000,-37000,-47000,819000,1758000,-115000,-65000,2316000,-946000,-174000,-2171000,-2252000,6471000,3287000,-2353000
IncomeBeforeTaxProfit_yy,,,,,-3400.00,7982.07,-473.91,188.10,-3106.06,30.08,110.61,-78.10,113.33,-106.89,2364.29,-156.56,132.02,1028.44,-118.70,139.02,-108.27,-137.60,41.94,-302.27,3125.33,575.04,-205.74,-37.43,182.82,-153.82,-52.36,-3239.28,-197.23,783.94,1984.18,-8.36
IncomeBeforeTaxProfit_sy,,,,,25.89,101.06,-19.89,49.06,0.28,58.24,14.63,-37.72,-8.21,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
