,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrInvestments_sq,,,0.18,,,,,,-100.00,,1.50,1.68,1.32,-1.86,0.32,-0.56,,4.19,0.21,0.03,0.41,-1.58,0.78,0.01,1.40,0.51,,,,-0.80,,1.32,,,,-0.78
BalanceOtherNoncurrentAssets,,,,,,,,,,,,,,,,,,,,,,98000,,80000,81000,73000,3000,73000,143000,394000,393000,516000,750000,708000,643000,709000
BalanceOtherNoncurrentAssets_yy,,,,,,,,,,,,,,,,,,,,,,,,,,-25.71,,-9.75,76.94,439.70,12022.04,611.29,424.32,79.70,63.69,37.45
BalanceOtherNoncurrentAssets_sy,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,,7.27,12.63,-3.12,7.50,8.73,13.39,2.03,9.50,-0.68
BalanceOtherNoncurrentAssets_qq,,,,,,,,,,,,,,,,,,,,,,,-100.00,,0.49,-9.69,-95.56,2139.81,97.00,175.45,-0.27,31.43,45.22,-5.59,-9.15,10.36
BalanceOtherNoncurrentAssets_sq,,,,,,,,,,,,,,,,,,,,,,,-1.45,,0.10,0.25,,2.21,-1.46,-0.46,1.32,5.30,5.44,-8.23,3.08,-1.39
BalanceCurrentAssets,691000,324000,322000,2663000,548000,1776000,1908000,3263000,1445000,3310000,2840000,3264000,3464000,3387000,3679000,,3460000,3598000,3501000,3659000,4645000,1064000,4313000,882000,1129000,1075000,628000,11846000,1844000,1494000,1358000,1096000,1838000,28336000,26879000,25946000
BalanceCurrentAssets_yy,,,,,-20.69,448.03,492.55,22.53,163.69,86.41,48.85,0.03,139.72,2.33,29.54,-100.00,-0.12,6.23,-4.85,,34.26,-70.44,23.19,-75.88,-75.71,1.04,-85.44,1242.54,63.42,39.04,116.27,-90.75,-0.34,1796.20,1878.66,2268.17
BalanceCurrentAssets_sy,,,,,-10.16,25.25,4.94,11.88,15.06,13.19,9.30,-0.12,4.06,3.02,9.15,15.91,6.42,15.68,11.34,,14.73,6.89,11.38,10.18,12.21,6.48,9.94,11.56,8.24,9.60,10.55,-0.44,10.25,15.14,15.11,12.91
BalanceCurrentAssets_qq,,-53.11,-0.62,727.02,-79.42,224.02,7.45,71.02,-55.72,129.07,-14.20,14.93,6.13,-2.22,8.62,-100.00,,3.99,-2.70,4.51,26.96,-77.10,305.43,-79.54,27.90,-4.77,-41.56,1785.88,-84.43,-18.97,-9.09,-19.35,67.76,1441.63,-5.14,-3.47
BalanceCurrentAssets_sq,,18.69,-1.00,-1.02,-100.00,20.48,0.94,8.67,-100.00,1.14,1.37,-5.62,-1.62,-1.28,3.65,6.32,,-0.19,1.18,3.47,0.12,1.98,6.60,-0.17,-0.95,-1.09,1.79,3.80,-1.29,2.94,0.48,-0.18,1.88,5.23,-1.04,-0.16
BalanceInventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentReceivables,,303000,,,,319000,,,,,,,373000,,,,262000,142000,206000,309000,384000,45000,491000,207000,73000,300000,298000,274000,285000,443000,398000,401000,854000,681000,448000,565000
BalanceCurrentReceivables_yy,,,,,,5.24,,,,-100.00,,,,,,,-29.71,,,,46.48,-68.24,139.02,-32.96,-81.12,567.35,-39.24,32.26,292.94,47.65,33.49,46.36,199.62,53.84,12.49,40.62
BalanceCurrentReceivables_sy,,,,,,17.50,,,,8.28,,,,,,,8.20,,,,17.51,12.51,9.14,16.49,14.16,10.18,14.29,12.03,19.65,17.36,12.25,9.77,11.50,9.35,7.57,11.40
BalanceCurrentReceivables_qq,,,-100.00,,,,-100.00,,,,,,,-100.00,,,,-46.01,45.18,50.55,24.14,-88.30,992.70,-57.77,-65.04,313.66,-0.52,-8.08,3.88,55.44,-10.06,0.79,112.65,-20.19,-34.24,26.00
BalanceCurrentReceivables_sq,,,2.38,,,,-8.39,,,,,,,-3.22,,,,-3.24,4.98,3.56,4.00,-0.60,2.11,6.84,4.12,-1.27,7.50,7.37,3.02,1.86,0.73,3.86,4.98,-2.55,1.94,3.62
BalanceCurrentInvestments,,,,309000,,1442000,,2307000,1050000,3086000,2338000,3066000,3090000,3188000,3425000,,3198000,3442000,3295000,3349000,4261000,350000,3821000,286000,1055000,226000,325000,11569000,17000,13000,20000,8000,10000,10000,11000,7000
BalanceCurrentInvestments_yy,,,,,,,,646.60,,114.02,,32.90,194.29,3.31,46.49,-100.00,3.49,7.98,-3.79,,33.25,-89.84,15.97,-91.46,-75.23,-35.40,-91.50,3946.11,-98.41,-94.22,-93.84,-99.93,-41.74,-23.33,-45.65,-13.88
BalanceCurrentInvestments_sy,,,,,,,,12.62,,-0.17,,-14.94,-100.00,-13.89,-6.79,8.33,7.03,-20.26,-3.69,,-26.20,-16.96,,-28.96,-9.51,-8.82,-4.30,4.30,2.72,-2.94,-8.59,-1.56,-0.76,-4.13,-6.78,-8.87
BalanceCurrentInvestments_qq,,,,,-100.00,,-100.00,,-54.49,193.90,-24.24,31.14,0.78,3.17,7.43,-100.00,,7.65,-4.28,1.63,27.23,-91.79,992.15,-92.52,269.14,-78.59,43.74,3461.02,-99.85,-22.32,53.34,-60.87,25.00,2.23,8.70,-38.00
BalanceCurrentInvestments_sq,,,,,-100.00,,-19.45,,-100.00,-97.37,1.27,-4.73,,0.81,-1.96,0.66,,-6.94,-2.99,-2.69,,-4.45,1.31,-8.28,0.34,-4.66,,0.48,,,,-0.74,1.18,0.80,-0.10,
BalanceCash,,21000,,,,15000,,,,,,,,,,,,3000,,,,660000,,364000,,548000,,,1542000,1037000,939000,686000,434000,27643000,26418000,25373000
BalanceCash_yy,,,,,,-29.52,,,,-100.00,,,,,,,,,,,,18917.44,,,,-16.97,,-100.00,,89.32,,,-71.86,2565.58,2712.16,3600.72
BalanceCash_sy,,,,,,44.37,,,,-32.51,,,,,,,,,,,,31.28,,,,13.45,,-9.07,,-4.79,,,-11.52,5.80,-1.73,-14.94
BalanceCash_qq,,,-100.00,,,,-100.00,,,,,,,,,,,,-100.00,,,,-100.00,,-100.00,,-100.00,,,-32.75,-9.41,-27.02,-36.71,6270.70,-4.43,-3.96
BalanceCash_sq,,,-22.07,,,,-26.34,,,,,,,,,,,,-13.94,,,,15.80,,-12.22,,-4.11,,,11.07,-1.49,-13.85,-1.81,10.86,-19.30,-15.65
BalanceOtherCurrentAssets,,,,,,,,,,,,,1000,,,,,10000,,0,0,9000,,25000,1000,1000,5000,2000,0,1000,1000,1000,541000,2000,2000,2000
BalanceOtherCurrentAssets_yy,,,,,,,,,,,,,,,,,-100.00,,,,,-12.51,,9340.74,246.67,-89.59,,-91.25,-5.38,38.38,-86.88,-69.87,109765.23,26.67,190.49,210.86
BalanceOtherCurrentAssets_sy,,,,,,,,,,,,,,,,,27.75,,,,,6.21,,3.03,-8.41,17.32,,10.53,20.26,20.99,-0.05,23.94,8.50,12.08,-0.81,4.88
BalanceOtherCurrentAssets_qq,,,,,,,,,,,,,,-100.00,,,,,-100.00,,-44.44,5991.33,-100.00,,-97.96,82.88,405.78,-53.64,-77.94,167.48,-52.05,6.50,80337.05,-99.69,9.96,13.97
BalanceOtherCurrentAssets_sq,,,,,,,,,,,,,,-25.60,,,,,29.37,,-0.70,-16.89,28.01,,-1.93,-13.75,37.09,-10.21,2.27,0.05,20.80,6.50,-8.79,-5.42,13.45,2.36
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,691000,472000,466000,3567000,1023000,2533000,2814000,3855000,2350000,4208000,3748000,4194000,4358000,4293000,4574000,,4689000,5934000,4776000,5988000,7536000,6849000,7571000,7057000,7912000,10198000,15884000,25152000,22495000,21815000,21637000,19599000,18494000,53628000,57454000,54542000
BalanceTotalAssets_yy,,,,,48.05,436.57,503.86,8.07,129.72,66.15,33.19,8.79,85.45,2.02,22.04,-100.00,7.60,38.22,4.41,,60.71,15.43,58.54,17.85,5.00,48.89,109.79,256.43,184.31,113.92,36.22,-22.08,-17.79,145.83,165.53,178.29
BalanceTotalAssets_sy,,,,,11.13,21.48,17.72,23.47,19.45,10.99,11.62,5.88,11.46,5.74,11.01,2.72,3.24,10.51,5.21,,9.16,8.61,8.32,8.47,10.56,6.99,7.68,6.80,4.97,9.33,7.54,5.03,7.09,7.08,9.50,11.96
BalanceTotalAssets_qq,,-31.69,-1.27,665.45,-71.32,147.57,11.11,36.99,-39.04,79.06,-10.93,11.90,3.91,-1.49,6.55,-100.00,,26.54,-19.52,25.38,25.85,-9.11,10.55,-6.79,12.12,28.88,55.76,58.35,-10.56,-3.02,-0.82,-9.42,-5.64,189.98,7.13,-5.07
BalanceTotalAssets_sq,,14.05,-1.12,1.77,-100.00,10.40,-0.03,4.76,-100.00,11.65,2.48,0.46,-1.40,0.23,-0.09,1.18,,2.06,0.46,2.74,1.51,0.09,2.54,1.78,0.67,1.04,0.55,3.07,0.48,3.35,0.82,-0.08,1.95,3.53,0.54,0.06
BalanceCapital,404000,400000,376000,2992000,947000,1874000,2287000,3025000,1538000,3291000,3306000,3611000,3752000,3682000,4027000,,4392000,5241000,4279000,5189000,6662000,5367000,6693000,5577000,6432000,7124000,8598000,4920000,20823000,20196000,20052000,18293000,16468000,51127000,53769000,51858000
BalanceCapital_yy,,,,,134.41,368.45,508.24,1.10,62.41,75.63,44.56,19.37,143.95,11.88,21.81,-100.00,17.06,42.35,6.26,,51.69,2.39,56.42,7.47,-3.45,32.74,28.46,-11.79,223.71,183.51,133.23,271.84,-20.91,153.15,168.14,183.49
BalanceCapital_sy,,,,,13.68,13.63,9.28,18.28,16.39,10.47,10.30,9.33,15.40,9.92,13.17,10.82,3.97,16.39,11.48,,8.50,9.50,12.03,9.38,8.04,3.66,4.08,3.73,2.69,6.54,5.27,4.33,5.43,1.67,4.20,4.61
BalanceCapital_qq,,-0.99,-6.00,695.74,-68.35,97.87,22.05,32.27,-49.16,113.98,0.46,9.23,3.90,-1.87,9.37,-100.00,,19.33,-18.36,21.28,28.38,-19.45,24.72,-16.67,15.33,10.74,20.69,-42.78,323.26,-3.01,-0.71,-8.78,-9.98,210.46,5.17,-3.55
BalanceCapital_sq,,0.65,1.85,0.41,-100.00,9.83,2.07,1.86,-100.00,9.34,0.46,-1.04,-0.48,-0.52,2.25,0.69,,2.74,1.50,-0.17,2.71,0.37,1.78,0.07,2.46,-1.60,1.41,1.00,1.84,2.44,0.82,-2.88,1.33,0.57,1.34,-1.93
BalanceShareCapital,500000,500000,500000,684000,584000,584000,500000,,,,,,684000,,,,684000,684000,684000,684000,784000,784000,784000,784000,884000,884000,884000,884000,1484000,1484000,1484000,1484000,1484000,2984000,2984000,2984000
BalanceShareCapital_yy,,,,,16.80,16.80,,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,14.62,14.62,14.62,14.62,12.76,12.76,12.76,12.76,67.87,67.87,67.87,67.87,,101.08,101.08,101.08
BalanceShareCapital_sy,,,,,-0.02,0.38,,,-50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,36.80,-14.62,,-14.38,-100.00,,,,,,-100.00,,,,,,,14.62,,,,12.76,,,,67.87,,,,,101.08,,
BalanceShareCapital_sq,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,,,,,,336000,,,,,,,1036000,,,,1036000,1036000,1036000,4647000,6047000,9138000,6047000,5755000,6655000,2836000,6655000,4680000,13779000,13779000,13779000,13779000,13779000,41529000,41529000,41529000
BalanceReserve_yy,,,,,,,,,,-100.00,,,,,,,,,,,483.66,782.00,483.66,23.84,10.05,-68.96,10.05,-18.68,107.06,385.86,107.06,194.45,,201.40,201.40,201.40
BalanceReserve_sy,,,,,,,,,,13.35,,,,,,,,,,,8.70,8.70,2.20,10.27,12.22,10.93,10.58,2.51,2.67,8.31,6.10,4.81,,1.29,2.16,3.31
BalanceReserve_qq,,,,,,,-100.00,,,,,,,-100.00,,,,,,348.53,30.13,51.12,-33.83,-4.83,15.64,-57.38,134.64,-29.68,194.45,,,,,201.40,,
BalanceReserve_sq,,,,,,,,,,,,,,,,,,,,,,,,3.85,,0.01,,2.85,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,109000,3533000,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,-100.00,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.72,-15.73,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,3135.90,-100.00,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,0.32,,,,,,,
BalanceNoncurrentLiabilities,,,,,,240000,,,,,,,240000,,,,240000,240000,240000,240000,240000,1480000,240000,1466000,1466000,1805000,2678000,4999000,1666000,1597000,1565000,1277000,1084000,2333000,3037000,2538000
BalanceNoncurrentLiabilities_yy,,,,,,,,,,-100.00,,,,,,,0.12,,,,,515.76,,510.20,510.17,21.98,1014.51,240.94,13.61,-11.51,-41.55,-74.45,-34.96,46.05,94.00,98.67
BalanceNoncurrentLiabilities_sy,,,,,,,,,,12.25,,,,,,,-3.10,,,,,5.51,,1.45,12.97,14.81,25.16,27.05,13.61,9.81,11.40,1.65,7.06,0.42,6.62,8.91
BalanceNoncurrentLiabilities_qq,,,,,,,-100.00,,,,,,,-100.00,,,,,,,,515.76,-83.76,510.17,,23.09,48.39,86.66,-66.68,-4.13,-1.99,-18.40,-15.16,115.26,30.20,-16.44
BalanceNoncurrentLiabilities_sq,,,,,,,-1.59,,,,,,,-3.12,,,,,,,,-0.98,-0.79,2.42,,,-0.39,2.48,-1.49,-1.19,-1.11,-0.67,,-0.46,-0.67,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,614000,,567000,567000,642000,1194000,642000,,,,,,,,
BalanceNoncurrentBorrowings_yy,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,,13.17,-100.00,-100.00,-100.00,-100.00,,,,
BalanceNoncurrentBorrowings_sy,,,,,,,,,,,,,,,,,,,,,,,,,,-3.48,,-12.24,2.92,3.66,-9.38,-9.08,,,,
BalanceNoncurrentBorrowings_qq,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,13.17,86.03,-46.25,-100.00,,,,,,,
BalanceNoncurrentBorrowings_sq,,,,,,,,,,,,,,,,,,,,,,,-2.30,,,-3.29,-2.58,-1.65,-2.64,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,,,,,240000,,,,,,,240000,,,,240000,240000,240000,240000,240000,866000,240000,899000,899000,1163000,1484000,4357000,1666000,1597000,1565000,1277000,1084000,2333000,3037000,2538000
BalanceNoncurrentOtherLiabilities_yy,,,,,,,,,,-100.00,,,,,,,0.12,,,,,260.45,,274.16,274.15,34.27,517.59,384.63,85.29,37.32,5.47,-70.69,-34.96,46.05,94.00,98.67
BalanceNoncurrentOtherLiabilities_sy,,,,,,,,,,10.77,,,,,,,0.12,,,,,9.15,,1.49,4.49,15.80,17.82,2.48,3.02,8.04,8.16,,10.26,0.91,0.53,2.48
BalanceNoncurrentOtherLiabilities_qq,,,,,,,-100.00,,,,,,,-100.00,,,,,,,,260.45,-72.26,274.15,,29.35,27.61,193.60,-61.77,-4.13,-1.99,-18.40,-15.16,115.26,30.20,-16.44
BalanceNoncurrentOtherLiabilities_sq,,,,,,,-0.51,,,,,,,-1.01,,,,,,,,0.26,-0.06,3.24,,0.65,-0.02,1.12,-0.32,2.20,,-1.06,0.55,1.38,0.37,0.22
BalanceCurrentLiabilities,284000,72000,86000,301000,53000,418000,254000,555000,541000,488000,424000,329000,367000,356000,293000,,57000,452000,257000,558000,633000,3000,638000,13000,14000,1269000,4499000,11701000,7000,22000,19000,29000,942000,169000,648000,147000
BalanceCurrentLiabilities_yy,,,,,-81.34,481.21,195.35,84.39,920.75,16.62,66.93,-40.72,-32.16,-27.05,-30.90,-100.00,-84.52,27.01,-12.29,,1014.91,-99.43,148.32,-97.63,-97.87,48727.13,604.95,88340.44,-51.25,-98.29,-99.57,-99.75,14206.92,681.39,3246.38,407.90
BalanceCurrentLiabilities_sy,,,,,41.12,20.82,31.94,20.40,-24.49,8.51,13.72,20.43,21.70,3.67,6.62,4.48,9.65,10.73,14.23,,14.94,8.43,13.69,3.58,9.61,13.08,16.55,10.23,7.72,1.91,-1.16,6.45,4.70,14.90,21.56,24.10
BalanceCurrentLiabilities_qq,,-74.65,19.44,250.00,-82.39,689.57,-39.30,118.50,-2.52,-9.80,-13.11,-22.41,11.55,-3.00,-17.70,-100.00,,696.08,-43.16,117.29,13.40,-99.59,24454.44,-97.93,2.12,9293.17,254.51,160.09,-99.94,228.96,-10.61,49.16,3161.75,-82.03,282.83,-77.36
BalanceCurrentLiabilities_sq,,-7.46,-5.50,8.68,-100.00,13.29,1.15,-2.11,-100.00,9.88,3.18,0.16,-4.23,3.00,-0.50,11.55,,3.88,1.20,6.17,1.22,-3.05,3.61,0.14,1.38,3.82,-0.04,2.03,0.36,2.87,-1.46,7.69,0.85,6.43,-0.14,2.50
BalanceCurrentTradePayablesv,,68000,,,,,,,,,,,353000,,,,,24000,,,,2000,,,,39000,,,7000,12000,14000,24000,927000,42000,48000,22000
BalanceCurrentTradePayablesv_yy,,,,,,-100.00,,,,,,,,,,,-100.00,,,,,-89.42,,,,1446.93,,,,-70.04,,,13971.56,259.71,234.75,-5.93
BalanceCurrentTradePayablesv_sy,,,,,,-2.41,,,,,,,,,,,-0.10,,,,,12.69,,,,11.52,,,,18.92,,,8.43,11.78,5.71,14.86
BalanceCurrentTradePayablesv_qq,,,-100.00,,,,,,,,,,,-100.00,,,,,-100.00,,,,-100.00,,,,-100.00,,,75.60,24.23,66.27,3779.58,-95.51,15.61,-53.28
BalanceCurrentTradePayablesv_sq,,,-1.74,,,,,,,,,,,7.59,,,,,0.06,,,,1.31,,,,4.28,,,9.09,0.41,-0.28,-1.18,8.84,-3.08,5.22
BalanceCurrentBorrowings,,,,,,0,,,,,,,,,,,,261000,,,,,,,,1230000,,,,,,,,,600000,
BalanceCurrentBorrowings_yy,,,,,,,,,,100.00,,,,,,,,,,,,-100.00,,,,,,,,-100.00,,,,,,
BalanceCurrentBorrowings_sy,,,,,,,,,,5.98,,,,,,,,,,,,-2.05,,,,,,,,7.37,,,,,,
BalanceCurrentBorrowings_qq,,,,,,,100.00,,,,,,,,,,,,-100.00,,,,,,,,-100.00,,,,,,,,,-100.00
BalanceCurrentBorrowings_sq,,,,,,,-1.81,,,,,,,,,,,,-3.50,,,,,,,,0.24,,,,,,,,,0.60
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,4000,,,,419000,,,,,,,14000,,,,57000,168000,257000,558000,633000,0,638000,13000,14000,,4499000,11701000,,10000,5000,5000,16000,128000,,124000
BalanceCurrentOtherLiabilities_yy,,,,,,10369.75,,,,-100.00,,,,,,,305.71,,,,1014.91,-99.94,148.32,-97.63,-97.87,-100.00,604.95,88340.44,-100.00,,-99.89,-99.96,,1164.24,-100.00,2385.00
BalanceCurrentOtherLiabilities_sy,,,,,,44.92,,,,1.85,,,,,,,-4.15,,,,19.13,8.20,21.12,11.48,1.60,18.59,19.82,10.04,0.76,,5.13,22.54,,13.40,18.50,23.94
BalanceCurrentOtherLiabilities_qq,,,-100.00,,,,-100.00,,,,,,,-100.00,,,,195.04,53.36,117.29,13.40,-99.98,613525.00,-97.93,2.12,-100.00,,160.09,-100.00,,-50.50,,210.02,723.74,-100.00,
BalanceCurrentOtherLiabilities_sq,,,,,,,4.36,,,,,,,-1.08,,,,8.47,4.86,7.72,-3.26,4.28,5.13,2.77,-1.48,6.16,,2.63,-0.16,,-1.75,,-0.72,3.44,-0.82,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,688000,472000,462000,3293000,1000000,2533000,2541000,3580000,2079000,3779000,3730000,3940000,4359000,4038000,4320000,0,4689000,5934000,4776000,5988000,7536000,6849000,7572000,7057000,7912000,10198000,15884000,25152000,22495000,21815000,21637000,19599000,18494000,53628000,57454000,54542000
BalanceTotalEquityAndLiabilities_yy,,,,,45.35,436.57,450.00,8.72,107.90,49.21,46.79,10.06,109.67,6.85,15.82,-100.00,7.58,46.95,10.56,,60.71,15.43,58.53,17.85,4.99,48.89,109.78,256.43,184.31,113.92,36.22,-22.08,-17.79,145.83,165.53,178.29
BalanceTotalEquityAndLiabilities_sy,,,,,11.13,21.48,17.72,23.26,19.45,10.99,11.62,5.88,11.68,5.74,11.01,2.72,3.24,10.67,6.16,,9.16,8.61,8.32,8.47,10.56,6.99,7.68,7.19,4.97,7.77,7.37,2.92,6.59,7.08,9.93,11.96
BalanceTotalEquityAndLiabilities_qq,,-31.40,-2.12,612.77,-69.63,153.26,0.33,40.89,-41.93,81.77,-1.30,5.63,10.63,-7.36,6.98,-100.00,,26.54,-19.51,25.38,25.85,-9.12,10.55,-6.80,12.12,28.88,55.76,58.35,-10.56,-3.02,-0.82,-9.42,-5.64,189.98,7.13,-5.07
BalanceTotalEquityAndLiabilities_sq,,14.04,-1.49,1.77,-100.00,10.40,-0.03,5.55,-100.00,11.65,1.59,0.46,-1.40,0.44,0.08,1.18,,2.06,0.46,2.74,1.51,0.09,2.54,1.41,0.40,1.04,0.55,3.07,0.48,2.01,0.82,-0.08,1.95,3.53,0.54,0.06
CashflowOperatingCashflow,,-134000,,,,452000,,217000,-479000,,,22000,237000,,,277000,171000,1178000,124000,-117000,-226000,44000,-203000,117000,-108000,-69000,-90000,105000,-377000,-636000,-118000,-133000,-155000,-863000,-184000,-433000
CashflowOperatingCashflow_yy,,,,,,437.25,,,,-100.00,,-89.86,149.48,,,1160.27,-27.79,,,-142.34,-231.98,-96.26,-264.02,199.85,52.12,-255.90,55.58,-10.03,-248.93,-825.58,-30.26,-225.99,59.00,-35.83,-56.67,-226.01
CashflowOperatingCashflow_sy,,,,,,-39.86,,,,56.01,,25.29,7.01,,,-3.20,-27.32,,,3.55,34.25,5.70,13.20,36.05,17.68,-25.83,-1.96,-17.95,9.45,41.33,32.71,21.22,-16.07,-40.52,-17.79,0.11
CashflowOperatingCashflow_qq,,,100.00,,,,-100.00,,-320.74,100.00,,,977.27,-100.00,,,-38.27,588.24,-89.47,-194.66,-92.43,119.50,-561.73,157.63,-192.27,36.50,-31.56,216.73,-457.85,-68.43,81.48,-12.90,-16.45,-458.00,78.64,-134.93
CashflowOperatingCashflow_sq,,,-101.08,,,,-46.20,,44.80,113.36,,,9.24,60.12,,,38.28,47.86,-34.73,-28.69,27.81,71.44,-55.78,3.34,-0.76,20.72,-4.27,21.40,23.64,86.27,-47.40,-5.55,-19.73,29.12,-15.36,-12.02
CashflowAmortization,,,,,,13000,,,,,,,,,,,,22000,,,,6000,,,6000,-2000,,,2000,1000,1000,2000,2000,2000,2000,2000
CashflowAmortization_yy,,,,,,,,,,-100.00,,,,,,,,,,,,-72.24,,,,-141.40,,,-65.91,140.19,,,-2.39,97.70,46.91,11.13
