,2010/Q1,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingCosts_sq,,,,,,-74.94,,,,-72.71,8.71,,,-57.79,20.72,,199.48,-63.87,-6.48,-28.34,245.71,-63.25,41.26,-31.58,206.08,-74.35,40.00,-23.03,94.26,-57.84,78.46
IncomeEBIT,,,,950000,510000,,,701000,1095000,60000,,,1394000,-537000,-464000,-231000,12432000,4831000,4701000,1578000,2652000,5556000,1778000,2234000,4566000,370000,2555000,-672000,5272000,-797000,30980000
IncomeEBIT_yy,,,,,,,,-26.21,114.87,,,-100.00,27.32,-995.74,,,791.92,999.20,1113.12,784.27,-78.66,15.01,-62.17,41.59,72.13,-93.34,43.68,-130.09,15.47,-315.54,1112.46
IncomeEBIT_sy,,,,,,,,-20.72,8.23,,,47.09,8.92,14.68,,,28.04,7.53,19.42,22.78,-15.44,5.02,15.12,-4.38,-3.12,26.09,27.58,1.98,2.50,1.27,41.53
IncomeEBIT_qq,,,,,-46.37,-100.00,,,56.17,-94.52,-100.00,,,-138.55,13.65,50.31,5491.77,-61.14,-2.71,-66.44,68.12,109.48,-68.00,25.62,104.38,-91.90,590.73,-126.31,884.24,-115.12,3985.56
IncomeEBIT_sq,,,,,43.46,-40.42,,,47.01,-39.22,-7.98,,,-29.98,4.60,23.94,35.18,-42.43,-0.04,23.58,4.92,-4.16,7.55,0.48,25.15,-15.40,21.03,-13.40,3.75,-37.32,21.82
IncomeFinanceIncome,,,,,0,,,,0,0,,,2000,0,0,37000,148000,253000,90000,109000,474000,33000,475000,-459000,1556000,24000,20000,68000,65000,87000,1208000
IncomeFinanceIncome_yy,,,,,,,,,,,,,20540.00,19.05,,,7089.63,1013863.96,,195.09,219.54,-87.17,431.22,-522.47,228.13,-26.01,-95.76,114.73,-95.83,261.03,5895.56
IncomeFinanceIncome_sy,,,,,,,,,,,,,4.12,-15.08,,,-11.76,45.12,,-23.58,-15.97,-21.94,59.77,-54.55,20.88,16.13,-35.29,94.58,-4.93,-4.17,177.48
IncomeFinanceIncome_qq,,,,,,,,,,110.00,-100.00,,,-98.79,-100.00,,303.06,70.82,-64.69,21.38,336.46,-93.14,1362.46,-196.53,439.00,-98.45,-16.27,235.71,-3.95,33.72,1290.43
