,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingIncome,1022000,374000,661000,559000,476000,736000,625000,1834000,1394000,1689000
IncomeOtherOperatingIncome_yy,,,,,-53.42,96.79,-5.45,228.09,192.86,129.48
IncomeOtherOperatingIncome_sy,,,,,-11.86,-11.46,-7.47,-6.81,26.46,-16.90
IncomeOtherOperatingIncome_qq,,-63.41,76.74,-15.43,-14.85,54.62,-15.08,193.44,-23.99,21.16
IncomeOtherOperatingIncome_sq,,12.30,-26.77,33.79,-34.03,47.56,-16.50,30.01,-6.19,-1.20
IncomeOtherOperatingCosts,194000,137000,1064000,855000,96000,292000,348000,1617000,392000,514000
IncomeOtherOperatingCosts_yy,,,,,-50.52,113.14,-67.29,89.12,308.33,76.03
IncomeOtherOperatingCosts_sy,,,,,-4.28,11.64,3.61,54.38,4.95,22.44
IncomeOtherOperatingCosts_qq,,-29.38,676.64,-19.64,-88.77,204.17,19.18,364.66,-75.76,31.12
IncomeOtherOperatingCosts_sq,,32.63,-20.26,123.42,-73.32,69.08,27.66,364.54,-75.28,76.88
IncomeEBIT,38578000,51950000,59412000,65649000,46322000,68050000,86427000,102443000,79266000,97691000
IncomeEBIT_yy,,,,,20.07,30.99,45.47,56.05,71.12,43.56
IncomeEBIT_sy,,,,,-45.62,-0.49,8.21,21.26,0.41,31.29
IncomeEBIT_qq,,34.66,14.36,10.50,-29.44,46.91,27.01,18.53,-22.62,23.24
IncomeEBIT_sq,,112.71,-37.02,60.56,-85.38,98.68,-15.95,26.45,-93.86,130.10
IncomeFinanceIncome,34000,-7000,156000,290000,98000,42000,1000,514000,162000,-15000
IncomeFinanceIncome_yy,,,,,188.24,700.00,-99.36,77.24,65.31,-135.71
IncomeFinanceIncome_sy,,,,,8.86,-15.18,72.31,64.29,-27.09,-16.67
IncomeFinanceIncome_qq,,-120.59,2328.57,85.90,-66.21,-57.14,-97.62,51300.00,-68.48,-109.26
IncomeFinanceIncome_sq,,-13.02,6.56,-11.77,5.25,-50.90,-37.17,94.53,56.54,-40.83
IncomeFinanceCosts,7769000,7351000,8034000,6453000,8415000,9438000,9379000,10649000,10139000,10506000
IncomeFinanceCosts_yy,,,,,8.32,28.39,16.74,65.02,20.49,11.32
IncomeFinanceCosts_sy,,,,,0.86,5.73,7.46,58.11,12.50,19.89
IncomeFinanceCosts_qq,,-5.38,9.29,-19.68,30.40,12.16,-0.63,13.54,-4.79,3.62
IncomeFinanceCosts_sq,,-25.51,11.68,91.73,-4.89,-2.91,-15.57,119.59,-17.27,24.16
IncomeOtherIncome,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,
IncomeNetGrossProfit,30843000,44592000,51534000,59486000,38005000,58654000,77049000,92308000,69289000,87170000
IncomeNetGrossProfit_yy,,,,,23.22,31.53,49.51,55.18,82.32,48.62
IncomeNetGrossProfit_sy,,,,,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeNetGrossProfit_qq,,44.58,15.57,15.43,-36.11,54.33,31.36,19.80,-24.94,25.81
IncomeNetGrossProfit_sq,,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeExtraordinarProfit,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,
IncomeBeforeTaxProfit,30843000,44592000,51534000,59486000,38005000,58654000,77049000,92308000,69289000,87170000
IncomeBeforeTaxProfit_yy,,,,,23.22,31.53,49.51,55.18,82.32,48.62
IncomeBeforeTaxProfit_sy,,,,,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeBeforeTaxProfit_qq,,44.58,15.57,15.43,-36.11,54.33,31.36,19.80,-24.94,25.81
IncomeBeforeTaxProfit_sq,,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeDiscontinuedProfit,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,
IncomeNetProfit,23387000,37896000,51957000,37970000,30455000,46687000,63542000,72920000,55948000,70507000
IncomeNetProfit_yy,,,,,30.22,23.20,22.30,92.05,83.71,51.02
IncomeNetProfit_sy,,,,,-93.75,2.61,22.30,16.46,-14.01,27.94
IncomeNetProfit_qq,,62.04,37.10,-26.92,-19.79,53.30,36.10,14.76,-23.27,26.02
IncomeNetProfit_sq,,147.44,-41.18,18.69,-87.98,145.54,-28.24,-26.81,-67.35,112.20
IncomeShareholderNetProfit,23387000,37896000,51957000,37970000,30455000,46687000,63542000,72920000,55948000,70507000
IncomeShareholderNetProfit_yy,,,,,30.22,23.20,22.30,92.05,83.71,51.02
IncomeShareholderNetProfit_sy,,,,,-78.45,2.61,22.30,21.35,-14.01,27.03
IncomeShareholderNetProfit_qq,,62.04,37.10,-26.92,-19.79,53.30,36.10,14.76,-23.27,26.02
IncomeShareholderNetProfit_sq,,139.28,-41.18,14.05,-102.63,156.75,-27.60,-26.81,-71.97,122.96
BalanceNoncurrentAssets,1213130000,,1387011000,1457146000,1500818000,1612320000,1707233000,1807964000,1895107000,2037179000
BalanceNoncurrentAssets_yy,,,,,23.71,,23.09,24.08,26.27,26.35
BalanceNoncurrentAssets_sy,,,,,7.68,,3.23,1.21,-1.09,2.59
BalanceNoncurrentAssets_qq,,-100.00,,5.06,3.00,7.43,5.89,5.90,4.82,7.50
BalanceNoncurrentAssets_sq,,0.20,,1.00,0.81,-0.10,0.68,-0.22,-0.10,0.04
BalanceIntangibleAssets,91952000,,92145000,93072000,92510000,92200000,91677000,92774000,92771000,93509000
BalanceIntangibleAssets_yy,,,,,0.61,,-0.51,-0.32,0.28,1.42
BalanceIntangibleAssets_sy,,,,,0.31,,1.30,3.71,1.48,1.42
BalanceIntangibleAssets_qq,,-100.00,,1.01,-0.60,-0.34,-0.57,1.20,,0.80
BalanceIntangibleAssets_sq,,-0.07,,0.11,-0.06,,-0.02,0.53,,0.60
BalanceProperty,1090826000,,1260513000,1337207000,1386389000,1496962000,1593249000,1697600000,1787708000,1931438000
BalanceProperty_yy,,,,,27.10,,26.40,26.95,28.95,29.02
BalanceProperty_sy,,,,,8.49,,4.97,-1.46,-0.53,4.48
BalanceProperty_qq,,-100.00,,6.08,3.68,7.98,6.43,6.55,5.31,8.04
BalanceProperty_sq,,0.96,,3.35,0.74,0.24,0.51,-0.60,,1.81
BalanceNoncurrentReceivables,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,
BalanceOtherNoncurrentAssets,30352000,,34353000,26867000,21919000,23158000,22307000,17590000,14628000,12232000
