,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
BalanceNoncurrentTradeLiabilities,588611000,540873000,645027000,606158000,535032000,508362000,476484000,513298000,435692000,491847000,511473000,3983303000,5394880000,7789620000,7930017000,8556510000,8131885000,8146106000,8433166000
BalanceNoncurrentBorrowings,8947689000,8582004000,8753530000,7588306000,8174809000,7778870000,7602882000,7504359000,7331158000,4725829000,7390219000,,,,,,,,
BalanceNoncurrentObligations,,,,1240263000,1244372000,1214443000,1228138000,1229680000,1203292000,4907000,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,476823000,530016000,674948000,688147000,675756000,670788000,757182000,848318000,884208000
BalanceNoncurrentOtherLiabilities,944428000,1028559000,1048446000,1161237000,1144491000,1145153000,1269458000,1238932000,1391151000,1524560000,1605515000,1428211000,1488508000,1528824000,1601112000,1448745000,1527923000,1654121000,1943979000
BalanceCurrentLiabilities,2028280000,2247607000,3090955000,2310988000,2105594000,2037093000,2027453000,2003648000,4633532000,1644945000,1161068000,854703000,857200000,,,1323271000,1380718000,1548942000,1620818000
BalanceCurrentTradePayablesv,1448189000,1291022000,1318192000,1325281000,1300547000,1080167000,403303000,1323208000,483078000,499927000,1404141000,1284769000,1342327000,1452325000,1729624000,465718000,616532000,1431267000,577010000
BalanceCurrentBorrowings,501712000,575593000,562161000,566579000,3243484000,451258000,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,831000,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,41143000,105003000,150727000,171697000,196971000,163976000,185595000,201796000,214355000,239290000,250357000,110746000,113160000
BalanceCurrentOtherLiabilities,155693000,170478000,147100000,111789000,89501000,112688000,,,,,,,,,,,,,
BalanceReckoning,,,,,,,12352873000,14090214000,16921271000,16992272000,17574174000,16864091000,17546634000,18341033000,19565092000,19588664000,20459566000,21256722000,21749210000
BalanceTotalEquityAndLiabilities,21168090000,22374195000,22731164000,22284694000,23158624000,23709069000,,,,,,,,,,,,,
CashflowOperatingCashflow,59724000,-39178000,149830000,19826000,152306000,109106000,79799000,62131000,110377000,437861000,131928000,14230000,93825000,227852000,187196000,-56533000,-103167000,139304000,15150000
CashflowAmortization,,,,,,,,,,,,,,,,,,,
CashflowInvestingCashflow,-244336000,-313848000,-1324097000,122454000,73273000,81642000,199680000,115869000,-244791000,-366332000,-186017000,133287000,-45955000,-148115000,-223665000,75735000,-99943000,-250245000,-334960000
CashflowCapex,167191000,-45713000,1367710000,1154000,2160000,6205000,460000,2205000,6290000,3729000,3327000,-492000,38936000,21458000,7618000,3033000,10814000,19447000,12327000
CashflowFinancingCashflow,-35501000,757144000,1160986000,-317789000,187371000,-339962000,-50472000,-309834000,-20568000,-318367000,137896000,716002000,-212063000,-298995000,1021910000,-513522000,33348000,-169825000,40707000
CashflowShareCapitalCash,,,,,,,,,2309000,6876000,,1299989000,0,0,0,43679000,,288975000,0
CashflowDividend,0,,293161000,0,0,,297866000,0,0,,329144000,0,0,,-220112000,,,,
CashflowNetCashflow,,,,,,,,,,,,,,,,,,,
