,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeNetGrossProfit_qq,,-15.27,28.40,18.83,12.63,-85.02,473.04,-52.46,-37.01,-1332.30,121.13,-17.85
IncomeNetGrossProfit_sq,,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeExtraordinarProfit,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,
IncomeBeforeTaxProfit,1799000,1524000,1957000,2326000,2620000,392000,2249000,1069000,673000,-8299000,1753000,1440000
IncomeBeforeTaxProfit_yy,,,,,45.61,-74.25,14.91,-54.03,-74.29,-2214.69,-22.03,34.74
IncomeBeforeTaxProfit_sy,,,,,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
IncomeBeforeTaxProfit_qq,,-15.27,28.40,18.83,12.63,-85.02,473.04,-52.46,-37.01,-1332.30,121.13,-17.85
IncomeBeforeTaxProfit_sq,,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeDiscontinuedProfit,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,
IncomeNetProfit,1481000,1080000,1339000,1991000,2102000,155000,1930000,829000,519000,-6866000,1351000,1238000
IncomeNetProfit_yy,,,,,41.91,-85.64,44.06,-58.39,-75.31,-4527.37,-29.99,49.36
IncomeNetProfit_sy,,,,,17.60,-16.72,39.28,2.95,-0.30,2.89,9.83,24.08
IncomeNetProfit_qq,,-27.09,24.04,48.65,5.56,-92.62,1144.33,-57.06,-37.38,-1423.26,119.68,-8.39
IncomeNetProfit_sq,,19.31,-27.37,15.92,18.56,3.57,-17.83,-10.45,-6.12,0.24,-9.83,29.85
IncomeShareholderNetProfit,1481000,1080000,1339000,1991000,2102000,155000,1930000,829000,519000,-6866000,1351000,1238000
IncomeShareholderNetProfit_yy,,,,,41.91,-85.64,44.06,-58.39,-75.31,-4527.37,-29.99,49.36
IncomeShareholderNetProfit_sy,,,,,13.26,-22.66,39.28,3.32,1.23,2.89,8.02,28.08
IncomeShareholderNetProfit_qq,,-27.09,24.04,48.65,5.56,-92.62,1144.33,-57.06,-37.38,-1423.26,119.68,-8.39
IncomeShareholderNetProfit_sq,,21.18,-27.37,20.18,6.16,3.57,-11.06,-10.45,-2.33,0.24,-6.33,29.03
BalanceNoncurrentAssets,,1579000,1467000,1418000,1340000,1534000,2226000,2073000,2183000,3270000,3256000,3474000
BalanceNoncurrentAssets_yy,,,,,,-2.85,51.80,46.18,62.84,113.27,46.24,67.61
BalanceNoncurrentAssets_sy,,,,,,4.79,7.16,3.72,2.52,3.77,3.72,1.52
BalanceNoncurrentAssets_qq,,,-7.09,-3.33,-5.46,14.41,45.19,-6.91,5.31,49.83,-0.44,6.69
BalanceNoncurrentAssets_sq,,,-0.24,1.35,0.48,2.20,0.31,-0.61,0.25,2.70,0.26,1.03
BalanceIntangibleAssets,,668000,624000,540000,488000,542000,536000,527000,669000,518000,475000,471000
BalanceIntangibleAssets_yy,,,,,,-18.88,-14.13,-2.54,37.11,-4.35,-11.36,-10.48
BalanceIntangibleAssets_sy,,,,,,3.62,-0.06,6.73,6.44,5.18,-0.12,-0.06
