,2009/Q3,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4
IncomeRevenues,64940000,16178000,82415000,15467000,70383000,191144000,32525000,60481000,116932000,119434000,103879000,-16434000
IncomeCostOfSales,138455000,23472000,89122000,14788000,34908000,96535000,56617000,100431000,59712000,62562000,115965000,22088000
IncomeDistributionExpenses,-76513000,1097000,1384000,4431000,1087000,1563000,23000,10000,540000,1942000,1475000,158000
IncomeAdministrativExpenses,3719000,4760000,5268000,2985000,3300000,3775000,5824000,5297000,6475000,3361000,7999000,5558000
IncomeGrossProfit,-721000,-13151000,-13358000,-6737000,31089000,89271000,-29939000,-45257000,50205000,51570000,-21560000,-44237000
IncomeOtherOperatingIncome,10820000,-1366000,-8545000,8475000,34620000,3599000,9563000,15275000,17759000,4767000,,-10652000
IncomeOtherOperatingCosts,,6859000,17892000,15131000,53294000,10803000,8813000,7879000,7444000,-13188000,-3490000,-12212000
IncomeEBIT,22544000,79854000,-10450000,-94952000,59768000,56042000,-12613000,-47349000,,,,
IncomeFinanceIncome,,272000,-160000,205000,44000,19000,443000,10932000,6789000,6143000,13534000,2320000
IncomeFinanceCosts,2834000,5873000,7457000,5306000,9742000,4999000,7039000,,,,,
IncomeOtherIncome,,,,,,,,-3488000,-19978000,-9632000,-25746000,20223000
IncomeNetGrossProfit,77293000,-16482000,-102204000,54463000,46345000,-17593000,-53945000,,,,,
IncomeExtraordinarProfit,,,,,,,,-3488000,-19978000,-9632000,-25746000,20223000
IncomeBeforeTaxProfit,77293000,-16482000,-102204000,54463000,46345000,-17593000,-53945000,,,,,
IncomeDiscontinuedProfit,,,,,,,,-3488000,-19978000,-9632000,-26816000,19873000
IncomeNetProfit,74709000,-17759000,-105403000,54949000,43617000,-18127000,-55787000,-3494000,-19983000,-9629000,-26911000,19964000
IncomeShareholderNetProfit,74769000,-17769000,-105625000,54999000,43586000,-18121000,-55898000,,,,,
BalanceNoncurrentAssets,,120491000,,145466000,118939000,194447000,178506000,283089000,355868000,,29000,
BalanceIntangibleAssets,86000,80000,34232000,30389000,117259000,102594000,,114337000,,113442000,91274000,106455000
BalanceProperty,98058000,109801000,104739000,,,,,,,,,
BalanceNoncurrentReceivables,732000,,,439000,,489000,440000,6753000,646000,10071000,8078000,
BalanceNoncurrInvestments,5686000,,31449000,27146000,47006000,49413000,45226000,140458000,,238772000,,282250000
BalanceOtherNoncurrentAssets,398124000,415443000,429497000,456048000,224086000,,113066000,,215191000,244285000,215105000,233745000
BalanceCurrentAssets,297947000,172270000,,25644000,,26662000,140086000,140100000,143335000,86183000,20498000,
BalanceInventory,,,,,,,,,,,,
BalanceCurrentReceivables,100063000,,40398000,11488000,60239000,52416000,71918000,31318000,,,,
BalanceCurrentInvestments,,2265000,,,,,,,,0,,
BalanceCash,,5249000,4950000,,,359263000,,427717000,517064000,615139000,612953000,739137000
BalanceOtherCurrentAssets,579954000,,159756000,,361137000,429794000,408475000,427947000,508021000,391430000,,1408000
BalanceAssetsForSale,,1959000,1819000,2259000,2062000,2240000,2049000,,,,,
BalanceTotalAssets,,,,,,,,,81960000,,232889000,216507000
BalanceCapital,267856000,244603000,265255000,242934000,,1049000,,830000,619000,998000,861000,966000
BalanceShareCapital,989000,,18199000,,8299000,2716000,163666000,149810000,164156000,150111000,,
BalanceOwnShares,,,,,,,,,,,,17843000
BalanceReserve,,8299000,2716000,163666000,149810000,164156000,150111000,,,,,
BalanceNonshareCapital,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,356000,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,180259000,,57450000,83935000,41641000
BalanceNoncurrentBorrowings,34335000,63741000,37363000,,5703000,,3498000,9603000,18020000,8303000,62623000,24536000
BalanceNoncurrentObligations,,147671000,,40214000,53171000,23225000,6060000,735000,12473000,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,,,,,,,,,,1371000,
BalanceCurrentLiabilities,794000,726000,755000,820000,2636000,415000,,25513000,,12944000,20434000,19151000
BalanceCurrentTradePayablesv,,,0,359263000,0,427717000,0,517064000,0,614780000,612953000,736884000
BalanceCurrentBorrowings,0,579892000,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,
CashflowOperatingCashflow,50906000,-51220000,118843000,-137374000,-2171000,-34454000,-7261000,45192000,17408000,110580000,87287000,14333000
CashflowAmortization,3459000,2953000,3899000,5261000,4680000,3346000,1388000,-7853000,5087000,4978000,4716000,-1819000
CashflowInvestingCashflow,2291000,-1838000,445000,-3050000,-3334000,195000,-35626000,-48643000,-4033000,-92357000,-80689000,-43701000
CashflowCapex,-2204000,1873000,2714000,-20491000,3433000,-96000,2853000,49002000,4033000,92357000,7341000,4212000
CashflowFinancingCashflow,5658000,93926000,-13239000,35154000,11461000,80000,92263000,-482000,-16066000,-7926000,-10370000,1909000
CashflowShareCapitalCash,,111070000,,148872000,,,,,,,,
CashflowDividend,,,,,,,,,,,-410000,99416000
CashflowNetCashflow,-19100000,21641000,5956000,-34179000,64643000,-19951000,-2692000,10206000,2113000,-33116000,,
