,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
IncomeFinanceCosts_sq,,1.02,-8.32,113.63,-39.74,-25.00,-0.41,,,-41.69,-45.83,,30.36,-7.54,-10.76,225.98
IncomeOtherIncome,,1000,,2000,,,,,52000,65000,0,0,41000,0,0,16000
IncomeOtherIncome_yy,,,,,,-100.00,,-100.00,,,,,-21.15,-100.00,,
IncomeOtherIncome_sy,,,,,,-19.87,,-89.65,,,,,33.84,-19.05,,
IncomeOtherIncome_qq,,,-100.00,,-100.00,,,,,25.00,-100.00,,,-100.00,,
IncomeOtherIncome_sq,,,-50.88,,91.16,,,,,-65.26,-15.22,,,-13.94,,
IncomeNetGrossProfit,6233000,5666000,11323000,351000,4167000,4171000,3637000,4214000,11962000,4042000,10716000,13544000,6311000,6205000,7433000,4393000
IncomeNetGrossProfit_yy,,,,,-33.15,-26.39,-67.88,1100.57,187.07,-3.09,194.64,221.40,-47.24,53.51,-30.64,-67.56
IncomeNetGrossProfit_sy,,,,,-10.21,-22.00,-4.09,99.57,-33.63,8.94,0.58,7.48,1.34,1.72,17.20,-19.48
IncomeNetGrossProfit_qq,,-9.10,99.84,-96.90,1087.18,0.10,-12.80,15.86,183.86,-66.21,165.12,26.39,-53.40,-1.68,19.79,-40.90
IncomeNetGrossProfit_sq,,-12.02,7.75,-42.63,113.78,-12.76,2.70,3.28,-34.71,2.22,32.96,18.70,-21.18,-5.72,26.10,-30.36
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,6233000,5666000,11323000,351000,4167000,4171000,3637000,4214000,11962000,4042000,10716000,13544000,6311000,6205000,7433000,4393000
IncomeBeforeTaxProfit_yy,,,,,-33.15,-26.39,-67.88,1100.57,187.07,-3.09,194.64,221.40,-47.24,53.51,-30.64,-67.56
IncomeBeforeTaxProfit_sy,,,,,-10.21,-22.00,-4.09,99.57,-33.63,8.94,0.58,7.48,1.34,1.72,17.20,-19.48
IncomeBeforeTaxProfit_qq,,-9.10,99.84,-96.90,1087.18,0.10,-12.80,15.86,183.86,-66.21,165.12,26.39,-53.40,-1.68,19.79,-40.90
IncomeBeforeTaxProfit_sq,,-12.02,7.75,-42.63,113.78,-12.76,2.70,3.28,-34.71,2.22,32.96,18.70,-21.18,-5.72,26.10,-30.36
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,
IncomeNetProfit,4786000,4511000,9073000,15000,3338000,3313000,2987000,3353000,9603000,3298000,8469000,11096000,5113000,5013000,6002000,3486000
IncomeNetProfit_yy,,,,,-30.25,-26.56,-67.08,22253.33,187.69,-0.45,183.53,230.93,-46.76,52.00,-29.13,-68.58
IncomeNetProfit_sy,,,,,-14.08,-17.78,-2.92,126.82,-34.82,11.16,-2.37,-21.34,17.97,-3.46,18.89,-52.28
IncomeNetProfit_qq,,-5.75,101.13,-99.83,22153.33,-0.75,-9.84,12.25,186.40,-65.66,156.79,31.02,-53.92,-1.96,19.73,-41.92
IncomeNetProfit_sq,,-25.66,5.08,-51.14,110.53,-2.76,6.46,12.25,-25.18,-16.98,13.50,27.94,-24.85,1.38,30.08,-47.17
IncomeShareholderNetProfit,4786000,-849000,14433000,15000,3338000,3313000,2987000,3353000,9603000,3298000,8469000,11096000,5113000,5013000,6002000,3486000
IncomeShareholderNetProfit_yy,,,,,-30.25,490.22,-79.30,22253.33,187.69,-0.45,183.53,230.93,-46.76,52.00,-29.13,-68.58
IncomeShareholderNetProfit_sy,,,,,-14.12,10.08,-2.41,126.82,-34.78,6.20,-2.37,-26.02,17.94,-3.48,18.87,-45.10
IncomeShareholderNetProfit_qq,,-117.74,1800.00,-99.90,22153.33,-0.75,-9.84,12.25,186.40,-65.66,156.79,31.02,-53.92,-1.96,19.73,-41.92
IncomeShareholderNetProfit_sq,,-35.45,-3.22,-45.44,109.59,-2.76,6.52,12.25,-22.35,-19.16,13.49,18.28,-4.54,1.38,24.58,-47.17
BalanceNoncurrentAssets,,56173000,58404000,58233000,59291000,58860000,58999000,57645000,57728000,54611000,54914000,55128000,55142000,56166000,56353000,54300000
BalanceNoncurrentAssets_yy,,,,,,4.78,1.02,-1.01,-2.64,-7.22,-6.92,-4.37,-4.48,2.85,2.62,-1.50
BalanceNoncurrentAssets_sy,,,,,,6.42,1.38,10.87,26.06,4.99,4.32,0.04,-1.50,-21.20,-16.94,-9.92
