,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,134245000,119082000,114313000,218974000,132263000,138598000,330490000,232326000,231050000,303677000,382648000,372855000,393288000,422363000,504238000,662755000,592873000,517115000,603116000,586028000,633563000,485332000,504296000,510985000,451987000,416618000,512337000,610768000,437686000,522365000,531969000,190527000,327405000,301870000,345356000,416313000,377283000,373296000,322378000,360974000,327408000,266159000,244903000,142190000,200769000,226321000,194184000,155900000,249031000,196812000,140020000,163553000,171340000
IncomeCostOfSales,122295000,102833000,102010000,186216000,114062000,120005000,242348000,186936000,184006000,248453000,312927000,331563000,333300000,358795000,396418000,550274000,485321000,423294000,508426000,540287000,532111000,409360000,437964000,433965000,361917000,327723000,427638000,482106000,351566000,427227000,430801000,115814000,283233000,258802000,268601000,345469000,301329000,299118000,246496000,308677000,280900000,235099000,219785000,177181000,178102000,232040000,178583000,196823000,213850000,152490000,113367000,132427000,132091000
IncomeDistributionExpenses,4302000,5301000,4098000,6875000,4138000,4552000,5403000,8883000,6302000,8072000,17558000,12121000,6880000,2661000,18274000,2684000,9428000,8340000,8976000,19323000,17120000,11919000,7846000,4341000,9587000,9726000,8953000,19830000,13353000,7646000,12164000,14594000,6897000,7231000,12677000,10331000,10605000,14657000,9269000,5096000,9321000,8719000,8092000,16233000,6512000,5043000,6767000,7443000,5122000,7757000,4238000,7414000,1001000
IncomeAdministrativExpenses,6722000,9349000,9778000,9352000,9609000,9741000,34609000,19497000,19746000,21989000,24034000,29027000,31851000,34787000,49719000,36566000,41081000,43297000,41155000,48310000,42689000,50801000,42840000,38530000,38766000,38547000,38760000,53856000,29436000,32260000,32801000,21554000,30568000,33473000,30810000,29722000,34882000,27169000,24116000,28280000,24010000,17066000,19175000,14504000,18071000,16061000,13483000,19287000,17432000,20332000,15930000,17865000,17229000
IncomeGrossProfit,926000,1599000,-1573000,16531000,4454000,4300000,48130000,17010000,20996000,25163000,28129000,144000,21257000,26120000,39827000,73231000,57043000,42184000,44559000,-21892000,41643000,13252000,15646000,34149000,41717000,40622000,36986000,54976000,43331000,55232000,56203000,38565000,6707000,2364000,33268000,30791000,30467000,32352000,42497000,18921000,13177000,5275000,-2149000,-65728000,-1916000,-26823000,-4649000,-67653000,12627000,16233000,6485000,5847000,21019000
IncomeOtherOperatingIncome,757000,11973000,6687000,5546000,1694000,2597000,12785000,11818000,2556000,4437000,12860000,27158000,20099000,15211000,2340000,5574000,9483000,7101000,8398000,8096000,9727000,16227000,8847000,3581000,9023000,605000,26358000,3790000,-10826000,12361000,5990000,-6247000,12916000,6200000,5050000,-1921000,6807000,15638000,-2106000,8248000,1784000,7893000,-1483000,-1283348000,596000,-313878000,-5883000,-50132000,2816000,50408000,-1011000,16799000,7078000
IncomeOtherOperatingCosts,761000,3602000,2030000,9270000,2806000,1958000,4514000,5928000,1165000,5003000,2110000,7430000,11050000,3481000,3295000,15967000,7959000,4750000,13017000,8765000,27938000,17327000,-1485000,16054000,4350000,1942000,10220000,11860000,44170000,13448000,2028000,30932000,1940000,5523000,-1556000,2674000,2329000,7488000,1878000,5543000,1218000,1415000,3451000,42402000,5501000,93462000,15982000,46927000,4314000,20161000,983000,-6811000,5142000
IncomeEBIT,922000,9970000,3084000,12807000,3342000,4939000,56401000,22900000,22387000,24597000,38879000,19872000,30306000,37850000,38872000,62838000,58567000,44535000,39940000,-22561000,23432000,12152000,25978000,21676000,46390000,39285000,53124000,46906000,-11665000,54145000,60165000,1386000,17683000,3041000,39874000,26196000,34945000,40502000,38513000,21626000,13743000,11753000,-7083000,-1391478000,-6821000,-434163000,-26514000,-164712000,11129000,46480000,4491000,29457000,22955000
IncomeFinanceIncome,3331000,3515000,2715000,263000,1766000,1477000,5068000,14163000,30002000,155430000,-38591000,-65606000,9021000,2523000,-406000,15351000,7640000,11842000,16279000,14264000,7590000,9968000,8506000,2531000,7559000,1593000,5369000,5961000,5535000,6280000,6333000,4834000,5696000,4803000,4637000,2267000,2996000,2412000,2815000,5410000,2641000,6369000,2164000,3520000,1788000,2281000,959000,4375000,3629000,4860000,1510000,-465000,1066000
IncomeFinanceCosts,2312000,2685000,5004000,1147000,1925000,932000,5905000,12789000,17638000,13082000,121551000,-65090000,11707000,11506000,3951000,39395000,16375000,29719000,24633000,15344000,18037000,3016000,22748000,22663000,15493000,7118000,12541000,19093000,26407000,14891000,15174000,15854000,12068000,10009000,8247000,8045000,6239000,6979000,6020000,6096000,5832000,4066000,4414000,67988000,4880000,32645000,4938000,20294000,4748000,2931000,3270000,2999000,3490000
