,2011/Q3,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,28231000,25582000,41024000,42846000,40777000,34969000,39043000,40740000,36018000,40263000,44055000,52213000,55745000,54342000,61887000,54681000,77542000,77299000,83034000,75128000,73561000,67761000,87916000,76281000,71698000,70977000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,961000,895000,1266000,1522000,692000,3300000,2620000,2073000,2889000,2547000,2469000,3983000,3393000,3007000,1134000,-318000,4066000,2821000,-964000,-5259000,-1984000,-7979000,1017000,-6223000,-163000,-892000
IncomeOtherOperatingIncome,335000,524000,1480000,739000,361000,498000,424000,166000,1166000,-325000,647000,1351000,78000,222000,-28000,831000,929000,1937000,695000,417000,1909000,3403000,5705000,-2202000,1061000,1765000
IncomeOtherOperatingCosts,161000,274000,415000,571000,372000,318000,308000,-71000,1381000,-388000,654000,3091000,136000,254000,119000,873000,1110000,1128000,465000,5202000,1391000,2751000,6649000,3550000,1004000,765000
IncomeEBIT,1135000,1145000,2331000,1690000,681000,3480000,2736000,2310000,2674000,2610000,2462000,2243000,3335000,2975000,987000,-360000,3885000,3630000,-734000,-10044000,-1466000,-7327000,73000,-11975000,-106000,108000
IncomeFinanceIncome,526000,-88000,0,40000,83000,151000,-42000,57000,112000,34000,118000,-148000,57000,0,28000,245000,13000,21000,167000,-49000,-70000,167000,198000,303000,110000,201000
IncomeFinanceCosts,176000,305000,215000,261000,183000,293000,122000,162000,153000,431000,1169000,-17000,187000,248000,941000,685000,400000,759000,1114000,627000,452000,58517000,703000,997000,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,1551000,856000
IncomeNetGrossProfit,2155000,1425000,549000,3370000,2511000,2074000,2664000,2482000,2427000,1664000,2166000,2992000,857000,-608000,2972000,3190000,-1121000,-10782000,-2413000,-8003000,-449000,-70325000,-611000,-586000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,1551000,856000
