,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,75231000,163746000,217220000,111100000,65933000,162470000,196305000,113381000,61969000,150805000,221610000
IncomeCostOfSales,57384000,106430000,127417000,85981000,49227000,114687000,138840000,95028000,45834000,109726000,157801000
IncomeDistributionExpenses,13467000,25171000,35514000,12759000,15337000,25774000,31079000,11741000,13331000,24854000,32928000
IncomeAdministrativExpenses,10107000,9113000,12273000,7264000,9862000,9174000,9786000,6330000,8650000,8936000,8920000
IncomeGrossProfit,-5727000,23032000,42016000,5096000,-8493000,12835000,16600000,282000,-5846000,7289000,21961000
IncomeOtherOperatingIncome,1415000,3203000,1997000,-1045000,1055000,3408000,1259000,504000,1216000,3514000,2806000
IncomeOtherOperatingCosts,358000,2823000,-321000,5433000,1515000,1379000,2667000,1257000,1455000,2408000,1935000
IncomeEBIT,-4670000,23412000,44334000,-1382000,-8953000,14864000,15192000,-471000,-6085000,8395000,22832000
IncomeFinanceIncome,1225000,6719000,1027000,6574000,281000,9239000,3335000,-2451000,7362000,-1891000,-4363000
IncomeFinanceCosts,1493000,3855000,5767000,-5607000,10178000,-8209000,1672000,1593000,1227000,1615000,4659000
IncomeOtherIncome,,,,,,,,,,,
IncomeNetGrossProfit,-4938000,26276000,39594000,10799000,-18850000,32312000,16855000,-4515000,50000,4889000,13810000
IncomeExtraordinarProfit,,,,,,,,,,,
IncomeBeforeTaxProfit,-4938000,26276000,39594000,10799000,-18850000,32312000,16855000,-4515000,50000,4889000,13810000
IncomeDiscontinuedProfit,,,,,,,,,,,
IncomeNetProfit,-6826000,21501000,32485000,20334000,-15055000,25559000,13213000,-4301000,41000,4088000,12294000
IncomeShareholderNetProfit,-6321000,21437000,32753000,20334000,-15055000,25559000,13213000,-4301000,41000,4088000,12294000
BalanceNoncurrentAssets,398438000,423948000,470384000,534088000,548685000,556512000,560234000,554458000,553418000,551703000,547191000
BalanceIntangibleAssets,32145000,30088000,29762000,27932000,28460000,27305000,26615000,26996000,25868000,26232000,26806000
BalanceProperty,344441000,370343000,415901000,470280000,482693000,489878000,491779000,490129000,490312000,487075000,477281000
BalanceNoncurrentReceivables,219000,222000,217000,211000,207000,625000,565000,198000,195000,193000,188000
BalanceNoncurrInvestments,650000,668000,714000,300000,187000,959000,746000,470000,168000,584000,421000
BalanceOtherNoncurrentAssets,20983000,22627000,23790000,35365000,37138000,37745000,40529000,36665000,36875000,37619000,42495000
BalanceCurrentAssets,232908000,317034000,268456000,216627000,243741000,310281000,321142000,266556000,242289000,312341000,342148000
BalanceInventory,143240000,122619000,78253000,75419000,141673000,127162000,92370000,95451000,163178000,163517000,112542000
BalanceCurrentReceivables,76142000,157391000,175349000,107125000,70859000,158642000,183324000,93261000,58733000,133186000,193166000
BalanceCurrentInvestments,2200000,9171000,1534000,10246000,5250000,8776000,5054000,900000,2469000,2393000,1174000
BalanceCash,4250000,17831000,7593000,19063000,21788000,6650000,32874000,71657000,13504000,7168000,28410000
BalanceOtherCurrentAssets,7076000,10022000,5727000,4774000,4171000,9051000,7520000,5287000,4405000,6077000,6856000
BalanceAssetsForSale,,,,,,,,,,,
BalanceTotalAssets,631346000,740982000,738840000,750715000,792426000,866793000,881376000,821014000,795707000,864044000,889339000
BalanceCapital,325702000,346195000,370121000,390162000,419982000,445085000,458076000,453756000,453559000,457669000,469991000
BalanceShareCapital,27896000,27896000,27896000,27896000,29364000,29364000,29364000,29364000,29364000,29364000,29364000
BalanceOwnShares,,,,,,,,,,,
BalanceReserve,221454000,220336000,280787000,280494000,324357000,370428000,370206000,370187000,369949000,360259000,360287000
BalanceNonshareCapital,166000,348000,,,,,,,174141000,173669000,212234000
BalanceNoncurrentLiabilities,231527000,264059000,278577000,249267000,221306000,214833000,221369000,236653000,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,152875000,152321000,187076000
BalanceNoncurrentBorrowings,203305000,237908000,250653000,222513000,200424000,194098000,200984000,213632000,,,
BalanceNoncurrentObligations,,,,,,,,,188000,116000,2690000
BalanceNoncurrentLeasing,2383000,2198000,1862000,1627000,1426000,1153000,934000,2096000,21078000,21232000,22468000
BalanceNoncurrentOtherLiabilities,25839000,23953000,26062000,25127000,19456000,19582000,19451000,20925000,131337000,220770000,156485000
BalanceCurrentLiabilities,129026000,108385000,143131000,174033000,145952000,127315000,185006000,182695000,32742000,58720000,45697000
BalanceCurrentTradePayablesv,57749000,37508000,51687000,64523000,57350000,37719000,47452000,63359000,62362000,113713000,58465000
BalanceCurrentBorrowings,24617000,28455000,49101000,59501000,50274000,55162000,97247000,65915000,,,
BalanceCurrentObligations,,,,,,,,,3382000,2663000,3012000
BalanceCurrentLeasing,2391000,1979000,1084000,1018000,1033000,995000,998000,1568000,19864000,17696000,16616000
BalanceCurrentOtherLiabilities,18199000,19182000,17196000,17517000,14056000,13618000,17983000,20617000,12987000,27978000,32695000
BalanceReckoning,26070000,21261000,24063000,31474000,23239000,19821000,21326000,31236000,631346000,740982000,738840000
BalanceTotalEquityAndLiabilities,750715000,792426000,866793000,881376000,821014000,795707000,864044000,889339000,,,
CashflowOperatingCashflow,-19863000,-26810000,78209000,82413000,-48996000,-42527000,48216000,82591000,-47565000,-44727000,48342000
CashflowAmortization,4909000,4925000,5405000,5461000,7619000,9057000,10262000,10044000,10269000,10364000,10626000
CashflowInvestingCashflow,-43142000,-19870000,-52345000,-70519000,-20042000,-22283000,-10440000,-9519000,-16235000,-7302000,2414000
CashflowCapex,43302000,19798000,56651000,70533000,21822000,23126000,11318000,7966000,16471000,7389000,1601000
CashflowFinancingCashflow,37541000,61177000,-36699000,-424000,71563000,49827000,-10971000,-34663000,5704000,45666000,-29561000
CashflowShareCapitalCash,,,,,44468000,0,0,0,,,
CashflowDividend,,8090000,0,,,,,,,-25464000,14497000
CashflowNetCashflow,-10835000,11470000,2525000,-14983000,26805000,38409000,-58096000,-6363000,21195000,,
