,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeOtherIncome,502000,294000,158000,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248000,,,,11570000,2958000,2799000,1429000,9987000,4189000
IncomeNetGrossProfit,2557000,8886000,11911000,71275000,2746000,-6850000,2353000,-6631000,4895000,-36282000,9546000,12893000,12972000,13913000,10437000,2006000,11322000,11583000,12027000,3615000,11413000,-1194000,4026000,9854000,6278000,-11709000,4429000,-2178000,19419000,-3474000,9564000,3407000,16913000,561000,19949000,16990000,17685000,15294000,18127000,4232000,14327000,5564000,12326000,16122000,11404000,4092000,21253000,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11570000,2958000,2799000,1429000,9987000,4189000
IncomeBeforeTaxProfit,2557000,8886000,11911000,71275000,2746000,-6850000,2353000,-6631000,4895000,-36282000,9546000,12893000,12972000,13913000,10437000,2006000,11322000,11583000,12027000,3615000,11413000,-1194000,4026000,9854000,6278000,-11709000,4429000,-2178000,19419000,-3474000,9564000,3407000,16913000,561000,19949000,16990000,17685000,15294000,18127000,4232000,14327000,5564000,12326000,16122000,11404000,4092000,21253000,,,,,,
IncomeDiscontinuedProfit,,,,,,,-108000,-210000,163000,-576000,-233000,-217000,-74000,-308000,-64000,-53000,93000,-32000,-33000,-23000,-51000,0,,,,,,,,,,,,,,,,,,,,,,,9327000,2382000,2268000,1071000,8063000,3311000,1965000,6911000,9598000
IncomeNetProfit,70048000,2396000,-4826000,1692000,-8431000,4302000,-32170000,5921000,7496000,10329000,9030000,7992000,1716000,8913000,12052000,9198000,2629000,9372000,-1665000,3216000,7660000,5269000,30282000,3609000,-2159000,16559000,12791000,7832000,3645000,14981000,-3692000,15826000,13103000,16256000,21637000,14765000,4197000,15175000,5552000,9696000,12889000,9062000,-62322000,17886000,9327000,2382000,2268000,1071000,8063000,3311000,1965000,6896000,9631000
IncomeShareholderNetProfit,70088000,2323000,-4665000,1692000,-8431000,4302000,-32170000,5921000,7496000,10329000,9030000,7992000,1716000,8913000,12052000,9198000,2629000,9372000,-1665000,3216000,7660000,5269000,30282000,4142000,1962000,10298000,11032000,5857000,3645000,14981000,-3692000,15826000,13103000,16256000,21637000,14765000,4197000,15175000,5552000,9696000,12889000,9062000,-62322000,17886000,,,,,,,,,
BalanceNoncurrentAssets,144173000,144106000,151893000,152975000,154378000,155500000,311247000,315618000,321534000,627883000,587848000,578973000,575836000,567963000,562480000,560151000,559174000,559222000,574402000,589197000,590391000,591133000,593092000,564774000,562725000,751684000,753714000,740883000,743104000,748411000,749910000,708379000,704471000,697958000,695931000,695391000,712737000,713945000,711408000,709477000,705537000,708561000,703504000,694636000,856511000,40038000,56847000,58117000,58240000,58379000,58290000,133948000,129829000
BalanceIntangibleAssets,129404000,320685000,270873000,270356000,269813000,272442000,272163000,271649000,270618000,269157000,268759000,267807000,267446000,267061000,266578000,229749000,229281000,345293000,344812000,309359000,308972000,309060000,308633000,293652000,293286000,292930000,292606000,292235000,292121000,299439000,299166000,299967000,299362000,298939000,298800000,292017000,433501000,101501000,84873000,91294000,90142000,90686000,91324000,173051000,178046000,184940000,263963000,272841000,268212000,265339000,256571000,251661000,247858000
BalanceProperty,241695000,243057000,257909000,269891000,269711000,272713000,273293000,291271000,290413000,361026000,364888000,390298000,393340000,398429000,401911000,378750000,378477000,375916000,372812000,367885000,361972000,355323000,350031000,346804000,342390000,336156000,324894000,325160000,341777000,,,,,,,,0,,,,5000,,,,,,,,,,,,
