,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceCosts_sq,,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,
IncomeNetGrossProfit,4154000,9965000,35565000,-7029000,13729000,1037000,40618000,2823000,19559000,12070000,27513000,13850000,-5131000,22905000
IncomeNetGrossProfit_yy,,,,,230.50,-89.59,14.21,140.16,42.46,1063.93,-32.26,390.61,-126.23,89.77
IncomeNetGrossProfit_sy,,,,,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,139.89,256.90,-119.76,295.32,-92.45,3816.88,-93.05,592.84,-38.29,127.95,-49.66,-137.05,546.40
IncomeNetGrossProfit_sq,,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,4154000,9965000,35565000,-7029000,13729000,1037000,40618000,2823000,19559000,12070000,27513000,13850000,-5131000,22905000
IncomeBeforeTaxProfit_yy,,,,,230.50,-89.59,14.21,140.16,42.46,1063.93,-32.26,390.61,-126.23,89.77
IncomeBeforeTaxProfit_sy,,,,,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeBeforeTaxProfit_qq,,139.89,256.90,-119.76,295.32,-92.45,3816.88,-93.05,592.84,-38.29,127.95,-49.66,-137.05,546.40
