,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1919551000,2081182000,2319434000,2709329000,2703709000,3472348000,3650943000,3035899000,2929706000,3538193000,3752760000,3273469000,3339813000,3410956000,3086592000,2817524000,2619934000,2991980000,2906197000,3601799000,3599730000,4212047000,3903490000,5051237000,5346540000,5874632000,5520573000,5365255000,6108000000,7003000000,6788000000,6806000000,6520000000,5998000000,5468000000,6124000000,4650000000,4878000000,5188000000,5776000000,4731000000,5329000000,4800000000,5148000000,3912000000,4544000000,4685000000,6015000000,4911000000,4802000000,4774000000,5871000000,4266000000,5157000000
IncomeRevenues_yy,,,,,40.85,66.84,57.41,12.05,8.36,1.90,2.79,7.83,14.00,-3.60,-17.75,-13.93,-21.55,-12.28,-5.84,27.84,37.40,40.78,34.32,40.24,48.53,39.47,41.43,6.22,14.24,19.21,22.96,26.85,6.75,-14.35,-19.45,-10.02,-28.68,-18.67,-5.12,-5.68,1.74,9.25,-7.48,-10.87,-17.31,-14.73,-2.40,16.84,25.54,5.68,1.90,-2.39,-13.13,7.39
IncomeRevenues_sy,,,,,40.85,66.84,57.41,12.05,8.36,1.90,2.79,7.83,14.00,-3.60,-17.75,-13.93,-21.55,-12.28,6.13,15.40,28.84,21.78,34.32,68.31,51.92,39.47,7.96,26.10,0.46,-2.22,-27.54,-25.71,-18.74,-17.92,-13.94,-9.80,-23.65,-24.21,-5.12,-5.68,1.74,9.25,2.41,6.72,-19.92,-4.34,-1.94,20.78,18.07,3.84,-5.54,0.28,-13.13,4.65
IncomeRevenues_qq,,8.42,11.45,16.81,-0.21,28.43,5.14,-16.85,-3.50,20.77,6.06,-12.77,2.03,2.13,-9.51,-8.72,-7.01,14.20,-2.87,23.94,-0.06,17.01,-7.33,29.40,5.85,9.88,-6.03,-2.81,13.84,14.65,-3.07,0.27,-4.20,-8.01,-8.84,12.00,-24.07,4.90,6.36,11.33,-18.09,12.64,-9.93,7.25,-24.01,16.16,3.10,28.39,-18.35,-2.22,-0.58,22.98,-27.34,20.89
IncomeRevenues_sq,,8.42,11.45,16.81,-0.21,28.43,5.14,-16.85,-3.50,20.77,6.06,-12.77,2.03,2.13,-9.51,-7.82,-6.49,13.60,8.26,23.94,27.82,17.01,25.39,1.82,5.24,9.69,-2.76,24.87,-4.64,-0.34,-18.52,-4.20,-3.54,6.76,-12.74,10.85,-19.71,-3.68,6.36,11.54,-18.09,-1.18,0.21,7.25,-21.67,11.26,5.88,14.88,-9.88,-2.34,-8.39,16.82,-15.74,14.69
IncomeCostOfSales,1150877000,1344099000,1397407000,1734104000,1503010000,2064713000,2158863000,2033632000,1666145000,1973004000,1979289000,1959786000,1905334000,2148734000,2088003000,2347510000,1602639000,2070643000,1884697000,2365254000,2107659000,2438505000,2147249000,2594998000,2667315000,3026212000,2967021000,2970452000,3425000000,4914000000,4869000000,5027000000,4467000000,4520000000,4383000000,4731000000,3664000000,3633000000,3926000000,4528000000,3709000000,3972000000,3928000000,6550000000,3138000000,3566000000,3651000000,4887000000,3548000000,3667000000,3574000000,4415000000,3318000000,4113000000
IncomeCostOfSales_yy,,,,,30.60,53.61,54.49,17.27,10.85,-4.44,-8.32,-3.63,14.36,8.91,5.49,19.78,-15.89,-3.63,-9.74,0.76,31.51,17.77,13.93,9.71,26.55,24.10,38.18,14.47,28.41,62.38,64.10,69.23,30.42,-8.02,-9.98,-5.89,-17.98,-19.62,-10.43,-4.29,1.23,9.33,0.05,44.66,-15.39,-10.22,-7.05,-25.39,13.07,2.83,-2.11,-9.66,-6.48,12.16
IncomeCostOfSales_sy,,,,,30.60,53.61,54.49,17.27,10.85,-4.44,-8.32,-3.63,14.36,8.91,5.49,19.78,-15.89,-3.63,-3.18,12.62,27.41,7.96,18.94,53.22,19.51,24.10,7.84,14.74,19.67,31.24,7.21,7.73,0.01,-1.67,-9.24,-18.00,-17.98,-19.62,-10.43,-4.29,-3.95,6.34,0.05,6.28,-14.28,4.68,-4.66,-23.99,0.98,-4.42,-6.82,-9.66,6.92,12.16
IncomeCostOfSales_qq,,16.79,3.97,24.09,-13.33,37.37,4.56,-5.80,-18.07,18.42,0.32,-0.99,-2.78,12.77,-2.83,12.43,-31.73,29.20,-8.98,25.50,-10.89,15.70,-11.94,20.85,2.79,13.46,-1.96,0.12,15.30,43.47,-0.92,3.25,-11.14,1.19,-3.03,7.94,-22.55,-0.85,8.06,15.33,-18.09,7.09,-1.11,66.75,-52.09,13.64,2.38,33.85,-27.40,3.35,-2.54,23.53,-24.85,23.96
IncomeCostOfSales_sq,,16.79,3.97,24.09,-13.33,37.37,4.56,-5.80,-18.07,18.42,0.32,-0.99,-2.78,12.77,-2.83,3.63,-18.86,26.82,-7.89,25.50,-3.13,15.70,12.93,5.02,2.79,13.46,-1.41,5.13,6.29,-1.18,-14.06,-0.70,-8.82,2.70,-11.92,2.52,-17.75,2.84,5.76,15.33,-8.63,7.09,-1.11,13.83,-38.12,19.94,-2.72,-3.64,-17.94,8.24,-2.44,17.25,-11.66,20.22
