,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,1000,1000,2000,0,3000,2000,1000
IncomeCostOfSales,,,,,,,
IncomeDistributionExpenses,,,,,,,
IncomeAdministrativExpenses,,,,,,,
IncomeGrossProfit,-508000,-2284000,-699000,-675000,-647000,-845000,-664000
IncomeOtherOperatingIncome,450000,520000,223000,305000,532000,405000,427000
IncomeOtherOperatingCosts,,,,,,1175000,350000
IncomeEBIT,-58000,-1765000,-476000,-370000,-116000,-1615000,-588000
IncomeFinanceIncome,7000,6000,11000,98000,57000,44000,28000
IncomeFinanceCosts,1000,4000,8000,16000,4000,10000,0
IncomeOtherIncome,,,,,,,
IncomeNetGrossProfit,-52000,-1762000,-473000,-288000,-63000,-1580000,-560000
IncomeExtraordinarProfit,,,,,,,
IncomeBeforeTaxProfit,-52000,-1762000,-473000,-288000,-63000,-1580000,-560000
IncomeDiscontinuedProfit,,,,,,,
IncomeNetProfit,-52000,-1762000,-473000,-288000,-63000,-1580000,-560000
IncomeShareholderNetProfit,-52000,-1762000,-473000,-288000,-63000,-1580000,-560000
BalanceNoncurrentAssets,12088000,12519000,16558000,17404000,17190000,20457000,21388000
BalanceIntangibleAssets,9764000,9953000,14164000,14941000,14646000,17778000,18532000
BalanceProperty,2323000,2559000,2386000,2454000,2536000,2662000,2855000
BalanceNoncurrentReceivables,,,,,,,
BalanceNoncurrInvestments,,,,,,,
BalanceOtherNoncurrentAssets,,8000,8000,8000,8000,18000,2000
BalanceCurrentAssets,4864000,2996000,15493000,14694000,15348000,14112000,10771000
BalanceInventory,,,,,,,
BalanceCurrentReceivables,256000,468000,541000,643000,1073000,762000,694000
BalanceCurrentInvestments,,,,,,,
BalanceCash,4605000,2526000,14922000,14047000,14269000,13196000,9669000
BalanceOtherCurrentAssets,3000,2000,30000,4000,5000,154000,408000
BalanceAssetsForSale,,,,,,,
BalanceTotalAssets,16952000,15515000,32051000,32098000,32538000,34569000,32159000
BalanceCapital,14765000,13007000,30473000,30182000,30130000,29722000,29504000
BalanceShareCapital,30000,30000,117000,117000,117000,117000,117000
BalanceOwnShares,,,,,,,
BalanceReserve,16389000,16394000,34249000,34239000,34249000,35429000,35770000
BalanceNonshareCapital,,,,,,,
BalanceNoncurrentLiabilities,,49000,49000,49000,49000,151000,135000
BalanceNoncurrentTradeLiabilities,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,
BalanceNoncurrentObligations,,,,,,,
BalanceNoncurrentLeasing,,,,,,,
BalanceNoncurrentOtherLiabilities,,49000,49000,49000,49000,151000,135000
BalanceCurrentLiabilities,2187000,2458000,1528000,1867000,2359000,4697000,2521000
BalanceCurrentTradePayablesv,315000,1133000,594000,961000,1439000,2193000,1016000
BalanceCurrentBorrowings,,,,,,,
BalanceCurrentObligations,,,,,,,
BalanceCurrentLeasing,,,,,,,
BalanceCurrentOtherLiabilities,268000,375000,284000,346000,348000,490000,416000
BalanceReckoning,1604000,951000,650000,559000,572000,2014000,1089000
BalanceTotalEquityAndLiabilities,16952000,15515000,32051000,32098000,32538000,34569000,32159000
CashflowOperatingCashflow,383000,-2158000,-1563000,-423000,-414000,1801000,-2982000
CashflowAmortization,12000,11000,22000,16000,9000,21000,8000
CashflowInvestingCashflow,-3697000,-3302000,-4862000,-5742000,-4739000,-8661000,-4387000
CashflowCapex,29000,647000,187000,477000,456000,565000,545000
CashflowFinancingCashflow,4454000,3381000,18820000,5290000,5375000,5787000,3842000
CashflowShareCapitalCash,,,17943000,0,0,0,
CashflowDividend,,,,,,,1141000
CashflowNetCashflow,-2078000,12395000,-875000,223000,-1073000,-3527000,
