,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,32312000,38069000,38330000,39100000,35802000,40545000,44533000,47602000,47878000,52937000,62793000,62985000,59423000,69076000,67884000,67208000,73586000,74957000,76453000,75768000,89113000,88301000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,2695000,3049000,3372000,2660000,2325000,3081000,4189000,3140000,3286000,3763000,4894000,3874000,4195000,4542000,5662000,4008000,1612000,-110000,1691000,2728000,4864000,4450000
IncomeOtherOperatingIncome,323000,266000,372000,289000,348000,227000,195000,210000,457000,947000,288000,429000,241000,227000,244000,550000,293000,468000,553000,426000,226000,488000
IncomeOtherOperatingCosts,94000,442000,244000,690000,292000,-2000,200000,113000,136000,809000,178000,322000,156000,271000,492000,520000,184000,259000,422000,1134000,319000,240000
IncomeEBIT,2924000,2873000,3500000,2259000,2381000,3310000,4184000,3237000,3607000,3901000,5004000,3981000,4280000,4498000,5414000,4038000,1721000,99000,1822000,2020000,4771000,4698000
IncomeFinanceIncome,321000,-247000,284000,-111000,388000,87000,12000,130000,396000,-130000,-136000,17000,520000,557000,715000,-564000,733000,736000,556000,991000,1836000,-1282000
IncomeFinanceCosts,667000,522000,708000,1378000,899000,389000,-193000,708000,525000,1274000,2162000,2075000,1277000,-270000,487000,941000,854000,577000,285000,976000,902000,3451000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,2578000,2104000,3076000,770000,1870000,3008000,4389000,2659000,3478000,2497000,2706000,1923000,3523000,5325000,5642000,2533000,1600000,258000,2093000,2035000,5705000,-35000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,2578000,2104000,3076000,770000,1870000,3008000,4389000,2659000,3478000,2497000,2706000,1923000,3523000,5325000,5642000,2533000,1600000,258000,2093000,2035000,5705000,-35000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,2040000,1757000,2459000,653000,1542000,2324000,3571000,2582000,3122000,2620000,2490000,2075000,2788000,4431000,5104000,2518000,206000,924000,2237000,1997000,4990000,433000
IncomeShareholderNetProfit,2014000,1746000,2511000,597000,1556000,2309000,3518000,2636000,3122000,2538000,2492000,2121000,2576000,4112000,4935000,2281000,10000,856000,2164000,1897000,4910000,636000
BalanceNoncurrentAssets,36380000,35728000,35881000,35813000,37527000,42621000,50554000,64796000,73958000,71076000,66758000,68862000,68216000,75189000,74748000,84173000,90542000,101265000,120921000,145436000,164513000,178021000
BalanceIntangibleAssets,61000,46000,34000,27000,31000,27000,100000,107000,101000,89000,95000,2045000,2032000,2046000,2067000,2575000,2608000,2529000,2593000,2524000,2878000,2969000
BalanceProperty,33071000,32494000,32847000,32730000,34419000,39409000,46973000,60719000,69404000,66483000,62653000,62269000,61705000,69119000,68830000,77735000,84841000,94076000,113485000,137932000,156645000,168988000
BalanceNoncurrentReceivables,91000,17000,16000,14000,17000,17000,20000,22000,24000,23000,19000,107000,319000,25000,24000,259000,70000,232000,147000,25000,31000,32000
BalanceNoncurrInvestments,,,,,,,,,7000,,,,,,,,,,,,3157000,3171000
BalanceOtherNoncurrentAssets,2984000,3042000,3060000,3168000,3461000,3948000,4422000,4481000,3991000,4441000,4160000,3999000,3827000,3604000,3023000,4428000,4696000,4955000,4959000,6032000,43676000,54151000
BalanceCurrentAssets,57542000,64436000,60359000,61279000,71104000,74396000,77236000,83864000,93793000,89128000,95449000,99640000,131411000,123678000,130473000,132122000,136854000,143304000,154846000,161519000,18820000,22315000
BalanceInventory,26862000,27412000,23591000,29884000,34516000,38675000,39601000,41044000,43220000,41155000,46330000,42883000,43350000,54490000,57606000,56811000,66302000,73955000,65219000,81392000,21363000,28485000
BalanceCurrentReceivables,27042000,23713000,25634000,25135000,29339000,28581000,31944000,36739000,44572000,38941000,41714000,48637000,78935000,46684000,49816000,61340000,59699000,48063000,55029000,67521000,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,,,2904000,2751000
BalanceCash,3067000,13047000,10863000,6095000,6986000,6846000,5339000,5747000,5735000,8785000,6835000,7592000,8755000,22102000,22469000,13477000,10328000,20789000,33738000,11860000,589000,600000
BalanceOtherCurrentAssets,571000,264000,271000,165000,263000,294000,352000,334000,266000,247000,570000,528000,371000,402000,582000,494000,525000,497000,860000,746000,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,80056000,89879000
BalanceTotalAssets,93423000,100249000,97886000,103900000,121658000,139192000,151194000,154940000,160551000,157990000,163665000,174829000,206159000,207851000,221015000,233387000,257775000,288740000,319359000,339540000,24777000,26148000
BalanceCapital,27014000,53783000,54722000,57049000,61891000,64451000,69157000,68213000,68393000,72668000,74401000,81691000,115847000,122071000,120628000,116219000,118638000,118294000,125252000,128544000,6483000,6483000
BalanceShareCapital,6483000,8643000,8643000,8643000,8643000,8643000,8643000,8643000,8643000,8643000,8643000,8643000,10443000,10589000,10589000,10589000,10589000,10589000,10589000,10589000,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,16611000,20445000
BalanceReserve,18752000,42855000,42641000,47275000,48602000,47836000,49824000,52863000,50607000,52759000,51995000,56535000,84223000,87772000,86320000,94144000,94323000,92099000,94142000,102291000,4118000,3970000
BalanceNonshareCapital,3599000,3343000,3390000,3420000,3764000,92000,78000,34000,255000,614000,928000,1391000,1640000,1521000,1411000,1449000,1504000,1308000,14625000,21294000,20488000,5423000
BalanceNoncurrentLiabilities,5025000,6820000,10073000,26201000,30798000,30982000,29889000,31796000,30684000,30374000,29134000,14828000,25139000,29923000,46501000,63991000,76388000,92907000,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,11824000,18484000,17913000,2897000
BalanceNoncurrentBorrowings,2399000,4038000,6910000,18216000,26726000,27135000,26477000,27674000,26669000,25911000,24739000,10838000,20602000,25064000,41632000,59625000,72347000,88786000,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,176000,148000,110000,179000
BalanceNoncurrentLeasing,309000,300000,271000,373000,353000,421000,399000,433000,394000,508000,552000,514000,847000,874000,809000,634000,476000,544000,2625000,2662000,2465000,2347000
BalanceNoncurrentOtherLiabilities,2317000,2482000,2892000,7612000,3719000,3426000,3013000,3689000,3621000,3955000,3843000,3476000,3690000,3985000,4060000,3732000,3565000,3577000,36536000,38467000,42322000,37700000
BalanceCurrentLiabilities,34749000,36611000,45930000,48540000,51239000,55653000,62191000,53492000,58325000,62150000,60250000,69561000,73608000,85724000,91225000,105006000,116215000,116781000,11953000,13466000,12180000,7539000
BalanceCurrentTradePayablesv,10648000,13870000,18188000,22124000,18612000,20890000,27313000,26108000,27637000,28944000,33386000,35328000,34212000,40746000,52917000,67971000,47096000,54523000,21789000,21677000,27290000,23591000
BalanceCurrentBorrowings,19382000,17602000,22163000,17804000,20582000,22652000,23717000,17748000,23961000,28126000,21866000,29092000,32710000,38602000,31986000,29018000,55065000,47851000,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,209000,189000,172000,540000
BalanceCurrentLeasing,288000,338000,251000,329000,374000,430000,411000,471000,515000,502000,1068000,787000,833000,710000,685000,640000,1706000,2512000,1986000,5440000,3658000,4049000
BalanceCurrentOtherLiabilities,4274000,5961000,9675000,10966000,9322000,7982000,5327000,3365000,3142000,4002000,5079000,5059000,3895000,5561000,12129000,12087000,879000,623000,694000,590000,773000,752000
BalanceReckoning,1054000,2322000,2370000,1145000,1465000,1224000,989000,1244000,1341000,637000,539000,530000,1594000,1746000,1240000,1680000,80056000,89879000,93423000,100249000,97886000,103900000
BalanceTotalEquityAndLiabilities,121658000,139192000,151194000,154940000,160551000,157990000,163665000,174829000,206159000,207851000,221015000,233387000,257775000,288740000,319359000,339540000,,,,,,
CashflowOperatingCashflow,6960000,-7165000,-50000,2177000,5400000,344000,-2842000,9663000,-2332000,-514000,2277000,8447000,-5035000,7762000,7512000,6375000,-2193000,-3127000,8405000,20586000,-4150000,-15618000
