,2016/Q3,2016/Q4,2017/Q3,2017/Q4
IncomeRevenues,20149000,22714000,29122000,30599000
IncomeCostOfSales,,,,
IncomeDistributionExpenses,,,,
IncomeAdministrativExpenses,,,,
IncomeGrossProfit,3298000,4367000,4236000,4203000
IncomeOtherOperatingIncome,-2000,337000,61000,64000
IncomeOtherOperatingCosts,-251000,265000,228000,173000
IncomeEBIT,3547000,4439000,4069000,4094000
IncomeFinanceIncome,-60000,51000,79000,5000
IncomeFinanceCosts,1531000,767000,889000,608000
IncomeOtherIncome,,,,
IncomeNetGrossProfit,1956000,3723000,3259000,3491000
IncomeExtraordinarProfit,,,,
IncomeBeforeTaxProfit,1956000,3723000,3259000,3491000
IncomeDiscontinuedProfit,-141000,-619000,0,0
IncomeNetProfit,1423000,2061000,2603000,2787000
IncomeShareholderNetProfit,947000,1410000,1744000,1946000
BalanceNoncurrentAssets,,113893000,158252000,186033000
BalanceIntangibleAssets,,89950000,132500000,156757000
BalanceProperty,,21409000,22415000,24513000
BalanceNoncurrentReceivables,,,,
BalanceNoncurrInvestments,,,,
BalanceOtherNoncurrentAssets,,2534000,3337000,4763000
BalanceCurrentAssets,,33220000,34692000,31928000
BalanceInventory,,,,
BalanceCurrentReceivables,,27970000,13647000,12616000
BalanceCurrentInvestments,,,,
BalanceCash,,3267000,17283000,15797000
BalanceOtherCurrentAssets,,1983000,3762000,3515000
BalanceAssetsForSale,,1959000,,
BalanceTotalAssets,149072000,192944000,217961000,
BalanceCapital,32257000,92677000,94883000,
BalanceShareCapital,2331000,284000,284000,
BalanceOwnShares,-20000000,,,
BalanceReserve,,,,11214000
BalanceNonshareCapital,9424000,10211000,,53774000
BalanceNoncurrentLiabilities,48496000,67747000,,
BalanceNoncurrentTradeLiabilities,,,,39136000
BalanceNoncurrentBorrowings,32124000,48850000,,
BalanceNoncurrentObligations,,,,2143000
BalanceNoncurrentLeasing,2217000,2496000,,12495000
BalanceNoncurrentOtherLiabilities,14155000,16401000,,50095000
BalanceCurrentLiabilities,42347000,45120000,,9330000
BalanceCurrentTradePayablesv,11569000,10197000,,27341000
BalanceCurrentBorrowings,10098000,12852000,,
BalanceCurrentObligations,,,,1700000
BalanceCurrentLeasing,1536000,2238000,,8245000
BalanceCurrentOtherLiabilities,9710000,8047000,,5211000
BalanceReckoning,9434000,11786000,0,147340000
BalanceTotalEquityAndLiabilities,192944000,217961000,,
CashflowOperatingCashflow,7373000,5590000,5422000,4108000
CashflowAmortization,2273000,1631000,2295000,2085000
CashflowInvestingCashflow,-16638000,-1510000,-4291000,-23748000
CashflowCapex,20868000,1585000,4349000,23953000
CashflowFinancingCashflow,11933000,-4253000,14102000,18154000
CashflowShareCapitalCash,-908000,100000,57276000,-23000
CashflowDividend,,,,
CashflowNetCashflow,2668000,-173000,15233000,-1486000
