,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,6624000,13000000,13366000,17557000,28459000,51419000,57412000,72124000,47372000,50429000,59549000,70386000,103955000,45504000,67250000,99969000,107327000,118417000,125011000,140247000,139551000,162324000,164680000,186369000,206640000,126043000,35957000,14678000,16353000,22374000,15333000,16519000
IncomeRevenues_yy,,,,,329.63,295.54,329.54,310.80,66.46,-1.93,3.72,-2.41,119.44,-9.77,12.93,42.03,3.24,160.24,85.89,40.29,30.02,37.08,31.73,32.89,48.07,-22.35,-78.17,-92.12,-92.09,-82.25,-57.36,12.54
IncomeRevenues_sy,,,,,3.42,13.32,12.09,12.84,18.92,16.33,1.74,7.05,6.00,8.05,13.82,11.45,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,96.25,2.82,31.36,62.09,80.68,11.65,25.63,-34.32,6.45,18.09,18.20,47.69,-56.23,47.79,48.65,7.36,10.33,5.57,12.19,-0.50,16.32,1.45,13.17,10.88,-39.00,-71.47,-59.18,11.41,36.82,-31.47,7.73
IncomeRevenues_sq,,9.67,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,-20.17,18.91,-1.46,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,,,,,,,,,171165000,48709000,56803000,66762000,99632000,42770000,62914000,93795000,99463000,108335000,116398000,129290000,130567000,151024000,152905000,172429000,191555000,111898000,28324000,7895000,8684000,10390000,8296000,7864000
IncomeCostOfSales_yy,,,,,,,,,,,,,-41.79,-12.19,10.76,40.49,-0.17,153.29,85.01,37.84,31.27,39.40,31.36,33.37,46.71,-25.91,-81.48,-95.42,-95.47,-90.71,-70.71,-0.39
IncomeCostOfSales_sy,,,,,,,,,,,,,-2.98,1.74,9.33,11.04,16.00,15.20,15.97,31.62,14.76,14.30,16.56,9.72,8.42,11.96,16.41,9.28,18.67,6.86,5.61,6.16
IncomeCostOfSales_qq,,,,,,,,,,-71.54,16.62,17.53,49.24,-57.07,47.10,49.08,6.04,8.92,7.44,11.08,0.99,15.67,1.25,12.77,11.09,-41.58,-74.69,-72.13,10.00,19.65,-20.15,-5.21
IncomeCostOfSales_sq,,,,,,,,,,3.70,-15.50,14.89,1.36,5.63,-11.32,10.44,6.04,8.38,-11.00,11.40,-0.24,12.08,-11.80,11.94,2.11,14.73,-12.21,11.66,5.21,18.86,-15.59,6.69
IncomeDistributionExpenses,,,,,,,,,1420000,973000,489000,413000,646000,1324000,1584000,2181000,3052000,3835000,3798000,4641000,4421000,6966000,4805000,5927000,7566000,9842000,6816000,7100000,7429000,8974000,7972000,8028000
IncomeDistributionExpenses_yy,,,,,,,,,,,,,-54.53,36.03,223.70,427.93,372.58,189.70,139.75,112.76,44.88,81.64,26.52,27.72,71.13,41.29,41.86,19.79,-1.81,-8.83,16.97,13.07
IncomeDistributionExpenses_sy,,,,,,,,,,,,,9.79,12.14,13.00,19.83,16.01,7.98,15.06,6.30,9.13,11.27,19.15,22.35,14.36,17.50,23.08,19.95,19.76,16.76,5.72,13.07
IncomeDistributionExpenses_qq,,,,,,,,,,-31.47,-49.72,-15.57,56.30,105.01,19.66,37.69,39.92,25.67,-0.98,22.19,-4.72,57.56,-31.03,23.35,27.66,30.08,-30.75,4.16,4.64,20.79,-11.16,0.70
IncomeDistributionExpenses_sq,,,,,,,,,,8.91,-9.85,6.13,1.46,9.48,-8.20,10.70,-0.47,9.74,-6.31,7.07,-0.89,16.72,-9.60,11.28,-0.14,15.83,-7.52,6.26,-0.54,10.14,-11.94,8.02
IncomeAdministrativExpenses,,,,,,,,,940000,378000,453000,339000,416000,523000,324000,415000,308000,511000,508000,477000,705000,679000,676000,622000,592000,832000,542000,636000,589000,642000,531000,605000
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,-55.79,38.52,-28.57,22.63,-25.81,-2.35,56.89,14.97,128.84,32.87,33.01,30.35,-16.14,22.55,-19.75,2.28,-0.50,-22.83,-2.15,-4.87
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,13.70,-5.74,-2.36,18.22,-0.24,5.56,8.98,11.70,14.94,8.94,7.61,10.59,0.20,14.98,12.23,12.42,6.59,-0.05,3.83,-1.75
IncomeAdministrativExpenses_qq,,,,,,,,,,-59.81,20.01,-25.33,22.75,25.94,-38.11,28.18,-25.74,65.78,-0.57,-6.07,47.79,-3.74,-0.46,-7.95,-4.91,40.67,-34.82,17.32,-7.49,9.10,-17.36,14.05
IncomeAdministrativExpenses_sq,,,,,,,,,,11.44,-4.56,4.46,0.03,-1.86,-5.04,11.96,-0.39,10.18,-3.50,5.02,-1.14,0.44,-6.66,2.94,3.09,24.79,-10.90,16.00,-6.22,9.10,-5.88,7.89
IncomeGrossProfit,53000,1741000,22000,658000,1410000,1686000,117000,2327000,940000,367000,1804000,2873000,3262000,887000,2428000,3578000,4504000,5736000,4307000,5840000,3857000,3655000,6294000,7391000,6927000,3470000,275000,-952000,-349000,2368000,-1466000,22000
IncomeGrossProfit_yy,,,,,2560.38,-3.18,431.82,253.65,-33.33,-78.20,1441.75,23.44,247.01,141.25,34.62,24.56,38.08,547.04,77.35,63.21,-14.36,-36.29,46.14,26.57,79.59,-5.04,-95.63,-112.88,-105.03,-31.76,-633.40,102.32
