,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,1361000,1980000,2390000,2472000,2859000,3323000,4157000,5430000,5648000,5889000,6823000,7251000,8110000,9089000,9742000,12048000,12037000,11074000,12022000,12407000,12802000,14226000
IncomeNetProfit_yy,,,,,110.15,67.82,73.96,119.69,97.51,77.22,64.14,33.54,43.59,54.35,42.78,66.16,48.43,21.83,23.41,2.98,6.35,28.47
IncomeNetProfit_sy,,,,,4.06,18.29,17.52,17.00,8.94,6.69,14.40,26.46,18.74,-9.72,2.76,17.60,-16.72,39.28,2.95,-0.30,2.89,9.83
IncomeNetProfit_qq,,45.52,20.68,3.43,15.69,16.21,25.10,30.62,4.01,4.27,15.87,6.27,11.84,12.08,7.18,23.68,-0.09,-8.01,8.57,3.20,3.18,11.13
IncomeNetProfit_sq,,-39.85,-16.88,14.77,33.02,-32.88,0.38,30.54,24.62,-14.02,-13.22,15.20,19.31,-27.37,15.92,18.56,3.57,-17.83,-10.45,-6.12,0.24,-9.83
IncomeShareholderNetProfit,1361000,1980000,2390000,2472000,2859000,3323000,4157000,5430000,5648000,5889000,6823000,7251000,8110000,9089000,9742000,12048000,12037000,11074000,12022000,12407000,12802000,14226000
IncomeShareholderNetProfit_yy,,,,,110.15,67.82,73.96,119.69,97.51,77.22,64.14,33.54,43.59,54.35,42.78,66.16,48.43,21.83,23.41,2.98,6.35,28.47
IncomeShareholderNetProfit_sy,,,,,4.06,19.06,15.46,22.26,9.16,6.69,14.40,26.46,20.43,-14.83,-7.72,13.26,-22.66,39.28,3.32,1.23,2.89,8.02
IncomeShareholderNetProfit_qq,,45.52,20.68,3.43,15.69,16.21,25.10,30.62,4.01,4.27,15.87,6.27,11.84,12.08,7.18,23.68,-0.09,-8.01,8.57,3.20,3.18,11.13
IncomeShareholderNetProfit_sq,,-42.21,-16.88,10.39,30.16,-31.18,-3.97,31.23,28.52,-15.18,-13.66,15.43,21.18,-27.37,20.18,6.16,3.57,-11.06,-10.45,-2.33,0.24,-6.33
BalanceNoncurrentAssets,2242000,2497000,2682000,2957000,3101000,3482000,3548000,3728000,3931000,4040000,4551000,4893000,5552000,6090000,6947000,7510000,8062000,8694000,9245000,10200000,11439000,12191000
BalanceNoncurrentAssets_yy,,,,,38.33,39.46,32.25,26.09,26.77,16.05,28.29,31.25,41.25,50.73,52.64,53.46,45.20,42.77,33.08,35.83,41.88,40.21
BalanceNoncurrentAssets_sy,,,,,3.18,6.30,0.34,6.03,7.71,4.60,6.50,6.73,7.42,8.06,6.56,5.88,4.79,7.16,3.72,2.52,3.77,3.72
BalanceNoncurrentAssets_qq,,11.38,7.45,10.22,4.87,12.28,1.89,5.09,5.43,2.79,12.65,7.52,13.46,9.68,14.07,8.10,7.35,7.85,6.33,10.33,12.14,6.58
BalanceNoncurrentAssets_sq,,-0.62,1.18,-0.06,0.36,1.44,0.56,1.22,1.19,-0.30,1.67,1.16,1.82,-0.24,1.35,0.48,2.20,0.31,-0.61,0.25,2.70,0.26
BalanceIntangibleAssets,727000,1427000,1338000,1348000,1207000,2320000,2744000,2852000,3057000,2832000,3154000,3441000,3778000,4308000,4779000,4411000,6059000,6643000,7049000,7474000,8463000,8957000
BalanceIntangibleAssets_yy,,,,,65.89,62.51,105.16,111.50,153.37,22.10,14.95,20.66,23.60,52.12,51.49,28.17,60.36,54.20,47.51,69.45,39.68,34.83
BalanceIntangibleAssets_sy,,,,,0.78,1.04,-1.83,-0.13,2.14,4.74,3.87,3.13,4.82,2.59,3.92,4.58,3.62,-0.06,6.73,6.44,5.18,-0.12
BalanceIntangibleAssets_qq,,96.24,-6.28,0.81,-10.53,92.25,18.31,3.93,7.19,-7.35,11.38,9.10,9.79,14.03,10.92,-7.70,37.37,9.65,6.11,6.03,13.23,5.84
BalanceIntangibleAssets_sq,,-1.51,-0.02,-0.55,-0.20,-0.16,-0.05,0.03,1.00,-0.12,0.14,-0.12,0.13,-0.51,-0.12,-0.24,1.42,-0.20,-0.05,-0.18,1.13,0.04
BalanceProperty,372000,382000,367000,393000,381000,407000,383000,383000,355000,363000,474000,524000,568000,588000,574000,580000,572000,622000,655000,755000,1231000,1278000
BalanceProperty_yy,,,,,2.41,6.67,4.43,-2.61,-6.78,-10.93,23.67,36.92,60.10,62.16,21.16,10.64,0.75,5.69,14.12,30.22,115.02,105.46
BalanceProperty_sy,,,,,3.59,6.39,3.39,7.66,1.70,-0.17,10.79,6.54,7.53,8.49,2.55,1.34,0.21,0.96,-2.66,-0.12,0.53,-1.37
BalanceProperty_qq,,2.75,-3.93,7.08,-3.12,7.03,-5.95,-0.14,-7.27,2.26,30.60,10.56,8.43,3.58,-2.42,0.96,-1.27,8.66,5.36,15.21,63.02,3.83
BalanceProperty_sq,,-0.54,-0.58,-0.13,0.66,1.70,-0.57,1.29,0.20,-1.50,1.82,0.42,2.12,-0.20,0.20,-0.16,,-0.77,-0.56,-0.83,-0.39,-0.24
BalanceNoncurrentReceivables,0,,,,,,,,47000,,53000,,53000,40000,40000,40000,40000,40000,40000,40000,188000,168000
BalanceNoncurrentReceivables_yy,,,,,-100.00,,,,,,,,11.14,,-23.64,,-23.69,,,,368.17,318.28
BalanceNoncurrentReceivables_sy,,,,,-3.41,,,,,,,,,,,,,,,,1.40,1.15
BalanceNoncurrentReceivables_qq,,-100.00,,,,,,,,-100.00,,-100.00,,-23.69,,,,,,,368.17,-10.66
BalanceNoncurrentReceivables_sq,,-8.41,,,,,,,,-0.94,,,,,,,,,,,0.96,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,1142000,687000,978000,1215000,1514000,755000,420000,494000,472000,845000,870000,928000,1153000,1153000,1554000,2479000,1391000,1389000,1501000,1931000,1557000,1788000
BalanceOtherNoncurrentAssets_yy,,,,,32.49,9.80,-57.04,-59.39,-68.83,12.01,107.19,88.05,144.47,36.41,78.54,167.13,20.57,20.47,-3.43,-22.10,11.99,28.73
BalanceOtherNoncurrentAssets_sy,,,,,5.86,13.81,4.67,9.07,25.42,20.96,8.88,31.29,7.46,17.98,24.42,16.06,26.03,9.53,8.29,9.59,-3.00,-5.31
BalanceOtherNoncurrentAssets_qq,,-39.83,42.28,24.27,24.54,-50.14,-44.33,17.48,-4.41,79.19,2.97,6.62,24.27,-0.01,34.77,59.52,-43.91,-0.10,8.03,28.68,-19.36,14.84
BalanceOtherNoncurrentAssets_sq,,-0.22,1.77,-0.47,5.11,,1.00,1.41,21.50,0.54,1.49,1.54,17.48,,2.96,0.64,11.08,0.18,1.82,-1.56,-3.42,-2.08
BalanceCurrentAssets,6022000,9029000,4023000,6634000,9811000,13259000,8032000,11895000,17357000,23295000,11898000,19780000,26524000,35345000,16588000,28251000,39471000,49436000,24962000,37364000,37205000,51500000
BalanceCurrentAssets_yy,,,,,62.91,46.86,99.65,79.30,76.92,75.69,48.13,66.28,52.81,51.73,39.41,42.83,48.81,39.87,50.48,32.26,-5.74,4.17
BalanceCurrentAssets_sy,,,,,10.63,6.40,9.18,9.22,8.68,8.78,6.21,10.38,10.86,7.48,6.80,7.32,7.48,13.43,8.04,10.42,0.67,4.17
BalanceCurrentAssets_qq,,49.93,-55.44,64.90,47.89,35.15,-39.42,48.10,45.92,34.21,-48.92,66.24,34.10,33.26,-53.07,70.31,39.71,25.25,-49.51,49.68,-0.42,38.42
BalanceCurrentAssets_sq,,-3.81,-0.12,0.43,14.65,3.31,1.40,-0.19,16.79,1.06,-3.00,0.06,9.30,-5.14,2.46,0.40,14.26,-2.30,1.36,-1.09,4.77,-6.50
BalanceInventory,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory_yy,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory_sy,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory_qq,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory_sq,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentReceivables,904000,2454000,1194000,1190000,1442000,1578000,1822000,2083000,2142000,2346000,2695000,2833000,3271000,3436000,3890000,4326000,4510000,5150000,6032000,6418000,6912000,8123000
BalanceCurrentReceivables_yy,,,,,59.44,-35.68,52.56,75.06,48.56,48.64,47.97,36.02,52.73,46.47,44.31,52.67,37.87,49.89,55.07,48.37,53.26,57.73
BalanceCurrentReceivables_sy,,,,,22.30,10.19,8.59,15.77,21.23,15.24,15.24,25.05,-9.84,-6.52,5.10,-10.19,5.68,4.19,2.75,1.68,7.46,8.87
BalanceCurrentReceivables_qq,,171.35,-51.34,-0.34,21.16,9.47,15.42,14.36,2.81,9.53,14.90,5.12,15.45,5.04,13.21,11.21,4.26,14.20,17.12,6.41,7.69,17.53
BalanceCurrentReceivables_sq,,-10.62,9.93,-2.54,13.58,-4.57,8.94,3.03,20.24,-8.30,-1.24,5.34,3.42,-5.30,9.86,-7.28,16.28,-3.65,4.61,-1.48,26.60,-13.90
BalanceCurrentInvestments,3749000,268000,,,107000,152000,,175000,,,,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,-97.14,-43.06,,,-100.00,-100.00,,-100.00,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,-42.57,-40.58,,,,-23.32,,-24.87,,,,,,,,,,
BalanceCurrentInvestments_qq,,-92.86,-100.00,,,42.17,-100.00,,-100.00,,,,,,,,,,,,,
BalanceCurrentInvestments_sq,,2.05,-45.75,,,1.29,-10.46,,-2.15,,,,,,,,,,,,,
BalanceCash,1355000,6303000,2829000,5347000,8227000,11516000,6199000,9627000,15158000,20712000,9021000,16853000,23214000,31907000,12653000,23888000,34750000,44202000,18518000,30641000,30134000,43331000
BalanceCash_yy,,,,,507.04,82.70,119.11,80.03,84.25,79.86,45.52,75.06,53.15,54.05,40.27,41.74,49.69,38.54,46.34,28.27,-13.28,-1.97
BalanceCash_sy,,,,,0.91,10.41,10.48,2.10,15.77,-13.33,29.94,2.23,43.00,6.95,-0.50,10.48,-5.74,23.39,20.09,7.03,-3.22,-1.97
BalanceCash_qq,,365.08,-55.11,89.01,53.85,39.98,-46.17,55.30,57.46,36.64,-56.45,86.82,37.74,37.45,-60.34,88.79,45.47,27.20,-58.11,65.47,-1.65,43.79
BalanceCash_sq,,2.46,-14.45,4.15,17.41,5.46,-29.15,-5.80,23.59,-0.76,2.00,-17.96,46.15,-28.09,-1.18,4.28,26.30,13.46,-8.78,-14.68,7.76,-4.11
BalanceOtherCurrentAssets,14000,5000,,97000,35000,13000,12000,10000,58000,237000,182000,93000,39000,3000,44000,37000,211000,84000,413000,305000,159000,45000
BalanceOtherCurrentAssets_yy,,,,,155.83,182.65,,-89.89,63.09,1665.03,1479.31,855.38,-32.69,-98.86,-75.54,-60.09,445.88,2993.72,827.81,717.41,-24.66,-45.80
BalanceOtherCurrentAssets_sy,,,,,8.12,24.82,,29.55,15.80,4.91,-7.48,-1.99,-0.40,-5.64,7.62,29.59,22.24,21.04,22.77,8.31,-0.62,-2.60
BalanceOtherCurrentAssets_qq,,-65.50,-100.00,,-63.54,-61.88,-14.34,-15.11,488.39,312.53,-23.35,-48.65,-58.55,-93.01,1543.72,-16.21,466.93,-60.38,392.95,-26.18,-47.74,-71.50
BalanceOtherCurrentAssets_sq,,12.94,-8.66,,-11.27,19.48,-0.86,-10.29,,24.03,-5.60,-13.65,-4.08,13.70,9.03,1.77,-0.76,10.00,6.26,-4.91,-9.40,8.52
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,8264000,11526000,6706000,9591000,12912000,16741000,11580000,15623000,21288000,27336000,16449000,24673000,32076000,41435000,23535000,35761000,47533000,58130000,34207000,47564000,48644000,63690000
BalanceTotalAssets_yy,,,,,56.25,45.25,72.69,62.90,64.88,63.28,42.05,57.92,50.68,51.58,43.07,44.94,48.19,40.29,45.35,33.01,2.34,9.56
BalanceTotalAssets_sy,,,,,7.75,8.03,3.34,7.55,11.16,7.96,7.01,12.37,6.62,5.23,7.30,5.08,6.36,8.83,6.76,6.43,5.64,4.20
BalanceTotalAssets_qq,,39.47,-41.82,43.03,34.63,29.66,-30.83,34.92,36.26,28.41,-39.82,49.99,30.00,29.18,-43.20,51.95,32.92,22.30,-41.15,39.05,2.27,30.93
BalanceTotalAssets_sq,,1.00,2.23,1.09,5.24,1.56,1.48,-0.19,8.93,0.94,-0.07,0.38,4.84,-2.34,3.15,2.67,7.55,-0.39,0.63,-0.74,5.36,-2.04
BalanceCapital,7015000,9009000,5385000,7856000,10711000,14052000,8672000,14104000,19739000,25666000,14167000,21534000,29526000,38639000,20594000,32654000,44649000,55689000,31397000,43776000,45234000,59463000
BalanceCapital_yy,,,,,52.70,55.98,61.04,79.52,84.29,82.65,63.36,52.69,49.58,50.54,45.37,51.64,51.22,44.13,52.46,34.06,1.31,6.78
BalanceCapital_sy,,,,,8.77,5.77,4.26,2.34,3.92,4.15,3.20,3.52,2.46,3.04,4.00,3.32,8.54,2.47,3.48,5.23,4.69,6.73
BalanceCapital_qq,,28.43,-40.23,45.90,36.33,31.19,-38.29,62.64,39.95,30.03,-44.80,52.01,37.11,30.86,-46.70,58.56,36.73,24.73,-43.62,39.43,3.33,31.46
BalanceCapital_sq,,2.90,-1.04,1.68,3.20,1.68,-1.62,1.05,3.02,1.79,-2.35,2.49,1.92,1.16,-1.28,1.12,3.86,0.68,-2.14,2.54,2.59,0.62
BalanceShareCapital,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000,515000
BalanceShareCapital_yy,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,,,,
