,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceCosts_sq,,3.64,8.74,6.40,-2.29,46.92,-62.32,133.79,-25.63,3.42,5.87,22.18,14.07,2.08
IncomeOtherIncome,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,
IncomeNetGrossProfit,4237000,2656000,4399000,2871000,4231000,3914000,5585000,3045000,6482000,3893000,3615000,4736000,2468000,342000
IncomeNetGrossProfit_yy,,,,,-0.14,47.36,26.96,6.06,53.20,-0.54,-35.27,55.53,-61.93,-91.22
IncomeNetGrossProfit_sy,,,,,8.45,44.22,63.38,45.48,12.79,-26.64,-12.52,10.15,-24.12,3.96
IncomeNetGrossProfit_qq,,-37.31,65.62,-34.74,47.37,-7.49,42.69,-45.48,112.87,-39.94,-7.14,31.01,-47.89,-86.14
IncomeNetGrossProfit_sq,,3.70,43.50,5.16,66.70,-5.66,24.65,-58.69,48.25,3.84,26.08,-83.25,31.77,12.37
IncomeExtraordinarProfit,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,4237000,2656000,4399000,2871000,4231000,3914000,5585000,3045000,6482000,3893000,3615000,4736000,2468000,342000
IncomeBeforeTaxProfit_yy,,,,,-0.14,47.36,26.96,6.06,53.20,-0.54,-35.27,55.53,-61.93,-91.22
IncomeBeforeTaxProfit_sy,,,,,8.45,44.22,63.38,45.48,12.79,-26.64,-12.52,10.15,-24.12,3.96
IncomeBeforeTaxProfit_qq,,-37.31,65.62,-34.74,47.37,-7.49,42.69,-45.48,112.87,-39.94,-7.14,31.01,-47.89,-86.14
IncomeBeforeTaxProfit_sq,,3.70,43.50,5.16,66.70,-5.66,24.65,-58.69,48.25,3.84,26.08,-83.25,31.77,12.37
IncomeDiscontinuedProfit,,,,,,,,,,,-2000,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,100.00,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,-268.92,,
IncomeNetProfit,3250000,2175000,3512000,2218000,3407000,3096000,4337000,2597000,5389000,3174000,2730000,3902000,1956000,260000
IncomeNetProfit_yy,,,,,4.83,42.34,23.49,17.09,58.17,2.52,-37.05,50.25,-63.70,-91.81
IncomeNetProfit_sy,,,,,32.50,38.50,104.01,24.37,3.55,-17.14,-27.62,32.68,-17.51,-16.38
IncomeNetProfit_qq,,-33.08,61.47,-36.85,53.61,-9.13,40.08,-40.12,107.51,-41.10,-13.99,42.93,-49.87,-86.71
IncomeNetProfit_sq,,-11.74,32.16,30.94,67.72,-3.00,44.88,-69.48,69.54,-0.66,6.89,-84.60,59.21,7.43
IncomeShareholderNetProfit,3250000,2175000,3512000,2218000,3407000,3096000,4337000,2597000,5387000,3173000,2733000,3901000,1954000,259000
IncomeShareholderNetProfit_yy,,,,,4.83,42.34,23.49,17.09,58.12,2.49,-36.98,50.21,-63.73,-91.84
IncomeShareholderNetProfit_sy,,,,,32.19,38.50,110.14,26.46,0.94,-17.13,-27.45,32.68,-17.51,-16.11
IncomeShareholderNetProfit_qq,,-33.08,61.47,-36.85,53.61,-9.13,40.08,-40.12,107.43,-41.10,-13.87,42.74,-49.91,-86.75
IncomeShareholderNetProfit_sq,,-11.82,33.67,30.94,67.72,-3.12,44.88,-69.20,60.60,-0.66,7.03,-84.60,72.83,7.38
BalanceNoncurrentAssets,70892000,70400000,71853000,72298000,72966000,76344000,94059000,111849000,118112000,124989000,136042000,139597000,138138000,150234000
BalanceNoncurrentAssets_yy,,,,,2.93,8.44,30.90,54.71,61.87,63.72,44.63,24.81,16.96,20.20
BalanceNoncurrentAssets_sy,,,,,-3.54,-3.96,-3.14,-2.75,-2.51,4.66,2.88,3.07,5.22,5.29
BalanceNoncurrentAssets_qq,,-0.69,2.06,0.62,0.92,4.63,23.20,18.91,5.60,5.82,8.84,2.61,-1.05,8.76
BalanceNoncurrentAssets_sq,,-0.42,-0.81,-0.58,-1.18,-0.63,-0.09,4.67,0.48,0.23,0.94,0.78,0.19,1.34
