,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,35056000,36378000,35686000,40665000,40835000,47726000,47236000,57867000,70602000,79652000
IncomeCostOfSales,10620000,10825000,10952000,14736000,15014000,14746000,15763000,14056000,21594000,22702000
IncomeDistributionExpenses,,,,,,,,,,
IncomeAdministrativExpenses,3778000,4620000,4312000,6959000,4372000,5241000,10531000,12934000,5004000,2709000
IncomeGrossProfit,20659000,20933000,20422000,18970000,21449000,27739000,20942000,30877000,44004000,54241000
IncomeOtherOperatingIncome,,,,98655000,-95030000,118507000,14527000,13804000,70780000,
IncomeOtherOperatingCosts,,,3234000,485000,2337000,3007000,526000,240000,20659000,20933000
IncomeEBIT,20422000,114391000,-74066000,143908000,39000,42397000,57282000,124781000,640000,5049000
IncomeFinanceIncome,9000,-3853000,67027000,389000,-20033000,59027000,1932000,-436000,16766000,58479000
IncomeFinanceCosts,-20085000,45085000,15909000,4497000,9489000,10523000,21884000,62768000,990000,89377000
IncomeOtherIncome,-54728000,66179000,,7210000,5523000,56881000,-14212000,31229000,-22947000,139800000
IncomeNetGrossProfit,36696000,26844000,37329000,68787000,,,,,,
IncomeExtraordinarProfit,,,,,5523000,56881000,-14212000,31229000,-22947000,139800000
IncomeBeforeTaxProfit,36696000,26844000,37329000,68787000,,,,,,
IncomeDiscontinuedProfit,,,,,3270000,58058000,-14488000,7578000,-21648000,107324000
IncomeNetProfit,35783000,11482000,27780000,71932000,3270000,58058000,-14488000,7578000,-21648000,107324000
IncomeShareholderNetProfit,35783000,11482000,27780000,71932000,,,,,,
BalanceNoncurrentAssets,1864356000,2014917000,2012165000,2129731000,2007743000,2264352000,2329017000,2874171000,3153164000,4093475000
BalanceIntangibleAssets,,,,,,,,,,
BalanceProperty,1843505000,1984894000,1981054000,2080961000,1992493000,2147163000,2194224000,2836754000,3114824000,4066669000
BalanceNoncurrentReceivables,2407000,2407000,2419000,3539000,996000,985000,564000,288000,185000,192000
BalanceNoncurrInvestments,12634000,14091000,15170000,11281000,14254000,116178000,119573000,36933000,37839000,25821000
BalanceOtherNoncurrentAssets,5809000,13524000,13522000,33950000,25000,14655000,196000,316000,794000,78833000
BalanceCurrentAssets,89435000,99305000,90329000,95422000,130696000,144738000,284101000,312666000,813844000,
BalanceInventory,,,,,,,,,,21449000
BalanceCurrentReceivables,28916000,28075000,17010000,32594000,34911000,29914000,44608000,54563000,77170000,22763000
BalanceCurrentInvestments,25278000,26342000,34688000,94825000,96859000,26065000,34621000,35240000,44888000,73319000
BalanceCash,62829000,95785000,80136000,144668000,161244000,710609000,,,,
BalanceOtherCurrentAssets,,,,,,,,,,
BalanceAssetsForSale,,,,,,,1943189000,2104352000,2111470000,2220061000
BalanceTotalAssets,2103165000,2395048000,2473755000,3158272000,3465830000,4907319000,363083000,420648000,308769000,160312000
BalanceCapital,741081000,974356000,1009695000,1020915000,1057899000,3049958000,,,,199000
BalanceShareCapital,565158000,659896000,672793000,651215000,657086000,1931129000,,,,
BalanceOwnShares,,,,,,,-8759000,-22937000,-11806000,-22748000
BalanceReserve,159281000,228818000,213805000,239068000,219461000,930277000,,,,
BalanceNonshareCapital,,,,,,,981937000,896792000,1419963000,1811451000
BalanceNoncurrentLiabilities,1060372000,1259670000,1304550000,1268291000,1290717000,1739467000,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,950556000,850170000,1372656000,1727368000
BalanceNoncurrentBorrowings,1010207000,1171049000,1200386000,1162388000,1173027000,1612196000,,,,
BalanceNoncurrentObligations,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,31381000,46623000,47307000,84083000
BalanceNoncurrentOtherLiabilities,50165000,88621000,104164000,105903000,117691000,127271000,598169000,786911000,382737000,248297000
BalanceCurrentLiabilities,301711000,161021000,159510000,869065000,1117214000,117894000,20369000,16489000,17675000,29123000
BalanceCurrentTradePayablesv,41607000,51627000,22476000,63556000,59790000,81191000,560757000,743342000,331606000,217068000
BalanceCurrentBorrowings,258834000,108194000,111688000,799207000,1054074000,31260000,,,,
BalanceCurrentObligations,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,17044000,27080000,33457000,2106000
BalanceCurrentOtherLiabilities,1270000,1200000,25346000,6302000,3350000,5443000,,,,
BalanceReckoning,,,,,,,1943189000,2104352000,2111470000,2220061000
BalanceTotalEquityAndLiabilities,2103165000,2395048000,2473755000,3158272000,3465830000,4907319000,,,,
CashflowOperatingCashflow,20147000,19300000,20659000,22646000,13073000,23267000,30737000,33217000,32288000,17320000
CashflowAmortization,,,,,,,,,,
CashflowInvestingCashflow,-25837000,-35320000,-35108000,-76411000,-11828000,-114111000,-13561000,-668462000,-243756000,-662418000
CashflowCapex,,,,,,,,647119000,233084000,653869000
CashflowFinancingCashflow,-1362000,16507000,23824000,53871000,-3000000,109699000,612000,621485000,225815000,1232754000
CashflowShareCapitalCash,,4000,,,122759000,125000,229000,1962720000,,
CashflowDividend,,,,,,,,30030000,-7051000,487000
CashflowNetCashflow,9374000,106000,-1755000,18854000,17788000,-13760000,14347000,587656000,,
