,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4
BalanceNoncurrentAssets_yy,,,,,63.33,33.73,,17.73
BalanceNoncurrentAssets_sy,,,,,63.33,14.85,,1.74
BalanceNoncurrentAssets_qq,,21.68,-100.00,,3.21,-0.37,-100.00,
BalanceNoncurrentAssets_sq,,7.80,-100.00,,2.23,0.64,-100.00,
BalanceIntangibleAssets,15175000,15069000,,16526000,16080000,16029000,,15911000
BalanceIntangibleAssets_yy,,,,,5.96,6.37,,-3.72
BalanceIntangibleAssets_sy,,,,,12.19,3.64,,-4.53
BalanceIntangibleAssets_qq,,-0.70,-100.00,,-2.70,-0.31,-100.00,
BalanceIntangibleAssets_sq,,5.18,-100.00,,-0.64,-0.52,-100.00,
BalanceProperty,516002000,620330000,,763695000,807852000,789057000,,918454000
BalanceProperty_yy,,,,,56.56,27.20,,20.26
BalanceProperty_sy,,,,,56.56,10.06,,12.16
BalanceProperty_qq,,20.22,-100.00,,5.78,-2.33,-100.00,
BalanceProperty_sq,,6.82,-100.00,,4.15,1.60,-100.00,
BalanceNoncurrentReceivables,5713000,5682000,,116930000,78787000,77605000,,142984000
BalanceNoncurrentReceivables_yy,,,,,1279.11,1265.82,,22.28
BalanceNoncurrentReceivables_sy,,,,,52.35,16.22,,18.72
BalanceNoncurrentReceivables_qq,,-0.54,-100.00,,-32.62,-1.50,-100.00,
BalanceNoncurrentReceivables_sq,,-0.54,-100.00,,-32.53,3.15,-100.00,
BalanceNoncurrInvestments,48520000,70585000,,22494000,55640000,72111000,,15721000
BalanceNoncurrInvestments_yy,,,,,14.67,2.16,,-30.11
BalanceNoncurrInvestments_sy,,,,,-78.21,-42.76,,-12.27
BalanceNoncurrInvestments_qq,,45.48,-100.00,,147.36,29.60,-100.00,
BalanceNoncurrInvestments_sq,,28.75,-100.00,,-2.44,-4.69,-100.00,
BalanceOtherNoncurrentAssets,1452000,2410000,,9043000,139000,138000,,252000
BalanceOtherNoncurrentAssets_yy,,,,,-90.39,-94.29,,-97.21
BalanceOtherNoncurrentAssets_sy,,,,,-5.00,,,-50.00
