,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,29991000,41822000,30038000,9385000,47533000,28387000,28612000,24210000,25911000,28167000,30240000
IncomeRevenues_yy,,,,,58.49,-32.12,-4.75,157.96,-45.49,-0.78,5.69
IncomeRevenues_sy,,,,,-8.65,1.91,-7.34,12.97,6.02,-0.82,5.69
IncomeRevenues_qq,,39.45,-28.18,-68.76,406.48,-40.28,0.79,-15.39,7.03,8.71,7.36
IncomeRevenues_sq,,-15.41,0.26,-9.84,8.80,0.72,0.79,14.93,-9.51,-3.32,3.79
IncomeCostOfSales,-11173000,16089000,7401000,20344000,-9141000,15895000,10431000,14449000,-3701000,12905000,-1283000
IncomeCostOfSales_yy,,,,,18.19,-1.21,40.94,-28.98,59.51,-18.81,-112.30
IncomeCostOfSales_sy,,,,,11.25,-1.21,-25.91,-28.56,7.05,-19.78,-13.33
IncomeCostOfSales_qq,,244.00,-54.00,174.88,-144.93,273.89,-34.38,38.52,-125.61,448.69,-109.94
IncomeCostOfSales_sq,,3.40,7.41,-1.59,-7.29,2.55,-5.36,6.16,12.28,-5.56,-8.08
IncomeDistributionExpenses,,,,,,,0,,,,8087000
IncomeDistributionExpenses_yy,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,
IncomeAdministrativExpenses,36418000,6518000,14835000,-2761000,30991000,8240000,11486000,6347000,23096000,8187000,15520000
IncomeAdministrativExpenses_yy,,,,,-14.90,26.42,-22.57,329.88,-25.48,-0.64,35.12
IncomeAdministrativExpenses_sy,,,,,-1.18,13.06,-7.88,2.77,-0.64,-0.64,4.95
IncomeAdministrativExpenses_qq,,-82.10,127.60,-118.61,1222.46,-73.41,39.39,-44.74,263.89,-64.55,89.57
IncomeAdministrativExpenses_sq,,-5.53,16.60,-5.40,18.96,-9.44,8.64,-3.38,21.93,-13.39,-1.36
IncomeGrossProfit,4746000,19215000,7802000,-8198000,25683000,4252000,6695000,3414000,6516000,7075000,7916000
IncomeGrossProfit_yy,,,,,441.15,-77.87,-14.19,141.64,-74.63,66.39,18.24
IncomeGrossProfit_sy,,,,,-26.79,-63.24,-32.60,33.49,29.01,26.79,10.56
IncomeGrossProfit_qq,,304.87,-59.40,-205.08,413.28,-83.44,57.46,-49.01,90.86,8.58,11.89
IncomeGrossProfit_sq,,34.88,-50.77,-4.84,-22.88,20.55,-13.37,5.67,-30.59,26.12,3.38
IncomeOtherOperatingIncome,7994000,66000,1733000,21001000,-19120000,862000,1024000,952000,2603000,1248000,1321000
IncomeOtherOperatingIncome_yy,,,,,-339.18,1206.06,-40.91,-95.47,113.61,44.78,29.00
IncomeOtherOperatingIncome_sy,,,,,-1.40,101.42,-2.18,18.09,80.15,45.75,-31.52
IncomeOtherOperatingIncome_qq,,-99.17,2525.76,1111.83,-191.04,104.51,18.79,-7.03,173.42,-52.06,5.85
IncomeOtherOperatingIncome_sq,,-58.44,83.12,-34.11,-20.12,-16.42,19.34,-7.03,52.18,-30.94,-28.27
IncomeOtherOperatingCosts,1326000,63000,589000,8000,465000,21000,7000,125000,174000,258000,23000
IncomeOtherOperatingCosts_yy,,,,,-64.93,-66.67,-98.81,1462.50,-62.58,1128.57,228.57
IncomeOtherOperatingCosts_sy,,,,,-7.70,5.03,-4.74,3.49,-18.32,-8.66,8.98
IncomeOtherOperatingCosts_qq,,-95.25,834.92,-98.64,5712.50,-95.48,-66.67,1685.71,39.20,48.28,-91.09
IncomeOtherOperatingCosts_sq,,-74.01,42.46,-58.78,374.23,-78.88,24.58,1.92,110.69,-71.78,41.21
IncomeEBIT,11414000,19218000,8946000,12795000,6098000,5093000,7712000,4241000,8945000,8065000,9214000
IncomeEBIT_yy,,,,,-46.57,-73.50,-13.79,-66.85,46.69,58.35,19.48
IncomeEBIT_sy,,,,,8.65,-40.24,17.48,8.92,46.69,47.24,-10.84
IncomeEBIT_qq,,68.37,-53.45,43.02,-52.34,-16.48,51.42,-45.01,110.92,-9.84,14.25
IncomeEBIT_sq,,54.92,-39.94,21.84,-52.34,63.65,22.17,-9.22,90.61,28.21,-39.60
IncomeFinanceIncome,-267000,5000,66000,-7000,584000,976000,2069000,1189000,1140000,988000,979000
IncomeFinanceIncome_yy,,,,,318.73,19420.00,3034.85,17085.71,95.21,1.23,-52.68
IncomeFinanceIncome_sy,,,,,18.19,-27.63,-6.63,146.48,-29.98,12.33,100.00
IncomeFinanceIncome_qq,,101.87,1220.00,-110.61,8442.86,67.12,111.99,-42.53,-4.12,-13.33,-0.91
IncomeFinanceIncome_sq,,147.44,100.00,-79.85,99.41,67.12,47.88,-15.31,34.54,-13.33,80.59
IncomeFinanceCosts,32000,216000,118000,171000,413000,230000,47000,128000,47000,70000,738000
IncomeFinanceCosts_yy,,,,,1190.62,6.48,-60.17,-25.15,-88.62,-69.57,1470.21
IncomeFinanceCosts_sy,,,,,-2.07,-24.22,6.88,126.10,13.33,-39.95,-5.83
IncomeFinanceCosts_qq,,575.00,-45.37,44.92,141.52,-44.31,-79.57,172.34,-63.28,48.94,954.29
IncomeFinanceCosts_sq,,-2.36,-3.02,-66.10,141.52,-13.33,5.72,-10.87,41.46,-36.06,24.51
IncomeOtherIncome,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,
IncomeNetGrossProfit,11115000,19007000,8894000,12617000,6269000,5839000,9734000,5302000,10038000,8983000,9455000
IncomeNetGrossProfit_yy,,,,,-43.60,-69.28,9.44,-57.98,60.12,53.84,-2.87
IncomeNetGrossProfit_sy,,,,,21.20,-45.98,-0.89,4.69,60.12,65.32,10.00
