,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,289000,-202000,100000,146000,351000,489000,417000,538000,396000,514000,536000,521000,771000,759000,755000,838000,2846000,3847000,3802000,3336000,3597000,3623000,3705000,3669000,3575000,4342000,4375000,4768000,5057000,5201000,5243000,5809000,6028000,6709000
IncomeRevenues_yy,,,,,21.45,342.08,317.00,267.44,12.82,5.11,28.54,-3.23,94.59,47.60,40.91,61.06,269.34,407.08,403.39,297.85,26.39,-5.82,-2.55,9.98,-0.61,19.85,18.08,29.95,41.45,19.78,19.84,21.83,19.20,28.99
IncomeRevenues_sy,,,,,24.89,6.92,17.00,6.08,5.88,7.25,3.27,1.56,5.51,5.79,0.51,12.60,7.58,1.73,6.95,9.16,25.89,13.28,-0.63,6.98,0.10,2.05,7.15,0.41,7.60,7.04,0.13,3.16,0.82,5.35
IncomeRevenues_qq,,-169.90,149.50,46.42,139.72,39.32,-14.72,29.02,-26.39,29.80,4.28,-2.87,48.01,-1.55,-0.45,11.02,239.42,35.17,-1.17,-12.26,7.82,0.72,2.26,-0.97,-2.56,21.45,0.76,8.98,6.06,2.85,0.81,10.80,3.77,11.30
IncomeRevenues_sq,,7.25,1.76,14.60,-9.46,-2.14,7.32,19.18,-15.72,12.28,-5.86,10.94,-9.20,13.03,-0.02,11.28,-15.93,6.23,7.12,10.66,-18.48,9.74,0.40,31.27,-20.16,12.72,0.76,4.75,-9.84,2.85,-9.11,8.31,-12.11,11.74
IncomeCostOfSales,,,,,,,,2147000,,,1944000,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,-100.00,,,-100.00,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,-82.13,,,-100.00,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,-100.00,,,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,-100.00,,,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,51000,33000,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,-100.00,-100.00,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,-100.00,-100.00,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,-35.08,-100.00,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,-45.04,-100.00,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-234000,144000,-124000,-219000,-5000,-5000,-89000,-253000,-319000,-229000,50000,115000,-90000,-97000,-78000,-632000,270000,892000,837000,1485000,681000,208000,362000,66000,588000,310000,612000,437000,695000,474000,699000,-379000,1143000,1092000
IncomeGrossProfit_yy,,,,,97.86,-103.47,28.23,-15.56,-6280.00,-4480.00,156.18,145.26,71.75,57.47,-255.03,-651.88,399.57,1015.89,1179.78,334.98,152.22,-76.68,-56.75,-95.56,-13.66,49.04,69.06,562.12,18.20,52.90,14.22,-186.73,64.46,130.38
IncomeGrossProfit_sy,,,,,-14.71,-21.13,11.40,-15.24,-16.21,-32.10,-1.53,-29.14,31.85,-1.14,15.10,17.67,27.48,0.11,32.65,3.20,58.84,17.34,-43.32,-46.73,-27.90,2.55,29.03,34.19,11.46,-5.77,-26.18,-11.25,-38.03,65.70
IncomeGrossProfit_qq,,161.54,-186.11,-76.56,97.72,,-1680.00,-184.27,-26.09,28.21,121.83,129.02,-178.71,-8.06,20.41,-715.27,142.72,230.37,-6.17,77.42,-54.14,-69.46,74.04,-81.77,790.91,-47.28,97.42,-28.59,59.04,-31.80,47.47,-154.22,401.58,-4.46
IncomeGrossProfit_sq,,25.60,7.66,-48.33,-28.61,,9.80,16.87,-37.61,43.36,-8.25,8.55,5.85,40.00,-5.51,14.89,-6.88,21.98,33.90,9.88,-6.94,-25.35,15.71,-32.73,-0.39,27.64,33.09,-61.78,50.66,-29.71,18.16,21.63,33.34,59.44
