,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeAdministrativExpenses,,,,2355000,,1153000,,2291000,,1119000,,2492000,587000,628000,922000,1265000,883000,719000,-756000,2436000,825000,1023000,696000,-1717000,277000,585000,562000,-44000,390000,211000,357000,446000,244000,332000,332000,164000,233000,245000,230000,239000,208000,235000,207000,282000,154000,168000,145000,202000,191000,207000,208000,160000,362000,349000,295000
IncomeAdministrativExpenses_yy,,,,,,,,-2.72,,-2.95,,8.77,,-43.88,,-49.24,50.43,14.49,-182.00,92.57,-6.57,42.28,192.06,-170.48,-66.42,-42.82,-19.25,97.44,40.79,-63.93,-36.48,1113.64,-37.44,57.35,-7.00,-63.23,-4.51,-26.20,-30.72,45.73,-10.73,-4.08,-10.00,17.99,-25.96,-28.51,-29.95,-28.37,24.03,23.21,43.45,-20.79,89.53,68.60,41.83
IncomeAdministrativExpenses_sy,,,,,,,,22.74,,28.26,,23.91,,31.68,,31.07,13.11,2.69,-0.05,-7.25,2.58,8.95,-0.55,-3.98,0.45,0.19,5.62,-6.50,9.20,1.33,-1.94,-5.57,-5.38,-11.65,-1.82,7.34,-3.46,0.31,-0.87,1.59,-0.46,1.06,1.66,5.37,4.76,3.49,2.13,-4.09,3.11,-0.09,4.20,6.74,2.94,6.37,23.97
IncomeAdministrativExpenses_qq,,,,,-100.00,,-100.00,,-100.00,,-100.00,,-76.44,6.98,46.82,37.20,-30.20,-18.57,-205.15,422.22,-66.13,24.00,-31.96,-346.70,116.13,111.19,-3.93,-107.83,986.36,-45.90,69.19,24.93,-45.29,36.07,,-50.60,42.07,5.15,-6.12,3.91,-12.97,12.98,-11.91,36.23,-45.39,9.09,-13.69,39.31,-5.45,8.38,0.48,-23.08,126.25,-3.59,-15.47
IncomeAdministrativExpenses_sq,,,,,-9.17,,5.10,,-13.89,,5.75,,-5.61,11.00,-2.10,20.94,-24.36,2.74,-4.30,15.89,-10.23,8.01,-5.44,18.94,-16.11,8.28,-9.63,10.64,-4.01,0.10,-15.74,10.70,-8.59,0.30,,13.80,-9.77,1.30,-3.87,14.48,-11.68,13.36,-7.51,15.45,-8.33,1.15,-1.48,15.55,-5.45,4.94,-5.72,17.26,-5.63,6.22,-21.49
IncomeGrossProfit,-620000,-534000,1432000,-2027000,26000,-882000,1377000,-1851000,380000,-945000,1452000,-1534000,-420000,-374000,-386000,-488000,-811000,-794000,1208000,-1889000,-771000,-797000,-358000,-452000,-304000,213000,-49000,-893000,344000,-255000,-247000,182000,110000,307000,36000,58000,238000,325000,176000,-429000,311000,-2000,95000,373000,368000,227000,355000,245000,264000,152000,85000,163000,113000,-555000,-212000
IncomeGrossProfit_yy,,,,,104.19,-65.17,-3.84,8.68,1361.54,-7.14,5.45,17.13,-210.53,60.42,-126.58,68.19,-93.10,-112.30,412.95,-287.09,4.93,-0.38,-129.64,76.07,60.57,126.73,86.31,-97.57,213.16,-219.72,-404.08,120.38,-68.02,220.39,114.57,-68.13,116.36,5.86,388.89,-839.66,30.67,-100.62,-46.02,186.95,18.33,11450.00,273.68,-34.32,-28.26,-33.04,-76.06,-33.47,-57.20,-465.13,-349.41
IncomeGrossProfit_sy,,,,,27.39,35.72,50.50,77.87,127.84,75.84,32.49,19.52,46.69,49.00,75.50,68.19,-34.26,16.16,-38.02,-6.88,-43.76,-2.74,-7.86,-5.16,-17.85,-22.15,-9.19,10.93,50.58,-35.80,-29.08,-50.24,-75.73,52.98,11.62,68.31,56.25,28.54,5.13,30.82,28.11,50.22,25.07,-2.67,2.28,13.70,-14.13,-47.79,-1.95,2.23,-33.12,-9.30,-23.83,-10.35,-41.80
IncomeGrossProfit_qq,,13.87,368.16,-241.55,101.28,-3492.31,256.12,-234.42,120.53,-348.68,253.65,-205.65,72.62,10.95,-3.21,-26.42,-66.19,2.10,252.14,-256.37,59.18,-3.37,55.08,-26.26,32.74,170.07,-123.00,-1722.45,138.52,-174.13,3.14,173.68,-39.56,179.09,-88.27,61.11,310.34,36.55,-45.85,-343.75,172.49,-100.64,4850.00,292.63,-1.34,-38.32,56.39,-30.99,7.76,-42.42,-44.08,91.76,-30.67,-591.15,61.80
IncomeGrossProfit_sq,,53.87,10.83,-7.04,-27.90,72.01,67.18,-9.86,13.53,15.48,22.80,-44.11,41.09,14.32,15.57,-26.42,-48.38,55.36,-0.86,15.68,-62.01,154.96,5.46,12.98,-65.19,51.22,18.96,2.08,-67.64,15.00,13.24,-39.40,-20.64,52.08,34.62,1.93,-62.02,49.71,9.48,24.91,-49.46,36.38,14.80,6.10,-47.97,23.26,34.54,-17.81,7.76,20.28,-12.66,-8.84,-28.36,15.96,101.65
