,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeNetGrossProfit_sy,,,,,20.83,16.90,54.71,76.17,192.10,87.61,47.00,127.55,43.09,19.61,55.55,22.41,-22.44,33.06,-36.65,7.27,-26.32,-17.79,-6.11,-10.24,0.60,-35.30,-14.24,9.46,10.10,-48.53,-32.46,-62.67,-68.71,61.43,3.34,83.13,49.26,7.99,11.98,6.74,51.79,58.56,40.14,-12.38,-11.05,-7.22,-9.01,13.36,-7.78,-5.74,29.73,-23.97,1.12,-34.94,19.20
IncomeNetGrossProfit_qq,,28.87,419.31,-252.09,103.77,-1363.51,87.38,19.49,1421.05,-194.66,239.73,-261.75,80.00,-77.84,89.95,-379.17,-121.96,-11.75,227.26,-241.74,59.04,35.59,241.25,-300.26,62.24,-483.97,111.63,-343.15,184.55,2242.35,-99.08,-729.14,140.78,36.30,-128.10,2330.23,-70.05,18.71,-334.38,181.95,-85.50,-101.84,1871.43,1366.13,-81.41,-36.09,-17.13,259.22,-61.12,31.60,-56.23,231.94,-103.77,-5188.89,73.32
IncomeNetGrossProfit_sq,,72.12,47.80,-73.75,54.77,72.46,42.92,-6.94,4.05,45.42,23.96,-11.14,13.45,1.34,20.05,-38.03,-43.76,69.08,-13.94,11.42,-70.96,108.76,10.76,-4.13,-63.14,45.72,23.52,-9.60,-42.13,1.42,12.38,-101.40,12.50,34.09,19.16,18.46,-6.80,25.66,4.92,50.88,-80.76,130.70,16.82,-0.73,-14.08,17.88,11.77,-24.37,-23.11,28.04,10.74,-38.61,-28.13,1.93,114.31
IncomeExtraordinarProfit,,,,-18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-568000,-404000,1290000,-1980000,74000,-935000,-118000,-95000,1255000,-1188000,1660000,-2685000,-537000,-955000,-96000,-460000,-1021000,-1141000,1452000,-2058000,-843000,-543000,767000,-1536000,-580000,-3387000,394000,-958000,810000,18973000,175000,-1101000,449000,612000,-172000,3836000,1149000,1364000,-3197000,2620000,380000,-7000,124000,1818000,338000,216000,179000,643000,250000,329000,144000,478000,-18000,-952000,-254000
IncomeBeforeTaxProfit_yy,,,,,113.03,-131.44,-109.15,95.20,1595.95,-27.06,1506.78,-2726.32,-142.79,19.61,-105.78,82.87,-90.13,-19.48,1612.50,-347.39,17.43,52.41,-47.18,25.36,31.20,-523.76,-48.63,37.63,239.66,660.17,-55.58,-14.93,-44.57,-96.77,-198.29,448.41,155.90,122.88,-1758.72,-31.70,-66.93,-100.51,103.88,-30.61,-11.05,3185.71,44.35,-64.63,-26.04,52.31,-19.55,-25.66,-107.20,-389.36,-276.39
IncomeBeforeTaxProfit_sy,,,,,20.83,17.15,54.71,76.17,192.10,87.61,47.00,127.55,43.09,19.61,55.55,22.41,-22.44,33.06,-36.65,7.27,-26.32,-17.79,-6.11,-10.24,0.60,-35.30,-14.24,9.46,10.10,-48.53,-32.46,-62.67,-68.71,61.43,3.34,83.13,49.26,7.99,11.98,6.74,51.79,58.56,40.14,-12.38,-11.05,-7.22,-9.01,13.36,-7.78,-5.74,29.73,-23.97,1.12,-34.94,19.20
IncomeBeforeTaxProfit_qq,,28.87,419.31,-253.49,103.74,-1363.51,87.38,19.49,1421.05,-194.66,239.73,-261.75,80.00,-77.84,89.95,-379.17,-121.96,-11.75,227.26,-241.74,59.04,35.59,241.25,-300.26,62.24,-483.97,111.63,-343.15,184.55,2242.35,-99.08,-729.14,140.78,36.30,-128.10,2330.23,-70.05,18.71,-334.38,181.95,-85.50,-101.84,1871.43,1366.13,-81.41,-36.09,-17.13,259.22,-61.12,31.60,-56.23,231.94,-103.77,-5188.89,73.32
IncomeBeforeTaxProfit_sq,,72.12,48.86,-73.75,54.75,72.46,42.92,-6.94,4.05,45.42,23.96,-11.14,13.45,1.34,20.05,-38.03,-43.76,69.08,-13.94,11.42,-70.96,108.76,10.76,-4.13,-63.14,45.72,23.52,-9.60,-42.13,1.42,12.38,-101.40,12.50,34.09,19.16,18.46,-6.80,25.66,4.92,50.88,-80.76,130.70,16.82,-0.73,-14.08,17.88,11.77,-24.37,-23.11,28.04,10.74,-38.61,-28.13,1.93,114.31
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-568000,-404000,1322000,-2036000,-15000,-846000,-118000,-73000,1255000,-1188000,1660000,-2685000,-537000,-955000,-96000,-460000,-1021000,-1141000,1452000,-2058000,-843000,-546000,715000,-1481000,-568000,-3463000,273000,-737000,464000,14711000,165000,-2932000,415000,637000,-179000,3172000,979000,2001000,-2848000,2046000,317000,-398000,123000,1359000,307000,236000,150000,439000,248000,220000,140000,340000,1385000,-1004000,-70000
IncomeNetProfit_yy,,,,,97.36,-109.41,-108.93,96.41,8466.67,-40.43,1506.78,-3578.08,-142.79,19.61,-105.78,82.87,-90.13,-19.48,1612.50,-347.39,17.43,52.15,-50.76,28.04,32.62,-534.25,-61.82,50.24,181.69,524.81,-39.56,-297.83,-10.56,-95.67,-208.48,208.19,135.90,214.13,-1491.06,-35.50,-67.62,-119.89,104.32,-33.58,-3.15,159.30,21.95,-67.70,-19.22,-6.78,-6.67,-22.55,458.47,-556.36,-150.00
IncomeNetProfit_sy,,,,,21.84,42.34,61.18,83.11,205.73,61.14,83.69,139.93,48.31,19.00,37.90,-4.75,-38.27,30.68,-25.75,5.17,-24.38,-22.44,-6.62,31.48,-10.90,-38.46,-12.99,8.36,11.20,-28.82,-39.82,-60.50,-65.52,-1.36,31.46,60.90,9.95,7.85,15.31,-9.46,64.50,43.48,39.61,-8.69,3.66,9.76,4.69,-35.96,1.69,-6.78,8.60,-22.55,12.64,-37.60,95.78
IncomeNetProfit_qq,,28.87,427.23,-254.01,99.26,-5540.00,86.05,38.14,1819.18,-194.66,239.73,-261.75,80.00,-77.84,89.95,-379.17,-121.96,-11.75,227.26,-241.74,59.04,35.23,230.95,-307.13,61.65,-509.68,107.88,-369.96,162.96,3070.47,-98.88,-1876.97,114.15,53.49,-128.10,1872.07,-69.14,104.39,-242.33,171.84,-84.51,-225.55,130.90,1004.88,-77.41,-23.13,-36.44,192.67,-43.51,-11.29,-36.36,142.86,307.35,-172.49,93.03
IncomeNetProfit_sq,,49.63,203.56,-82.31,50.00,117.78,38.80,-4.48,2.52,40.66,22.72,-2.26,13.28,-0.89,26.98,-37.06,-54.00,67.93,-13.37,11.16,-57.22,133.57,5.11,8.36,-68.21,38.06,25.91,-7.90,-41.86,40.02,-8.56,-179.74,9.38,56.62,18.54,16.20,-32.32,44.74,7.45,56.44,-46.90,101.15,16.21,-1.41,-24.46,29.21,56.83,-57.29,-30.68,17.55,14.64,-51.92,6.37,-17.94,116.74
IncomeShareholderNetProfit,-568000,-404000,-341000,-421000,-458000,-395000,-435000,244000,89000,-22000,-1000,-1018000,-534000,-949000,-93000,-448000,-1021000,-1141000,1452000,-2058000,-843000,-546000,715000,-1481000,-371000,-3425000,120000,-410000,168000,15192000,483000,-2834000,396000,630000,37000,3173000,979000,2001000,-2848000,2046000,317000,-398000,123000,1359000,307000,236000,150000,439000,248000,220000,140000,340000,1385000,-1004000,-70000
IncomeShareholderNetProfit_yy,,,,,19.37,2.23,-27.57,157.96,119.43,94.43,99.77,-517.21,-700.00,-4213.64,-9200.00,55.99,-91.20,-20.23,1661.29,-359.38,17.43,52.15,-50.76,28.04,55.99,-527.29,-83.22,72.32,145.28,543.56,302.50,-591.22,135.71,-95.85,-92.34,211.96,147.22,217.62,-7797.30,-35.52,-67.62,-119.89,104.32,-33.58,-3.15,159.30,21.95,-67.70,-19.22,-6.78,-6.67,-22.55,458.47,-556.36,-150.00
IncomeShareholderNetProfit_sy,,,,,17.95,17.15,66.30,75.27,205.63,94.43,52.62,139.93,44.30,12.01,26.93,-8.39,-38.55,28.35,-25.75,37.16,-25.95,-6.98,-8.02,30.84,-15.19,-40.32,-10.84,8.02,-7.30,-29.09,-16.49,-61.07,-56.82,-6.64,0.91,69.83,22.27,7.80,33.23,-5.95,68.93,46.66,30.66,-8.30,-3.15,11.20,4.58,-34.90,-3.89,-6.78,6.97,3.65,9.06,-36.89,95.78
IncomeShareholderNetProfit_qq,,28.87,15.59,-23.46,-8.79,13.76,-10.13,156.09,-63.52,-124.72,95.45,-101700.00,47.54,-77.72,90.20,-381.72,-127.90,-11.75,227.26,-241.74,59.04,35.23,230.95,-307.13,74.95,-823.18,103.50,-441.67,140.98,8942.86,-96.82,-686.75,113.97,59.09,-94.13,8475.68,-69.15,104.39,-242.33,171.84,-84.51,-225.55,130.90,1004.88,-77.41,-23.13,-36.44,192.67,-43.51,-11.29,-36.36,142.86,307.35,-172.49,93.03
IncomeShareholderNetProfit_sq,,50.41,43.82,-57.22,16.04,91.87,46.05,-6.21,3.10,35.36,22.72,5.39,5.57,1.11,13.71,-37.06,-67.63,67.35,-12.58,2.15,-50.72,130.89,5.99,7.74,-70.56,38.06,23.12,-7.88,-41.67,38.96,-10.28,-179.43,9.74,62.11,18.54,22.83,-68.11,43.86,16.88,48.32,-44.74,102.86,17.60,-28.44,-27.59,41.01,56.83,-34.02,-30.68,16.62,14.96,-29.02,6.37,-31.17,116.74
BalanceNoncurrentAssets,5835000,5743000,6616000,5491000,6044000,5814000,,5046000,4974000,4902000,,5062000,5015000,4976000,,7734000,7958000,6928000,6374000,6427000,5274000,5773000,,5048000,18192000,24799000,,16914000,32825000,54190000,53733000,51568000,51735000,51656000,50423000,50889000,52160000,54950000,48316000,50054000,49972000,49569000,49555000,50264000,50212000,49675000,49556000,49529000,49023000,49054000,48850000,60911000,63377000,60989000,59491000
BalanceNoncurrentAssets_yy,,,,,3.58,1.24,-100.00,-8.10,-17.70,-15.69,,0.32,0.82,1.51,,52.79,58.68,39.23,,-16.90,-33.73,-16.67,-100.00,-21.46,244.94,329.57,,235.06,80.44,118.52,,204.88,57.61,-4.68,-6.16,-1.32,0.82,6.38,-4.18,-1.64,-4.19,-9.79,2.56,0.42,0.48,0.21,,-1.46,-2.37,-1.25,-1.42,22.98,29.28,24.33,21.78
BalanceNoncurrentAssets_sy,,,,,3.20,1.84,5.03,13.62,27.54,37.33,,61.59,60.96,39.08,,25.58,24.44,18.41,,9.29,10.25,14.18,25.78,18.31,14.11,8.47,,-0.51,0.66,-1.30,,-2.27,-1.60,-0.99,-0.83,-4.16,-1.40,-0.16,-4.28,-1.64,-3.28,-1.24,2.56,3.16,3.63,2.63,,2.42,2.13,1.85,3.56,2.32,-0.44,0.15,11.52
BalanceNoncurrentAssets_qq,,-1.58,15.20,-17.00,10.07,-3.81,-100.00,,-1.43,-1.45,-100.00,,-0.93,-0.78,-100.00,,2.90,-12.94,-8.00,0.83,-17.94,9.46,-100.00,,260.38,36.32,-100.00,,94.07,65.09,-0.84,-4.03,0.32,-0.15,-2.39,0.92,2.50,5.35,-12.07,3.60,-0.16,-0.81,-0.03,1.43,-0.10,-1.07,-0.24,-0.05,-1.02,0.06,-0.42,24.69,4.05,-3.77,-2.46
BalanceNoncurrentAssets_sq,,0.86,-100.00,3.80,-0.02,3.77,-100.00,,,5.28,-100.00,,2.29,4.91,-100.00,,0.74,0.78,-100.00,0.98,-0.84,0.31,-100.00,,,0.64,-100.00,,-0.49,-1.55,-1.29,-1.42,-0.50,-1.09,,-1.52,-0.27,0.42,0.06,0.57,-0.80,,0.25,0.57,0.14,0.41,0.23,-0.46,0.25,-0.76,-0.42,-0.08,0.37,0.96,6.72
BalanceIntangibleAssets,,,22000,22000,15000,11000,,11000,9000,7000,,10000,29000,25000,,51000,43000,221000,28000,205000,248000,0,,0,0,1000,,4938000,4938000,1551000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000,1550000
BalanceIntangibleAssets_yy,,,,,,,-100.00,-50.00,-40.00,-36.36,,-9.09,222.22,257.14,,410.00,48.28,784.00,,301.96,476.74,-100.00,-100.00,-100.00,-100.00,,,,,155000.00,,-68.61,-68.61,-0.06,,,,,,,,,,,,,,,,,,,,,
BalanceIntangibleAssets_sy,,,,,,,-29.78,-4.04,-21.76,-0.88,,5.49,10.74,12.93,,10.56,7.78,2.46,,-1.07,1.56,-1.36,-16.94,0.96,2.53,,,,,-2.54,,-16.62,-14.36,-7.53,,,,,,,,,,,,,,,,,,,,,
BalanceIntangibleAssets_qq,,,,,-31.82,-26.67,-100.00,,-18.18,-22.22,-100.00,,190.00,-13.79,-100.00,,-15.69,413.95,-87.33,632.14,20.98,-100.00,,,,,-100.00,,,-68.59,-0.06,,,,,,,,,,,,,,,,,,,,,,,,
BalanceIntangibleAssets_sq,,,,,-5.62,-8.50,-100.00,,-3.47,0.02,-100.00,,0.02,-0.62,-100.00,,-0.85,-1.00,-100.00,-10.82,-0.54,-0.76,,,,,-100.00,,,-1.10,-3.54,,,,,,,,,,,,,,,,,,,,,,,,
BalanceProperty,,,5944000,5469000,5392000,5314000,,5035000,4965000,4895000,,4797000,4731000,4696000,,5116000,5200000,5228000,4370000,5120000,5026000,4928000,,5036000,4968000,11390000,,10818000,10682000,35308000,35503000,33437000,33521000,33581000,32348000,35988000,37202000,37205000,37163000,40137000,40118000,40106000,40092000,41857000,41840000,41658000,41580000,42117000,42098000,42197000,42251000,42474000,43014000,42983000,46396000
BalanceProperty_yy,,,,,,,-100.00,-7.94,-7.92,-7.88,,-4.73,-4.71,-4.07,,6.65,9.91,11.33,,0.08,-3.35,-5.74,-100.00,-1.64,-1.15,131.13,,114.81,115.02,209.99,,209.09,213.81,-4.89,-8.89,7.63,10.98,10.79,14.89,11.53,7.84,7.80,7.88,4.29,4.29,3.87,3.71,0.62,0.62,1.29,1.61,0.85,2.18,1.86,9.81
BalanceProperty_sy,,,,,,,3.22,11.89,36.79,27.85,,44.73,53.89,42.56,,26.17,25.52,17.89,,9.45,8.50,9.35,42.70,7.19,0.01,8.02,,0.76,1.38,-2.80,,-4.39,-3.25,-3.98,-4.20,-4.36,-3.14,-2.12,-2.57,-1.28,-1.18,-1.30,0.48,3.22,4.34,3.84,3.30,0.76,1.48,0.01,1.05,0.85,1.22,1.08,15.18
BalanceProperty_qq,,,,-7.99,-1.41,-1.45,-100.00,,-1.39,-1.41,-100.00,,-1.38,-0.74,-100.00,,1.64,0.54,-16.41,17.16,-1.84,-1.95,-100.00,,-1.35,129.27,-100.00,,-1.26,230.54,0.55,-5.82,0.25,0.18,-3.67,11.25,3.37,0.01,-0.11,8.00,-0.05,-0.03,-0.03,4.40,-0.04,-0.43,-0.19,1.29,-0.05,0.24,0.13,0.53,1.27,-0.07,7.94
BalanceProperty_sq,,,,3.59,-1.30,2.34,-100.00,,,3.72,-100.00,,2.48,5.42,-100.00,,1.64,0.64,-100.00,10.44,-1.05,0.44,-100.00,,-0.22,0.87,-100.00,,-0.74,-1.49,-1.65,-1.57,-0.50,-2.17,-0.38,-1.21,-0.04,-0.32,-0.36,-1.16,-0.29,0.08,,0.86,-0.52,0.42,-0.39,-0.10,-0.50,-0.67,-0.57,0.81,0.38,0.32,6.25
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,0,0,,,12500000,12500000,,,,,,,,,,,,,,,,,,,,49000,33000,33000,33000,33000,33000,33000,17000,16000,16000
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,-32.65,,,-48.48,-51.52,-51.52
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.58,-54.64,,,,,,,,,,,,,,,,,,,,4.86,,,3.40,-3.04,-51.52
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,-32.65,,,,,,-48.48,-5.88,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,-0.59,,,,,,1.03,-1.08,
BalanceNoncurrInvestments,,,,,637000,489000,,0,,0,,255000,255000,255000,,2567000,2715000,1479000,1976000,1102000,0,845000,,12000,712000,902000,,1113000,17194000,17317000,16664000,16514000,16613000,16513000,16513000,12725000,12806000,15243000,8701000,7168000,7168000,7168000,7168000,6030000,6031000,5534000,5534000,5011000,4411000,4411000,4093000,15901000,16423000,14068000,9156000
BalanceNoncurrInvestments_yy,,,,,,,,,-100.00,-100.00,,,,,,906.67,964.71,480.00,,-57.07,-100.00,-42.87,-100.00,-98.91,,6.75,,9175.00,2314.89,1819.84,,1383.74,-3.38,-4.64,-0.91,-22.94,-22.92,-7.69,-47.31,-43.67,-44.03,-52.98,-17.62,-15.88,-15.86,-22.80,-22.80,-16.90,-26.86,-20.29,-26.04,217.32,272.32,218.93,123.70
BalanceNoncurrInvestments_sy,,,,,,,,,0.75,6.96,,,,,,-12.67,-9.60,4.83,,,0.80,-7.50,44.18,4.27,,-2.41,,-24.19,-12.22,-4.55,,-6.38,-3.38,3.26,-0.46,-22.94,-25.65,-7.69,-11.54,-1.44,-0.41,,,,0.40,-2.84,-8.46,,-5.78,,,-1.64,-2.70,0.04,123.70
BalanceNoncurrInvestments_qq,,,,,,-23.23,-100.00,,,,,,,,-100.00,,5.77,-45.52,33.60,-44.23,-100.00,,-100.00,,5833.33,26.69,-100.00,,1444.83,0.72,-3.77,-0.90,0.60,-0.60,,-22.94,0.64,19.03,-42.92,-17.62,,,,-15.88,0.02,-8.24,,-9.45,-11.97,,-7.21,288.49,3.28,-14.34,-34.92
BalanceNoncurrInvestments_sq,,,,,,,-100.00,,,,,,,,-100.00,,,1.97,-100.00,-3.84,,,-100.00,,,-4.98,-100.00,,,,,1.42,,-0.60,,-0.06,,,,,,,,-0.52,,-0.96,,,,,,-1.31,2.86,0.60,-34.92
BalanceOtherNoncurrentAssets,,,650000,,,,,,0,,,,,,,,,,,,0,0,,0,12000,6000,,45000,11000,14000,16000,67000,51000,12000,12000,626000,602000,952000,902000,1199000,1136000,745000,745000,827000,791000,884000,859000,818000,931000,863000,923000,953000,2373000,2372000,2373000
BalanceOtherNoncurrentAssets_yy,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,-8.33,133.33,,48.89,363.64,-14.29,-25.00,834.33,1080.39,7833.33,7416.67,91.53,88.70,-21.74,-17.41,-31.03,-30.37,18.66,15.30,-1.09,17.70,-2.38,7.45,16.50,154.89,174.86,157.10
BalanceOtherNoncurrentAssets_sy,,,,,,,-26.02,,,,,,,,,,,,,,,,,,,,,,16.78,12.67,,3.40,1.32,0.15,1.80,6.94,4.74,2.70,14.60,-0.36,-1.32,7.83,1.28,3.54,1.62,4.60,17.80,1.79,5.06,-1.34,3.82,-11.14,-15.17,2.94,67.48
BalanceOtherNoncurrentAssets_qq,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,-50.00,-100.00,,-75.56,27.27,14.29,318.75,-23.88,-76.47,,5116.67,-3.83,58.14,-5.25,32.93,-5.25,-34.42,,11.01,-4.35,11.76,-2.83,-4.77,13.81,-7.30,6.95,3.25,149.00,-0.04,0.04
BalanceOtherNoncurrentAssets_sq,,,,-12.00,,,,,,,,,,,,,,,,,,,,,,-3.03,-100.00,,-0.29,-0.42,-4.08,1.89,-0.35,6.02,,-0.31,-2.21,-0.56,5.05,3.10,-0.10,-0.17,,6.09,-2.42,0.06,2.80,-4.28,0.60,-4.96,2.18,-5.27,0.94,2.94,24.34
BalanceCurrentAssets,3017000,2402000,3199000,2696000,2088000,1941000,,3268000,3525000,3287000,,4731000,3224000,13309000,,9677000,7451000,7817000,7766000,9673000,9074000,7703000,,8310000,8072000,12339000,,10977000,11562000,13529000,12969000,9643000,9675000,10095000,11130000,11744000,12101000,13295000,16792000,3776000,4435000,4261000,4161000,4169000,4868000,5117000,5099000,5359000,5980000,17632000,17651000,5475000,4981000,6676000,7498000
BalanceCurrentAssets_yy,,,,,-30.79,-19.19,-100.00,21.22,68.82,69.35,,44.77,-8.54,304.90,,104.54,131.11,-41.27,,-0.04,21.78,-1.46,-100.00,-14.09,-11.04,60.18,,32.09,43.24,9.64,,-12.15,-16.32,-25.38,-14.18,21.79,25.07,31.70,50.87,-67.85,-63.35,-67.95,-75.22,10.41,9.76,20.09,22.54,28.54,22.84,244.58,246.17,2.16,-16.71,-62.14,-57.52
BalanceCurrentAssets_sy,,,,,-8.93,-0.87,-2.37,37.85,77.28,69.35,,41.08,34.75,35.92,,23.16,18.40,1.20,,2.97,-2.33,0.95,-4.74,15.02,15.30,22.44,,18.83,8.60,0.96,,-9.80,-10.92,-13.36,-10.18,-1.37,4.22,-1.64,0.68,-1.18,0.04,1.15,3.71,-0.91,-0.44,-2.83,-0.39,7.42,0.70,2.57,2.96,-2.63,-1.71,1.82,-15.34
BalanceCurrentAssets_qq,,-20.38,33.18,-15.72,-22.55,-7.04,-100.00,,7.86,-6.75,-100.00,,-31.85,312.81,-100.00,,-23.00,4.91,-0.65,24.56,-6.19,-15.11,-100.00,,-2.86,52.86,-100.00,,5.33,17.01,-4.14,-25.65,0.33,4.34,10.25,5.52,3.04,9.87,26.30,-77.51,17.45,-3.92,-2.35,0.19,16.77,5.12,-0.35,5.10,11.59,194.85,0.11,-68.98,-9.02,34.03,12.31
BalanceCurrentAssets_sq,,6.38,-100.00,-13.14,-10.04,15.08,-100.00,,0.02,8.38,-100.00,,3.49,10.81,-100.00,,-9.66,7.58,-100.00,10.71,-8.52,5.83,-100.00,,-5.44,9.48,-100.00,,-8.13,4.74,-4.36,-9.95,-10.04,2.77,7.11,0.36,-2.27,1.88,3.29,-0.05,-4.48,3.14,4.06,-0.39,-4.82,2.58,2.57,5.10,-8.53,4.40,3.28,-2.97,-6.08,7.07,13.58
BalanceInventory,226000,206000,202000,6000,65000,35000,,17000,67000,13000,,10000,129000,183000,,2213000,2262000,3206000,3830000,4741000,4583000,4368000,,4560000,4560000,5603000,,4552000,4064000,3427000,2433000,1873000,1889000,1866000,1397000,365000,15000,15000,24000,15000,15000,16000,34000,15000,16000,16000,16000,1000,,,,,,,
BalanceInventory_yy,,,,,-71.24,-83.01,-100.00,183.33,3.08,-62.86,,-41.18,92.54,1307.69,,22030.00,1653.49,1651.91,,114.23,102.61,36.24,-100.00,-3.82,-0.50,28.27,,-0.18,-10.88,-38.84,,-58.85,-53.52,-45.55,-42.58,-80.51,-99.21,-99.20,-98.28,-95.89,,6.67,41.67,,6.67,,-52.94,-93.33,-100.00,-100.00,-100.00,-100.00,,,
BalanceInventory_sy,,,,,-0.94,22.82,27.06,63.40,51.32,24.44,,70.32,30.31,68.74,,26.34,20.30,14.11,,-9.92,0.58,3.81,-8.28,1.76,0.49,7.29,,6.14,0.98,-2.22,,-24.15,-14.57,-14.87,-16.19,-7.26,-15.25,-8.50,-10.12,-13.09,,-6.80,-0.04,,13.13,,5.43,-6.41,4.70,3.71,1.82,11.84,,,
BalanceInventory_qq,,-8.85,-1.94,-97.03,983.33,-46.15,-100.00,,294.12,-80.60,-100.00,,1190.00,41.86,-100.00,,2.21,41.73,19.46,23.79,-3.33,-4.69,-100.00,,,22.87,-100.00,,-10.72,-15.67,-29.00,-23.02,0.85,-1.22,-25.13,-73.87,-95.89,,60.00,-37.50,,6.67,112.50,-55.88,6.67,,,-93.75,-100.00,,,,,,
BalanceInventory_sq,,-9.98,-100.00,-21.86,15.09,3.16,-100.00,,6.50,4.26,-100.00,,13.44,13.42,-100.00,,5.07,0.64,-100.00,-5.40,3.17,2.36,-100.00,,,1.25,-100.00,,5.20,-3.10,-16.97,-7.28,0.85,-1.22,-3.41,-11.18,-5.35,,0.56,-21.04,,6.51,,-5.07,4.95,,,-4.03,9.81,,,,,,
BalanceCurrentReceivables,1948000,1714000,2290000,2106000,1439000,1558000,,1596000,2613000,2093000,,2094000,405000,929000,,1397000,2304000,2622000,2924000,4439000,3552000,2593000,,3321000,1453000,3964000,,3367000,2819000,6265000,4470000,3075000,3050000,620000,599000,2499000,630000,442000,7195000,314000,130000,131000,120000,119000,113000,88000,81000,104000,124000,157000,258000,160000,336000,486000,460000
BalanceCurrentReceivables_yy,,,,,-26.13,-9.10,-100.00,-24.22,81.58,34.34,,31.20,-84.50,-55.61,,-33.29,468.89,182.24,,217.75,54.17,-1.11,-100.00,-25.19,-59.09,52.87,,1.39,94.01,58.05,,-8.67,8.19,-90.10,-86.60,-18.73,-79.34,-28.71,1101.17,-87.43,-79.37,-70.36,-98.33,-62.10,-13.08,-32.82,-32.50,-12.61,9.73,78.41,218.52,53.85,170.97,209.55,78.29
BalanceCurrentReceivables_sy,,,,,-4.85,0.23,-15.26,53.08,81.58,48.43,,31.20,18.12,23.30,,19.35,8.15,2.20,,-1.09,6.03,8.95,16.92,22.32,32.92,33.65,,27.62,18.81,2.46,,-11.22,-16.44,-19.76,-10.37,-12.58,-6.23,-3.25,-5.60,-4.41,-1.90,4.46,2.26,-11.29,-16.65,-12.27,-21.32,7.08,8.14,4.46,4.39,-1.47,-3.55,-5.28,36.89
BalanceCurrentReceivables_qq,,-12.01,33.61,-8.03,-31.67,8.27,-100.00,,63.72,-19.90,-100.00,,-80.66,129.38,-100.00,,64.92,13.80,11.52,51.81,-19.98,-27.00,-100.00,,-56.25,172.81,-100.00,,-16.28,122.24,-28.65,-31.21,-0.81,-79.67,-3.39,317.20,-74.79,-29.84,1527.83,-95.64,-58.60,0.77,-8.40,-0.83,-5.04,-22.12,-7.95,28.40,19.23,26.61,64.33,-37.98,110.00,44.64,-5.35
