,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,14537000,13442000,15353000,14471000,14317000,16227000,20728000,23471000,20897000,28200000,21495000,10187000,11232000,20823000,13325000,12521000,16051000,15068000,16307000,10429000,12820000,16119000,17637000,25805000,20149000,19946000,17759000,17482000,16039000,13446000,19747000,21800000,22414000,26899000,20181000,25405000,19488000,33237000,21119000,25673000,25814000,34107000,47167000,65086000,72988000,75241000,79344000,88653000
IncomeRevenues_yy,,,,,-1.51,20.72,35.01,62.19,45.96,73.78,3.70,-56.60,-46.25,-26.16,-38.01,22.91,42.90,-27.64,22.38,-16.71,-20.13,6.98,8.16,147.44,57.17,23.74,0.69,-32.25,-20.40,-32.59,11.19,24.70,39.75,100.05,2.20,16.54,-13.05,23.56,4.65,1.05,32.46,2.62,123.34,153.52,182.75,120.60,68.22,36.21
IncomeRevenues_sy,,,,,-1.51,20.72,35.01,62.19,45.96,73.78,3.70,-56.60,-46.25,-26.16,-38.01,22.91,42.90,-27.64,22.38,-16.71,-20.13,6.98,8.16,147.44,57.17,23.74,0.69,-32.25,-20.40,-32.59,11.19,24.70,39.75,100.05,2.20,16.54,-13.05,23.56,4.65,1.05,32.46,2.62,123.34,153.52,182.75,120.60,68.22,36.21
IncomeRevenues_qq,,-7.53,14.22,-5.74,-1.06,13.34,27.74,13.23,-10.97,34.95,-23.78,-52.61,10.26,85.39,-36.01,-6.03,28.19,-6.12,8.22,-36.05,22.93,25.73,9.42,46.31,-21.92,-1.01,-10.96,-1.56,-8.25,-16.17,46.86,10.40,2.82,20.01,-24.97,25.89,-23.29,70.55,-36.46,21.56,0.55,32.13,38.29,37.99,12.14,3.09,5.45,11.73
IncomeRevenues_sq,,-7.53,14.22,-5.74,-1.06,13.34,27.74,13.23,-10.97,34.95,-23.78,-52.61,10.26,85.39,-36.01,-6.03,28.19,-6.12,8.22,-36.05,22.93,25.73,9.42,46.31,-21.92,-1.01,-10.96,-1.56,-8.25,-16.17,46.86,10.40,2.82,20.01,-24.97,25.89,-23.29,70.55,-36.46,21.56,0.55,32.13,38.29,37.99,12.14,3.09,5.45,11.73
IncomeCostOfSales,-13379000,75762000,12806000,12458000,-61944000,88204000,17255000,19319000,14937000,13653000,13082000,10164000,10575000,17101000,15446000,10835000,15064000,12714000,14945000,9323000,10327000,13478000,13791000,22577000,14843000,12732000,14049000,14204000,12617000,13459000,14947000,19196000,16646000,22401000,14342000,17395000,15900000,25449000,17673000,19231000,19051000,26369000,36448000,49193000,54976000,58309000,61378000,66502000
IncomeCostOfSales_yy,,,,,-362.99,16.42,34.74,55.07,124.11,-84.52,-24.18,-47.39,-29.20,25.25,18.07,6.60,42.45,-25.65,-3.24,-13.95,-31.45,6.01,-7.72,142.16,43.73,-5.53,1.87,-37.09,-15.00,5.71,6.39,35.15,31.93,66.44,-4.05,-9.38,-4.48,13.61,23.23,10.55,19.82,3.62,106.24,155.80,188.57,121.13,68.40,35.19
IncomeCostOfSales_sy,,,,,-362.99,16.42,34.74,55.07,124.11,-84.52,-24.18,-47.39,-29.20,25.25,18.07,6.60,42.45,-25.65,-3.24,-13.95,-31.45,6.01,-7.72,142.16,43.73,-5.53,1.87,-37.09,-15.00,5.71,6.39,35.15,31.93,66.44,-4.05,-9.38,-4.48,13.61,23.23,10.55,19.82,3.62,106.24,155.80,188.57,121.13,68.40,35.19
IncomeCostOfSales_qq,,666.28,-83.10,-2.72,-597.22,242.39,-80.44,11.96,-22.68,-8.60,-4.18,-22.31,4.04,61.71,-9.68,-29.85,39.03,-15.60,17.55,-37.62,10.77,30.51,2.32,63.71,-34.26,-14.22,10.34,1.10,-11.17,6.67,11.06,28.43,-13.28,34.57,-35.98,21.29,-8.59,60.06,-30.56,8.82,-0.94,38.41,38.22,34.97,11.76,6.06,5.26,8.35
IncomeCostOfSales_sq,,666.28,-83.10,-2.72,-597.22,242.39,-80.44,11.96,-22.68,-8.60,-4.18,-22.31,4.04,61.71,-9.68,-29.85,39.03,-15.60,17.55,-37.62,10.77,30.51,2.32,63.71,-34.26,-14.22,10.34,1.10,-11.17,6.67,11.06,28.43,-13.28,34.57,-35.98,21.29,-8.59,60.06,-30.56,8.82,-0.94,38.41,38.22,34.97,11.76,6.06,5.26,8.35
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808000,5000,683000,369000,1930000,658000,748000,809000,1790000,4431000,3231000,4823000,5404000,4951000,5480000
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.86,13060.00,9.52,119.24,-7.25,573.40,331.95,496.17,201.90,11.74,69.61
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.86,13060.00,9.52,119.24,-7.25,573.40,331.95,496.17,201.90,11.74,69.61
