,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4251000,4214000,4533000,5948000,6214000,5637000,6690000,7890000,8461000,6976000,7256000,10424000,9457000,8860000,10358000,13717000,12809000,12086000,14957000,17069000,16125000,16216000,16640000,20348000
IncomeCostOfSales,,,,,,,,,,20056000,5002000,6514000,6438000,7011000,7359000,9078000,9271000,9012000,10340000,12003000,11930000,12250000,11934000,13616000
IncomeDistributionExpenses,,,,,,,,,,5119000,1251000,1629000,1593000,1753000,1967000,2491000,2306000,2380000,2700000,3260000,2970000,2752000,2716000,3220000
IncomeAdministrativExpenses,,,,,,,,,,1874000,428000,557000,545000,600000,784000,813000,901000,863000,883000,1085000,1026000,1365000,1178000,1427000
IncomeGrossProfit,338000,323000,-55000,595000,432000,1000,465000,1027000,1001000,475000,575000,1724000,881000,-504000,248000,1335000,331000,-169000,1034000,721000,199000,-151000,812000,2085000
IncomeOtherOperatingIncome,44000,57000,350000,49000,316000,61000,18000,41000,30000,85000,40000,31000,273000,318000,253000,194000,195000,230000,203000,383000,345000,371000,651000,461000
IncomeOtherOperatingCosts,1000,190000,463000,11000,357000,-40000,13000,3000,9000,35000,3000,43000,353000,0,137000,25000,131000,152000,87000,110000,19000,140000,235000,381000
IncomeEBIT,190000,-168000,634000,390000,102000,470000,1065000,1023000,524000,615000,1752000,1111000,-539000,501000,1392000,501000,-70000,1085000,1017000,434000,201000,1323000,2311000,0
IncomeFinanceIncome,0,3000,-2000,0,0,0,39000,40000,187000,4000,278000,-91000,-42000,206000,-205000,301000,-140000,1064000,49000,186000,-212000,40000,208000,-26000
IncomeFinanceCosts,40000,31000,19000,5000,89000,27000,33000,62000,311000,105000,55000,121000,438000,201000,309000,216000,32000,169000,122000,160000,100000,147000,492000,-95000
IncomeOtherIncome,-39000,13000,-25000,-73000,23000,0,0,,,45000,0,,,0,,,,312000,111000,-196000,625000,361000,-60000,466000
IncomeNetGrossProfit,1049000,1001000,401000,514000,1975000,899000,-1019000,506000,923000,586000,-287000,1980000,944000,460000,-111000,1216000,2027000,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,312000,111000,-196000,625000,361000,-60000,466000
