,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,Price
ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,297735000.0,178334000.0,73052000.0,25140000.0,21209000.0,3089000.0,9405000.0,14893000.0,2525000.0,2425000.0,-253000.0,14740000.0,,14740000.0,,11846000.0,12268000.0,1045030000.0,397462000.0,630612000.0,7470000.0,1461000.0,8025000.0,500236000.0,20668000.0,232971000.0,91473000.0,155124000.0,,,1538236000.0,1196281000.0,50937000.0,,146905000.0,16971000.0,183692000.0,,136231000.0,,,47461000.0,303827000.0,140531000.0,86019000.0,,,15511000.0,61766000.0,1692240000.0,26170000.0,20481000.0,-44314000.0,14458000.0,-23112000.0,,,79768000.0,14.953103174603173
AGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALC,149994000.0,130923000.0,4099000.0,8666000.0,6306000.0,3195000.0,1897000.0,7604000.0,3042000.0,7822000.0,,19676000.0,,19676000.0,,23964000.0,23991000.0,402647000.0,30654000.0,476211000.0,,2270000.0,91159000.0,126306000.0,129800000.0,35000.0,4335000.0,6280000.0,8000.0,828811000.0,14624000.0,,646000.0,780000.0,56831000.0,,824000.0,,2891000.0,64558000.0,78471000.0,140438000.0,,,7928000.0,1415000.0,941265000.0,,,,32843000.0,6124000.0,-80833000.0,5314000.0,56099000.0,,,18293000.0,6.868404761904762
ALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMB,181047000.0,,,,35449000.0,2088000.0,1173000.0,36364000.0,493000.0,4318000.0,-521000.0,29342000.0,,29342000.0,,24129000.0,20743000.0,187853000.0,45067000.0,129879000.0,969000.0,5111000.0,6788000.0,332940000.0,91262000.0,233768000.0,,6807000.0,3745000.0,,436143000.0,228017000.0,25207000.0,,69355000.0,31845000.0,17636000.0,457000.0,13432000.0,,,3747000.0,216402000.0,74557000.0,36653000.0,,,872000.0,,396824000.0,-24022000.0,2654000.0,2373000.0,-2091000.0,18975000.0,,-1000.0,2366000.0,2.5782857142857143
AMC,294552000.0,231783000.0,28993000.0,30942000.0,2834000.0,2476000.0,4174000.0,1136000.0,1466000.0,10784000.0,-468000.0,16151000.0,,16151000.0,,12270000.0,12270000.0,246026000.0,42288000.0,258558000.0,,40127000.0,72447000.0,126695000.0,289003000.0,1452000.0,21110000.0,16392000.0,,1410918000.0,707293000.0,-23288000.0,298687000.0,1000.0,64421000.0,29461000.0,30674000.0,,,33963000.0,784414000.0,547360000.0,135915000.0,,,5276000.0,925038000.0,,,,35863000.0,10200000.0,-19657000.0,3561000.0,-9512000.0,,0.0,-16981000.0,6.072222222222223
AML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APL,17771000.0,15642000.0,1538000.0,452000.0,139000.0,258000.0,119000.0,278000.0,43000.0,134000.0,,298000.0,,498000.0,,381000.0,321000.0,6217000.0,65000.0,5702000.0,,221000.0,229000.0,33496000.0,11735000.0,21657000.0,,19000.0,105000.0,,46517000.0,10883000.0,3282000.0,,6839000.0,1009000.0,493000.0,365000.0,199000.0,,,208000.0,13928000.0,13878000.0,,,,29000.0,39741000.0,,1316000.0,230000.0,191000.0,34000.0,-65000.0,,,-181000.0,2.177184210526316
APN,11352000.0,6609000.0,88000.0,2880000.0,1775000.0,439000.0,280000.0,1934000.0,158000.0,263000.0,,2525000.0,,2525000.0,,1849000.0,1849000.0,26864000.0,3882000.0,32189000.0,,808000.0,563000.0,66372000.0,28508000.0,19513000.0,4322000.0,10088000.0,669000.0,,49341000.0,2500000.0,,65926000.0,525000.0,738000.0,,,,,661000.0,14327000.0,9509000.0,,,1791000.0,142000.0,0.0,,,2112000.0,617000.0,-663000.0,540000.0,13293000.0,13476000.0,,4172000.0,6.048
APR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APT,85667000.0,54707000.0,6319000.0,13643000.0,10998000.0,205000.0,,42645000.0,-1155000.0,,,17422000.0,,17422000.0,433000.0,21907000.0,22769000.0,179446000.0,70648000.0,167480000.0,6893000.0,1859000.0,107579000.0,60085000.0,100313000.0,1053000.0,35779000.0,3142000.0,703000.0,139232000.0,3529000.0,,219504000.0,2296000.0,96259000.0,18164000.0,,,9657000.0,98038000.0,33276000.0,42833000.0,,,46427000.0,,858546000.0,,,,10573000.0,3788000.0,-7952000.0,3439000.0,-9464000.0,0.0,728000.0,1919000.0,14.639539682539683
ARC,23258000.0,20677000.0,1060000.0,3363000.0,-1842000.0,17000.0,439000.0,-2264000.0,444000.0,-702000.0,,-1118000.0,,-1118000.0,,-1281000.0,-1211000.0,14029000.0,8942000.0,2715000.0,7711000.0,,8364000.0,14426000.0,48181000.0,,18814000.0,,,113952000.0,47403000.0,732000.0,,,610000.0,,,,,8841000.0,63990000.0,24898000.0,9151000.0,,,682000.0,,95570000.0,,,3312000.0,284000.0,-530000.0,530000.0,54000.0,,,5278000.0,7.012379699248121
ARH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARR,28781000.0,24027000.0,2706000.0,654000.0,4932000.0,3787000.0,5371000.0,3348000.0,151000.0,821000.0,,2678000.0,,2678000.0,,3188000.0,3197000.0,54292000.0,58433000.0,5855000.0,2727000.0,8662000.0,6173000.0,63962000.0,7579000.0,,3437000.0,1882000.0,,169306000.0,46989000.0,,23640000.0,27000.0,10816000.0,,21521000.0,,1947000.0,6224000.0,1780000.0,4307000.0,,,20445000.0,,103808000.0,,,,-6443000.0,939000.0,-4348000.0,11281000.0,3310000.0,,,1948000.0,14.229476190476186
ART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASB,733838000.0,696755000.0,19424000.0,16996000.0,663000.0,,,-3571000.0,2943000.0,5951000.0,,7339000.0,,7339000.0,,5673000.0,5223000.0,87618000.0,5396000.0,84266000.0,,47000.0,4011000.0,166630000.0,611677000.0,,96081000.0,34430000.0,,1410782000.0,330165000.0,,190697000.0,1088000.0,13808000.0,,5834000.0,,,,491872000.0,178596000.0,,,111943000.0,,1622958000.0,,,,71828000.0,2250000.0,-1710000.0,4046000.0,5693000.0,,,56233000.0,1.605126984126984
ASE,110032000.0,83581000.0,4706000.0,7111000.0,14634000.0,657000.0,281000.0,7558000.0,1459000.0,2072000.0,-4000.0,11674000.0,,11674000.0,,9735000.0,9811000.0,,437701000.0,18736000.0,645000.0,1589000.0,2982000.0,193715000.0,21121000.0,104033000.0,3090000.0,83310000.0,15561000.0,683113000.0,597264000.0,518942000.0,,-19767000.0,171000.0,25525000.0,,21590000.0,,,4888000.0,169585000.0,,,,,16588000.0,728634000.0,,,9825000.0,1125000.0,-4531000.0,6282000.0,-11007000.0,,,-2243000.0,
ASG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AST,347275000.0,129145000.0,7633000.0,8993000.0,71836000.0,-14872000.0,8155000.0,48810000.0,45000.0,12715000.0,,-923000.0,,-923000.0,,3929000.0,3929000.0,656073000.0,31355000.0,935214000.0,192000.0,,312236000.0,367528000.0,242756000.0,,31278000.0,152000.0,,123246000.0,881000.0,215020000.0,32315000.0,1290000.0,140493000.0,,153012000.0,,,115827000.0,50410000.0,133719000.0,,,114092000.0,,2719856000.0,,,,120831000.0,25638000.0,-74388000.0,67124000.0,-52428000.0,,,4140000.0,16.888710526315787
ATC,446482000.0,331037000.0,56905000.0,13069000.0,45471000.0,9324000.0,5871000.0,48924000.0,-6426000.0,5998000.0,,36500000.0,,36500000.0,,29917000.0,29917000.0,628295000.0,211045000.0,967398000.0,,763000.0,66218000.0,859806000.0,358809000.0,374672000.0,520000.0,101595000.0,15450000.0,3388000.0,374760000.0,524035000.0,,134874000.0,225000.0,323727000.0,,50815000.0,,,136129000.0,590567000.0,356411000.0,187672000.0,,,20326000.0,74577000.0,1898699000.0,,61053000.0,15613000.0,-48353000.0,49926000.0,-9525000.0,,,,
ATD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,23683000.0,21117000.0,,4671000.0,-2105000.0,689000.0,625000.0,-2041000.0,642000.0,18000.0,-645000.0,1664000.0,,1664000.0,,2751000.0,2448000.0,162027000.0,16537000.0,201722000.0,,18536000.0,38854000.0,9276000.0,48741000.0,11406000.0,36795000.0,5692000.0,,77375000.0,8600000.0,,178343000.0,463000.0,53171000.0,,23178000.0,,,6048000.0,8505000.0,1119000.0,,,13006000.0,3865000.0,304052000.0,,,,5997000.0,3535000.0,-5052000.0,3725000.0,30693000.0,,,-4166000.0,3.8294126984126984
ATL,46314000.0,26880000.0,,13181000.0,6253000.0,335000.0,93589000.0,-87001000.0,84301000.0,60295000.0,,-96399000.0,,-96399000.0,,-66573000.0,-66573000.0,1131667000.0,1303000.0,894381000.0,,4664000.0,85149000.0,139238000.0,31288000.0,,53616000.0,,104837000.0,1330546000.0,191769000.0,26754000.0,,865866000.0,550163000.0,,676144000.0,,,101251000.0,637630000.0,74255000.0,353347000.0,,,7904000.0,,939335000.0,,,-31752000.0,,-705000.0,329000.0,36192000.0,,,-18142000.0,3.0534999999999997
ATM,81212000.0,58036000.0,371000.0,16750000.0,7743000.0,331000.0,668000.0,7406000.0,7145000.0,6152000.0,,8399000.0,,8399000.0,0.0,3605000.0,3336000.0,287202000.0,83354000.0,212441000.0,,53740000.0,303000.0,25668000.0,76364000.0,200000.0,8330000.0,,3358000.0,410915000.0,239759000.0,,27920000.0,6122000.0,60121000.0,30732000.0,51638000.0,,,1693000.0,96508000.0,20433000.0,,,199000.0,,0.0,,,,16524000.0,4890000.0,-61000.0,6333000.0,-11770000.0,1601000.0,0.0,-2980000.0,4.730047619047619
ATP,28472000.0,23201000.0,3632000.0,2203000.0,-564000.0,221000.0,374000.0,-717000.0,247000.0,935000.0,,-1405000.0,,-1405000.0,,-1436000.0,-1436000.0,23715000.0,1346000.0,36973000.0,,65000.0,68299000.0,45841000.0,42985000.0,34000.0,165000.0,325000.0,82033000.0,50677000.0,6092000.0,,58434000.0,,,7800000.0,,,2860000.0,29734000.0,6879000.0,1225000.0,,,,129256000.0,,,,,6477000.0,518000.0,674000.0,212000.0,8396000.0,,,1269000.0,2.9331666666666667
ATR,35481000.0,27676000.0,,4572000.0,3233000.0,139000.0,144000.0,3228000.0,190000.0,-121000.0,,3539000.0,,3539000.0,,2609000.0,2479000.0,39570000.0,4880000.0,34201000.0,1787000.0,,6654000.0,50902000.0,3290000.0,23623000.0,881000.0,743000.0,,151121000.0,59500000.0,4615000.0,,20923000.0,,4939000.0,,,,5004000.0,59138000.0,44010000.0,1813000.0,,,714000.0,,83372000.0,,,4385000.0,544000.0,-8060000.0,7761000.0,3438000.0,0.0,,-8476000.0,11.326904761904764
ATS,-1000.0,0.0,,167000.0,-152000.0,20868000.0,1202000.0,603000.0,678000.0,5983000.0,,-159000.0,,-159000.0,,-154000.0,-154000.0,166000.0,1392000.0,212000.0,3000.0,33074000.0,904000.0,,582000.0,,3000.0,494000.0,,153613000.0,160642000.0,87500000.0,,30315000.0,3283000.0,,,,,630000.0,5274000.0,197000.0,554000.0,,,1578000.0,2578000.0,,,,-60000.0,-2000.0,-8694000.0,4000.0,-8000.0,,,57000.0,1.9158809523809524
ATT,282704000.0,243639000.0,14763000.0,26405000.0,-2103000.0,4928000.0,9053000.0,-6228000.0,22005000.0,17696000.0,14000.0,-1905000.0,,-1905000.0,,15585000.0,15482000.0,989463000.0,21361000.0,2064753000.0,2787000.0,93275000.0,113470000.0,1804042000.0,1020020000.0,1313670000.0,33948000.0,558603000.0,38339000.0,3133000.0,11084140000.0,6781314000.0,495977000.0,,2430090000.0,,,37722000.0,,,175829000.0,261990000.0,155782000.0,77214000.0,,,71264000.0,1631000.0,5114000000.0,,-68298000.0,19195000.0,-3472000.0,24584000.0,29000000.0,,-2443000.0,-88595000.0,14.067007936507936
AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWB,10010000.0,9331000.0,367000.0,969000.0,-657000.0,463000.0,7000.0,-201000.0,242000.0,-10000.0,,-7021000.0,,-7021000.0,,-1032000.0,-1032000.0,51875000.0,23552000.0,49791000.0,,4890000.0,13634000.0,2664000.0,13452000.0,,260000.0,5443000.0,,181994000.0,40799000.0,4121000.0,,,419000.0,111000.0,,,,2842000.0,135537000.0,104779000.0,12813000.0,,,21719000.0,14000.0,154305000.0,,,436000.0,182000.0,-230000.0,94000.0,-27000.0,,5000000.0,9569000.0,2.769891812865497
AWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,75206000.0,,,,15935000.0,1844000.0,4081000.0,13698000.0,,1696000.0,161000.0,37615000.0,,37615000.0,,-505000.0,-505000.0,52820000.0,867000.0,102891000.0,3614000.0,18767000.0,8017000.0,826980000.0,706362000.0,68955000.0,9000000.0,44593000.0,15263000.0,326166000.0,68998000.0,7183000.0,,13540000.0,,135280000.0,,313538000.0,,,27293000.0,413518000.0,179952000.0,50551000.0,31676000.0,695000.0,335939000.0,2000.0,408371000.0,,8220000.0,523000.0,-879000.0,999000.0,-12633000.0,0.0,,-6959000.0,13.00169381787803
BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBD,591000.0,,,,-1378000.0,418000.0,533000.0,-780000.0,72000.0,121000.0,,-829000.0,,-829000.0,,-1003000.0,-1003000.0,130868000.0,24257000.0,11420000.0,,182320000.0,2019000.0,307050000.0,1865000.0,26984000.0,14536000.0,2024000.0,,373353000.0,24574000.0,,236598000.0,10609000.0,106113000.0,,106943000.0,,,2440000.0,98256000.0,33444000.0,,,1365000.0,26149000.0,534716000.0,,,,-10446000.0,,-1000.0,-3000.0,18058000.0,0.0,0.0,-9059000.0,0.37162698412698414
BCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL,14277000.0,10306000.0,,1467000.0,1123000.0,551000.0,307000.0,6108000.0,1103000.0,131000.0,,-1445000.0,,-1445000.0,,-2000.0,-2000.0,5258000.0,151000.0,62351000.0,,,3837000.0,893000.0,11129000.0,17232000.0,1254000.0,1238000.0,,63883000.0,-7425000.0,520000.0,,,35000.0,,,,,309000.0,19512000.0,31342000.0,13862000.0,,,4621000.0,0.0,1543000.0,,,-26000.0,116000.0,0.0,170000.0,-2528000.0,,,,1.2128412698412696
BDX,835372000.0,690925000.0,5329000.0,31375000.0,107743000.0,46689000.0,105386000.0,49046000.0,6480000.0,5480000.0,,91867000.0,,91867000.0,,73212000.0,73212000.0,632851000.0,76229000.0,107158000.0,82352000.0,105635000.0,1738780000.0,1128634000.0,826622000.0,3295000.0,1950550000.0,36984000.0,2028801000.0,488916000.0,145848000.0,,239501000.0,3588000.0,525882000.0,,,,100612000.0,1513496000.0,1270662000.0,17718000.0,,,1346466000.0,998335000.0,4914245000.0,,,,140164000.0,5412000.0,58192000.0,7032000.0,17075000.0,,0.0,198857000.0,71.37948412698411
BDZ,25623000.0,23192000.0,66000.0,2830000.0,7280000.0,91000.0,35000.0,7336000.0,215000.0,9000.0,,-1153000.0,,-1153000.0,,-960000.0,-960000.0,98142000.0,1153000.0,92949000.0,,8000.0,,177169000.0,22086000.0,35170000.0,3079000.0,466000.0,,114109000.0,70444000.0,15746000.0,,46215000.0,,27539000.0,,,,,25230000.0,33314000.0,23530000.0,174891000.0,,,17065000.0,113804000.0,,,365000.0,2726000.0,-394000.0,150000.0,-317000.0,,5669000.0,2853000.0,28.754134199134196
BFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
