,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,Price
BIO,96680000.0,57764000.0,20566000.0,24449000.0,-6099000.0,7963000.0,44310000.0,-42446000.0,1361000.0,-16677000.0,0.0,-24498000.0,,-24498000.0,35814000.0,14103000.0,13735000.0,1163819000.0,1131340000.0,457686000.0,30632000.0,70000.0,27827000.0,44729000.0,162616000.0,46354000.0,15784000.0,10037000.0,,1261313000.0,789028000.0,,41329000.0,17912000.0,236633000.0,,20035000.0,,,79872000.0,411761000.0,102386000.0,110349000.0,,,23831000.0,,1141973000.0,,,-63680000.0,7637000.0,-21022000.0,49433000.0,99278000.0,252002000.0,,-26373000.0,0.2672619047619047
BKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC,13772000.0,12231000.0,,1357000.0,184000.0,213000.0,1000.0,396000.0,-127000.0,191000.0,,2006000.0,,2006000.0,,474000.0,474000.0,24124000.0,490000.0,21984000.0,,,695000.0,90164000.0,43312000.0,38029000.0,,1720000.0,7842000.0,,224370000.0,85058000.0,12570000.0,-11383000.0,19502000.0,,47910000.0,,,,2038000.0,41235000.0,40540000.0,,,,8129000.0,551000.0,180211000.0,,5165000.0,589000.0,-5330000.0,6146000.0,711000.0,,,-383000.0,11.3195
BML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRG,19916000.0,13697000.0,1075000.0,939000.0,4205000.0,102000.0,-224000.0,4531000.0,5000.0,169000.0,,4367000.0,,4367000.0,,4009000.0,4009000.0,12642000.0,8667000.0,5540000.0,,,3789000.0,80185000.0,31050000.0,12817000.0,,41699000.0,1466000.0,,19873000.0,14400000.0,,29853000.0,,945000.0,,0.0,,,34000.0,16125000.0,20254000.0,,,167000.0,,45842000.0,,,8137000.0,106000.0,-8761000.0,8768000.0,818000.0,0.0,,685000.0,
BRS,524777000.0,476161000.0,10991000.0,33476000.0,4149000.0,42445000.0,8997000.0,37597000.0,12128000.0,20284000.0,,38509000.0,,38509000.0,-3306000.0,29389000.0,21058000.0,1084909000.0,98826000.0,1208692000.0,16577000.0,346508000.0,1692850000.0,359010000.0,671424000.0,9519000.0,81288000.0,60549000.0,1721000.0,542173000.0,15404000.0,0.0,21515000.0,596844000.0,381516000.0,,,,172042000.0,1257281000.0,321597000.0,610043000.0,,,129945000.0,,4114968000.0,,,,15439000.0,19581000.0,-823000.0,-1764000.0,-91253000.0,,,22923000.0,2.6015634920634922
BSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BST,4681000.0,,,,-801000.0,104000.0,56000.0,-170000.0,9000.0,0.0,,-161000.0,,-161000.0,,930000.0,930000.0,21975000.0,798000.0,17459000.0,,1153000.0,8334000.0,11000.0,117991000.0,,105278000.0,,24253000.0,21378000.0,23512000.0,-20943000.0,61421000.0,254000.0,,,,,843000.0,2592000.0,4775000.0,167251000.0,,,,0.0,,,,,-458000.0,471000.0,-604000.0,613000.0,,0.0,,1387000.0,36.17916666666667
BTM,27663000.0,17023000.0,8532000.0,4149000.0,-2041000.0,217000.0,836000.0,-6081000.0,286000.0,439000.0,,-8347000.0,,399000.0,6957000.0,438000.0,438000.0,18200000.0,375000.0,11219000.0,,,48013000.0,35701000.0,5799000.0,,518000.0,823000.0,,-4754000.0,45000000.0,,1498000.0,,903000.0,,,,2526000.0,23405000.0,33256000.0,,,,714000.0,,89323000.0,,,,2063000.0,1317000.0,-321000.0,593000.0,-974000.0,4500000.0,,-17000.0,0.8441190476190475
BWO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,545147000.0,369431000.0,149709000.0,,26007000.0,2160000.0,6468000.0,33739000.0,177000.0,9708000.0,,19343000.0,,19343000.0,,14878000.0,14878000.0,406102000.0,141845000.0,249236000.0,14779000.0,1225000.0,361329000.0,593914000.0,295765000.0,,73733000.0,,,2586823000.0,1516635000.0,,68222000.0,636000.0,241769000.0,,42049000.0,,,41576000.0,1511293000.0,173642000.0,,,11949000.0,,1501642000.0,,,,60673000.0,7882000.0,-17395000.0,30357000.0,-49290000.0,,,-3027000.0,47.10498412698413
CCC,259577000.0,121943000.0,92638000.0,2705000.0,42291000.0,1092000.0,4138000.0,38729000.0,177000.0,1889000.0,,21212000.0,,21212000.0,,17099000.0,17099000.0,269959000.0,7780000.0,475249000.0,,,152794000.0,251623000.0,99781000.0,,161900000.0,,,2854300000.0,3840000.0,,209108000.0,,105117000.0,84000.0,216000000.0,,,294400000.0,38037000.0,46381000.0,,,8145000.0,0.0,0.0,,,,15119000.0,4336000.0,-13943000.0,13952000.0,6826000.0,,57600000.0,34436000.0,35.99466666666667
CCE,17018000.0,15320000.0,0.0,1898000.0,-3552000.0,2000.0,81000.0,-100000.0,1948000.0,0.0,,648000.0,,648000.0,,648000.0,648000.0,522165000.0,2000.0,,,1276000.0,108084000.0,2949000.0,387000.0,,2000.0,140239000.0,,1720000.0,5350000.0,,486515000.0,,1342000.0,571000.0,,,,,,10541000.0,,,,0.0,132038000.0,,,,573000.0,825000.0,-87571000.0,0.0,0.0,,,-4000.0,0.5522698412698414
CDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDR,379000.0,537000.0,191000.0,1318000.0,-1667000.0,48000.0,95000.0,-1714000.0,4000.0,13000.0,,-1723000.0,,-1723000.0,,-904000.0,-904000.0,89630000.0,81218000.0,6393000.0,,62205000.0,15838000.0,424000.0,34710000.0,817000.0,393637000.0,12759000.0,,19044000.0,28152000.0,,101017000.0,,1445000.0,,233000.0,,,58592000.0,39095000.0,19348000.0,,,6316000.0,197000.0,202892000.0,,,,-1215000.0,191000.0,99000.0,0.0,2129000.0,0.0,,2106000.0,1.2586031746031747
CEZ,7444924000.0,,,,3117926000.0,,346609000.0,2771317000.0,540378000.0,,,1592956000.0,,1592956000.0,,1084354000.0,1114532000.0,63254046000.0,2832218000.0,66098220000.0,,7046417000.0,2011152000.0,23071878000.0,1667627000.0,1247014000.0,4153376000.0,899596000.0,654115000.0,96149627000.0,40781052000.0,8806896000.0,-597633000.0,,13049345000.0,,10417972000.0,,,9561483000.0,23850589000.0,14781665000.0,3485024000.0,,,1549403000.0,1894497000.0,96135267000.0,,,4931276000.0,1069358000.0,-5190671000.0,3049377000.0,4575996000.0,,4539000.0,-553181000.0,140.96674603174606
CFI,9650000.0,6855000.0,0.0,1108000.0,-2371000.0,1712000.0,3043000.0,-3702000.0,44000.0,4890000.0,,-4949000.0,,-4949000.0,,-4978000.0,-4909000.0,,2756000.0,119972000.0,394000.0,82000.0,318000.0,13140000.0,10106000.0,31157000.0,67831000.0,12568000.0,1843000.0,,53587000.0,5625000.0,,9872000.0,775000.0,83823000.0,,181869000.0,,,864002000.0,53195000.0,10267000.0,22181000.0,,,11436000.0,160895000.0,,,321000.0,785000.0,4000.0,79000.0,-331000.0,,,440000.0,
CHS,5760000.0,4741000.0,222000.0,660000.0,137000.0,9000.0,151000.0,-5000.0,57000.0,0.0,,40000.0,,40000.0,,-88000.0,-88000.0,9491000.0,7404000.0,25449000.0,6000.0,7666000.0,6354000.0,124747000.0,32708000.0,,5026000.0,367000.0,3000000.0,114577000.0,63232000.0,20006000.0,,47413000.0,9633000.0,35014000.0,,,,963000.0,16506000.0,37671000.0,7212000.0,,,1759000.0,7184000.0,170347000.0,,,1985000.0,147000.0,-200000.0,202000.0,-815000.0,,0.0,-5648000.0,1.656133389028126
CIE,901719000.0,759954000.0,71441000.0,59040000.0,11284000.0,107952000.0,23253000.0,95983000.0,-60425000.0,-8379000.0,3154000.0,47091000.0,,47091000.0,-3480000.0,772000.0,-129000.0,2853271000.0,191936000.0,2481423000.0,3337000.0,149799000.0,26776000.0,1424807000.0,341435000.0,943721000.0,4134000.0,131638000.0,,31411000.0,3977712000.0,743719000.0,164115000.0,,525821000.0,-955000.0,1605129000.0,,1114264000.0,,169699000.0,324599000.0,2041780000.0,955833000.0,1024407000.0,,13389000.0,81222000.0,,4042125000.0,141239000.0,51327000.0,-64407000.0,66328000.0,-10209000.0,0.0,59551000.0,32771000.0,29.998190476190477
CIG,7435000.0,5160000.0,2342000.0,188000.0,-255000.0,191000.0,626000.0,-690000.0,293000.0,150000.0,,-547000.0,,-547000.0,,-506000.0,-506000.0,14961000.0,12623000.0,442000.0,,23000.0,22149000.0,21243000.0,3270000.0,13950000.0,,13158000.0,4023000.0,,3513000.0,1254000.0,,20424000.0,,349000.0,,87000.0,,,169000.0,12540000.0,7152000.0,20653000.0,,,1416000.0,5430000.0,,,4005000.0,2458000.0,-678000.0,869000.0,-2817000.0,,,8070000.0,5.178531746031745
CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMP,54445000.0,31912000.0,9487000.0,10838000.0,2208000.0,1048000.0,1220000.0,2036000.0,4000.0,392000.0,-112000.0,-6745000.0,,13755000.0,-6495000.0,-233000.0,134000.0,301724000.0,267698000.0,51807000.0,6545000.0,1567000.0,207007000.0,93678000.0,138251000.0,1930000.0,26736000.0,,197743000.0,315616000.0,14795000.0,-53294000.0,291856000.0,20128000.0,,34212000.0,,,1477000.0,135669000.0,56420000.0,138884000.0,,6011000.0,,431351000.0,,,,,-13829000.0,1984000.0,970000.0,819000.0,7906000.0,,374000.0,3883000.0,53.041785714285716
CMR,163774000.0,145095000.0,19744000.0,10867000.0,-11932000.0,2076000.0,2907000.0,-12763000.0,1180000.0,43000.0,-470000.0,7249000.0,,7249000.0,,5773000.0,5430000.0,419366000.0,138049000.0,258489000.0,1767000.0,10383000.0,27850000.0,468529000.0,47481000.0,222620000.0,2928000.0,168784000.0,,,1100655000.0,609301000.0,8051000.0,,147433000.0,6338000.0,142705000.0,,103404000.0,,,37536000.0,324123000.0,162866000.0,52354000.0,,,110333000.0,13817000.0,1177068000.0,-12408000.0,15049000.0,-1197000.0,-25478000.0,-7313000.0,1000.0,792000.0,20402000.0,65.7206746031746
CNG,47203000.0,35359000.0,,7855000.0,3989000.0,677000.0,640000.0,4026000.0,-531000.0,690000.0,,5823000.0,,5823000.0,,4977000.0,4977000.0,168395000.0,24169000.0,113906000.0,,145000.0,66740000.0,74527000.0,59960000.0,466000.0,13270000.0,955000.0,,122770000.0,57038000.0,-22830000.0,140492000.0,,27032000.0,,,,7067000.0,108227000.0,31340000.0,9121000.0,,,8426000.0,,246369000.0,,,,8374000.0,4201000.0,-5180000.0,5188000.0,-3468000.0,0.0,,1086000.0,2.624801587301587
CNT,27783000.0,25056000.0,,1670000.0,1057000.0,444000.0,607000.0,894000.0,-335000.0,-1299000.0,,2244000.0,,2244000.0,-481000.0,467000.0,467000.0,33822000.0,175000.0,14623000.0,,462000.0,2787000.0,122323000.0,120183000.0,,47625000.0,10255000.0,,135950000.0,46471000.0,36360000.0,,11452000.0,2099000.0,2193000.0,,,,980000.0,50207000.0,11970000.0,1403000.0,,,3358000.0,1506000.0,86319000.0,,,-5151000.0,863000.0,2000.0,2000.0,-365000.0,,,-27958000.0,4.077873015873016
COG,307362000.0,293731000.0,36424000.0,16846000.0,-39639000.0,-445000.0,-1587000.0,-38497000.0,32662000.0,4013000.0,,-4972000.0,,-4972000.0,,-8670000.0,-8814000.0,459195000.0,15435000.0,318986000.0,42000.0,3306000.0,47619000.0,169470000.0,143210000.0,5131000.0,33828000.0,,6012000.0,25978000.0,70374000.0,,140841000.0,24800000.0,446089000.0,,,,2281000.0,106010000.0,,179512000.0,,,5111000.0,117000.0,940517000.0,,,,52339000.0,6505000.0,26999000.0,496000.0,-80510000.0,,,,3.8338015873015876
COL,139581000.0,85186000.0,30979000.0,12640000.0,10776000.0,7128000.0,3791000.0,14113000.0,2083000.0,3303000.0,,11583000.0,,11583000.0,-32000.0,9372000.0,9372000.0,559222000.0,345293000.0,375916000.0,,42230000.0,132068000.0,59407000.0,132914000.0,15364000.0,58611000.0,8537000.0,260590000.0,534627000.0,22930000.0,-19572000.0,1069713000.0,,15000000.0,,,,73451000.0,367626000.0,108289000.0,10098000.0,,,,0.0,,,,,28547000.0,6033000.0,-4621000.0,3987000.0,-8015000.0,,,-35286000.0,2.556753968253968
CPA,306000.0,,,1162000.0,57000.0,0.0,3000.0,7788000.0,28000.0,2000.0,,10850000.0,,10850000.0,,8578000.0,8578000.0,14120000.0,296000.0,43000.0,126000.0,43976000.0,615000.0,17317000.0,,3495000.0,107000.0,,,117168000.0,55951000.0,24440000.0,,38154000.0,0.0,3273000.0,,,,,13160000.0,667000.0,199000.0,,,1375000.0,,157566000.0,,,-2082000.0,6000.0,10953000.0,,-1352000.0,,,-246000.0,2.366452380952381
CPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPS,306767000.0,167330000.0,54528000.0,43761000.0,214193000.0,504000.0,,397700000.0,,222100000.0,-4700000.0,613300000.0,,613300000.0,,230900000.0,237700000.0,242013000.0,14165000.0,302743000.0,,,41702000.0,640307000.0,332532000.0,322848000.0,,270354000.0,169222000.0,,5851194000.0,9091700000.0,25600000.0,,7161800000.0,86100000.0,12670500000.0,,9056000000.0,975300000.0,19400000.0,1438000000.0,2927400000.0,2250700000.0,,,24563000.0,76530000.0,595203000.0,,52693000.0,9661000.0,44222000.0,-43890000.0,-147993000.0,,131125000.0,-6316000.0,14.393190476190476
CRM,8877000.0,4948000.0,1747000.0,1217000.0,965000.0,55000.0,163000.0,857000.0,308000.0,30000.0,,1135000.0,,1135000.0,,797000.0,800000.0,9568000.0,5600000.0,22355000.0,,67150000.0,2575000.0,35282000.0,5196000.0,,12706000.0,980000.0,,289392000.0,105208000.0,63724000.0,,41507000.0,605000.0,,8804000.0,,,11188000.0,21491000.0,19168000.0,,,,,60044000.0,,,,-2118000.0,106000.0,225000.0,818000.0,-520000.0,20897000.0,,3446000.0,2.1963333333333335
CTC,10218000.0,9248000.0,1830000.0,717000.0,-1019000.0,605000.0,1083000.0,-1266000.0,22000.0,131000.0,,-10828000.0,,17940000.0,0.0,6993000.0,6992000.0,107576000.0,1947000.0,13191000.0,,348000.0,19635000.0,2140000.0,9950000.0,20867000.0,93000.0,,93969000.0,286219000.0,250000000.0,-489000.0,60843000.0,2619000.0,,,,,3942000.0,71427000.0,40102000.0,,,,6174000.0,0.0,,,,,1351000.0,250000.0,-141000.0,141000.0,25570000.0,2900000.0,,-1274000.0,0.37509523809523815
CTG,2744000.0,,434000.0,-7660000.0,960000.0,1046000.0,448000.0,6162000.0,144000.0,,1187000.0,,1187000.0,,-26000.0,-26000.0,,,42000.0,,,50000.0,13377000.0,88827000.0,4832000.0,,,791000.0,,109330000.0,48687000.0,15359000.0,-534000.0,49653000.0,8107000.0,166702000.0,,38746000.0,,,2719000.0,,,,,33000.0,,15613000.0,,,,124000.0,,255000.0,-15135000.0,,,-1501000.0,
CTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBC,358330000.0,306869000.0,6611000.0,14136000.0,30714000.0,-810000.0,7230000.0,22674000.0,-5363000.0,-1104000.0,,13795000.0,,13795000.0,,10976000.0,10976000.0,640373000.0,3962000.0,619924000.0,,144000.0,16343000.0,517868000.0,175637000.0,308847000.0,823000.0,38631000.0,2351000.0,,1174048000.0,730730000.0,110422000.0,,566267000.0,,58077000.0,,1947000.0,,,56130000.0,385239000.0,275386000.0,,,,124356000.0,,1499953000.0,80199000.0,14941000.0,-12829000.0,13212000.0,-57284000.0,,,-15431000.0,49.69453174603174
DCR,69404000.0,37222000.0,17462000.0,3403000.0,11317000.0,152000.0,4029000.0,7440000.0,5134000.0,,,-992000.0,,-992000.0,,1230000.0,1230000.0,137558000.0,40487000.0,62373000.0,16000.0,918000.0,132607000.0,49572000.0,80100000.0,,3549000.0,,174413000.0,105647000.0,565000.0,,134746000.0,,487000.0,,,,1318000.0,82355000.0,23346000.0,64975000.0,,,7034000.0,,255289000.0,,,,12913000.0,2791000.0,284000.0,-94000.0,-6833000.0,,,7955000.0,13.573722222222223
DEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEL,103754000.0,,,,2093000.0,442000.0,144000.0,2391000.0,6000.0,319000.0,,2078000.0,,2078000.0,,1411000.0,1074000.0,9981000.0,9783000.0,19989000.0,,13000.0,1818000.0,117557000.0,55583000.0,,1343000.0,342000.0,,131748000.0,48225000.0,5980000.0,,51275000.0,5221000.0,,4491000.0,,,2210000.0,98967000.0,36385000.0,26516000.0,,262000.0,7695000.0,,182705000.0,,,-759000.0,345000.0,-28000.0,155000.0,1016000.0,,0.0,-3613000.0,
DGA,9974000.0,7834000.0,203000.0,1378000.0,559000.0,433000.0,461000.0,531000.0,1037000.0,5000.0,0.0,1015000.0,,1015000.0,,-1094000.0,-1032000.0,10186000.0,2003000.0,1813000.0,835000.0,1028000.0,19030000.0,317000.0,8901000.0,9426000.0,7294000.0,,,16995000.0,10170000.0,-1963000.0,15742000.0,31000.0,370000.0,,,,,,1378000.0,60000.0,,,2767000.0,,23058000.0,,,,-1959000.0,249000.0,-3162000.0,120000.0,6309000.0,0.0,,-2076000.0,2.709373015873016
DNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,191954000.0,145637000.0,4790000.0,11249000.0,30278000.0,1277000.0,845000.0,30710000.0,543000.0,2906000.0,,28347000.0,,28347000.0,,22618000.0,22617000.0,22921000.0,1392000.0,6454000.0,1653000.0,8794000.0,1978497000.0,1301824000.0,9058000.0,35115000.0,51992000.0,,1723386000.0,835706000.0,24770000.0,,777387000.0,-50000.0,,95691000.0,,,59310000.0,383715000.0,190523000.0,51373000.0,,6263000.0,388788000.0,1578299000.0,,,,,-36151000.0,598000.0,-516000.0,618000.0,-11133000.0,,0.0,62130000.0,34.2129126984127
DPL,44621000.0,39690000.0,2965000.0,1433000.0,533000.0,8766000.0,-31000.0,1301000.0,,268000.0,,-1640000.0,,-1640000.0,,-1707000.0,-1707000.0,51787000.0,101000.0,49844000.0,,,502000.0,12814000.0,20805000.0,,506000.0,318000.0,28414000.0,35276000.0,30593000.0,,44093000.0,,7180000.0,,,,,5059000.0,5857000.0,,,,28983000.0,,115281000.0,,,,22560000.0,859000.0,187000.0,147000.0,-33253000.0,,,-10505000.0,1.7216190476190472
DRE,4482000.0,4553000.0,31000.0,28000.0,74000.0,0.0,518000.0,59000.0,132000.0,,-2830000.0,,-466000.0,,-466000.0,-466000.0,,10612000.0,1852000.0,7044000.0,,,,1686000.0,,60000.0,355000.0,169000.0,,22785000.0,7198000.0,6524000.0,,4173000.0,,410000.0,,,,,388000.0,12634000.0,2821000.0,3858000.0,,,6230000.0,19942000.0,,,629000.0,234000.0,931000.0,,192000.0,,,,3.429478835978836
DRP,109176000.0,130518000.0,3578000.0,917000.0,890000.0,34000.0,195000.0,729000.0,52000.0,42000.0,,-252000.0,,-252000.0,,-245000.0,-245000.0,13202000.0,8000.0,20951000.0,,7161000.0,1257000.0,44807000.0,18647000.0,10043000.0,930000.0,120000.0,,84033000.0,66813000.0,587000.0,,48878000.0,,18330000.0,,17685000.0,,,589000.0,4143000.0,120000.0,,,,,0.0,,,-166000.0,298000.0,105000.0,1375000.0,0.0,,,2606000.0,18.265833333333337
EAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAT,513834000.0,467767000.0,,29132000.0,16935000.0,5478000.0,-1722000.0,26170000.0,-4517000.0,2549000.0,-96000.0,1480000.0,,1480000.0,7887000.0,17094000.0,13691000.0,1034111000.0,1133069000.0,1086086000.0,,28826000.0,158694000.0,40770000.0,86260000.0,,498707000.0,3861000.0,2303754000.0,1081328000.0,714000.0,,520523000.0,69396000.0,,164184000.0,,,475654000.0,494890000.0,344873000.0,219809000.0,,1636000.0,,244642000.0,,,,,39409000.0,20894000.0,-38089000.0,40231000.0,-180000.0,48000.0,0.0,-10577000.0,51.47757936507937
ECH,96017000.0,32625000.0,3327000.0,9102000.0,50289000.0,-188552000.0,74492000.0,104900000.0,5200000.0,37633000.0,-35390000.0,37077000.0,,37077000.0,,67350000.0,67341000.0,3538769000.0,1186000.0,5143547000.0,,11930000.0,844468000.0,420525000.0,151111000.0,61282000.0,400036000.0,,371146000.0,1195243000.0,21000000.0,,2067332000.0,14000.0,4084234000.0,,1026830000.0,,,227433000.0,98937000.0,235673000.0,,,65602000.0,,6164022000.0,,,,23227000.0,983000.0,-37595000.0,71000.0,8192000.0,,,1076000.0,2.914103174603175
EDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EEX,764000.0,666000.0,,,98000.0,0.0,7000.0,206000.0,88000.0,145000.0,,1000000.0,,1000000.0,,789000.0,789000.0,5991000.0,9000.0,5972000.0,,75000.0,2164000.0,19170000.0,9223000.0,3217000.0,10759000.0,266000.0,292000.0,,73516000.0,50955000.0,1098000.0,-4300000.0,59400000.0,,10481000.0,,,,,3595000.0,3595000.0,,,,12000.0,531000.0,32251000.0,,,5000.0,-2170000.0,291000.0,197000.0,,,187000.0,
EFK,12135000.0,6497000.0,1322000.0,3509000.0,807000.0,57000.0,42000.0,822000.0,-83000.0,1173000.0,0.0,3098000.0,,-1423000.0,,-1335000.0,-1335000.0,121546000.0,426000.0,119152000.0,,221000.0,1960000.0,7464000.0,520000.0,1728000.0,30000.0,8093000.0,1199000.0,,109744000.0,29558000.0,1665000.0,,55316000.0,,62041000.0,,,,5891000.0,14411000.0,13005000.0,,,,2711000.0,18000.0,115530000.0,,1420000.0,1013000.0,-1559000.0,1601000.0,-1246000.0,,935000.0,627000.0,12.475365079365082
EGS,142503000.0,115292000.0,9737000.0,8610000.0,8864000.0,493000.0,695000.0,8662000.0,869000.0,-1560000.0,24000.0,-1685000.0,,-1685000.0,,-1132000.0,-1123000.0,272176000.0,99699000.0,166772000.0,,237000.0,13050000.0,207849000.0,77787000.0,125546000.0,73000.0,4443000.0,,458914000.0,152810000.0,23602000.0,-11000.0,42607000.0,849000.0,91011000.0,,101110000.0,,,17570000.0,156868000.0,48446000.0,66868000.0,,,12625000.0,328000.0,441797000.0,,15351000.0,5918000.0,2252000.0,-2364000.0,20107000.0,,,-8623000.0,2.0945079365079367
EHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKP,980000.0,1055000.0,,277000.0,-304000.0,998000.0,33000.0,2578000.0,42000.0,21000.0,,250000.0,,144000.0,,140000.0,140000.0,5274000.0,4938000.0,33521000.0,,7168000.0,827000.0,5980000.0,2106000.0,,6041000.0,337000.0,,67719000.0,55522000.0,53001000.0,-12698000.0,3303000.0,408000.0,,0.0,,,4152000.0,1788000.0,203000.0,,,,915000.0,7755000.0,,,,-1171000.0,102000.0,-56000.0,-679000.0,4140000.0,,,-12000.0,0.012444444444444445
ELB,181698000.0,152868000.0,890000.0,2860000.0,25080000.0,-546000.0,591000.0,19551000.0,,-1398000.0,,-6181000.0,,-6181000.0,,-4346000.0,-4266000.0,120412000.0,27194000.0,53821000.0,8011000.0,56930000.0,1334000.0,310659000.0,29625000.0,161074000.0,229000.0,29703000.0,110794000.0,716000.0,824437000.0,329775000.0,10003000.0,,300542000.0,62000.0,20227000.0,,9005000.0,,,43663000.0,333829000.0,94018000.0,,,644000.0,9426000.0,166709000.0,,-12605000.0,2410000.0,-7450000.0,7982000.0,-14263000.0,,16616000.0,-6871000.0,146.1522431077694
ELT,31427000.0,24199000.0,1255000.0,1667000.0,4306000.0,220000.0,1147000.0,3379000.0,733000.0,-1000.0,0.0,-813000.0,,-813000.0,,-808000.0,-839000.0,19408000.0,9821000.0,23529000.0,,10000.0,10811000.0,5025000.0,38571000.0,9000.0,32428000.0,17808000.0,,83542000.0,9774000.0,,68671000.0,1658000.0,3555000.0,,,,97000.0,29673000.0,15571000.0,1097000.0,,,14122000.0,1433000.0,200243000.0,,,,-1841000.0,635000.0,451000.0,215000.0,-247000.0,7000.0,6971000.0,-7996000.0,11.273798245614037
ELZ,16140000.0,10134000.0,1069000.0,3466000.0,1471000.0,201000.0,309000.0,1363000.0,833000.0,784000.0,,1739000.0,,1739000.0,,1365000.0,1367000.0,19696000.0,7452000.0,13445000.0,,57283000.0,33853000.0,13666000.0,10637000.0,,6017000.0,,3149000.0,123570000.0,79312000.0,22143000.0,-1997000.0,242000.0,7324000.0,,3764000.0,,,1562000.0,22562000.0,,30026000.0,,580000.0,4751000.0,53705000.0,,,,-982000.0,648000.0,-444000.0,488000.0,-580000.0,,,-1150000.0,2.368090815273478
EMC,28923000.0,,,,1013000.0,159000.0,196000.0,976000.0,18000.0,573000.0,,-2535000.0,,-2535000.0,,-2166000.0,-2161000.0,97199000.0,3771000.0,132561000.0,,,2176000.0,707000.0,6618000.0,,9204000.0,751000.0,,242828000.0,123152000.0,,3979000.0,7000.0,35802000.0,,25436000.0,,,18003000.0,101510000.0,374000.0,,,1747000.0,929000.0,0.0,,,,2377000.0,1124000.0,-5772000.0,5384000.0,7904000.0,-7000.0,0.0,-970000.0,14.558885154061622
EMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
