,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,QuoteCurrent,ShareAmountCurrent,WKCurrent,CWKCurrent,WKGrahamCurrent,CWKGrahamCurrent,PCurrent,CPCurrent,ZCurrent,CZCurrent,ZOCurrent,CZOCurrent,EVCurrent,EVPCurrent,EVEBITCurrent,EVEBITDACurrent,DTAR,CG,LDER,PZAT,PELDR,TSF,ZKO,OSF,NetDebt,NetDebtEBITDA,DebtFin,DebtFinEBITDA,SP1,SP2,CAR,QR,CR,PP,RCLR,KP,PKKO,RN,CRN,CPZ,RZ,CRZ,RMO,RMT,RM,COP,CSP,Price
ABS,45274000.0,30436000.0,1166000.0,4853000.0,8819000.0,182000.0,148000.0,8853000.0,403000.0,104000.0,,9152000.0,,9152000.0,,7300000.0,7300000.0,198144000.0,183091000.0,9812000.0,601000.0,,1353000.0,55895000.0,35215000.0,1056000.0,37944000.0,539000.0,,358150000.0,143069000.0,167091000.0,62423000.0,0.0,285000.0,,17000.0,,,716000.0,20004000.0,5084000.0,35390000.0,,11365000.0,6442000.0,0.0,,,,12780000.0,2562000.0,-2534000.0,2774000.0,-333000.0,57710000.0,0.0,-12962000.0,24000.0,33418193000.0,7760.0,3090.0,1750.0,13730.0,4670.0,5130.0,670.0,35760.0,800.0,29970.0,22570.0,4830.0,28190.0,20540.0,100.0,110.0,0.0,17690.0,1330.0,900.0,340.0,430.0,-19940000000.0,-540.0,-47835000000.0,-1300.0,1290.0,1300.0,1700.0,2790.0,3080.0,1730.0,1300.0,210.0,620.0,4420.0,83000.0,51000.0,112020.0,3000.0,2040.0,780.0,560.0,86000.0,35000.0,8.055461251167133
ACG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACP,935654000.0,636130000.0,67669000.0,90843000.0,141012000.0,9418000.0,16424000.0,132400000.0,7000000.0,32900000.0,388000.0,185100000.0,,185100000.0,,119100000.0,81300000.0,6028300000.0,6147900000.0,798000000.0,53800000.0,28136000.0,588466000.0,45656000.0,1640200000.0,86000000.0,1225500000.0,191700000.0,696973000.0,1967018000.0,77600000.0,-396000000.0,4173300000.0,2967200000.0,362300000.0,,1169600000.0,,11936000.0,1051078000.0,417200000.0,257100000.0,,,312600000.0,567900000.0,11923600000.0,,,,160007000.0,36611000.0,-146104000.0,127490000.0,-24149000.0,0.0,201100000.0,-10100000.0,46780.0,77565530000.0,47900.0,980.0,-1390.0,39520.0,39320.0,1190.0,4810.0,9720.0,6780.0,6900.0,48650.0,1240.0,7180.0,5840.0,240.0,380.0,130.0,780.0,990.0,730.0,1080.0,900.0,1031362000000.0,1600.0,144890000000.0,220.0,830.0,940.0,370.0,1110.0,1390.0,390.0,890.0,60.0,190.0,3810.0,96000.0,118000.0,41020.0,9000.0,2390.0,690.0,540.0,105000.0,-13000.0,60.25032828282829
ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,291108000.0,167173000.0,71200000.0,27215000.0,25520000.0,5348000.0,11387000.0,19481000.0,3183000.0,2071000.0,-263000.0,20330000.0,,20330000.0,,14893000.0,14918000.0,1023508000.0,394166000.0,613083000.0,8451000.0,872000.0,6936000.0,514728000.0,16164000.0,219891000.0,154448000.0,124225000.0,,,1544692000.0,1216042000.0,50937000.0,-90001000.0,147087000.0,17735000.0,184959000.0,,141763000.0,,,43196000.0,294091000.0,139908000.0,76322000.0,,,9847000.0,68014000.0,1684437000.0,65863000.0,20015000.0,-40372000.0,10698000.0,-26231000.0,,0.0,-40384000.0,9100.0,50937386000.0,23490.0,390.0,3390.0,2690.0,21790.0,420.0,750.0,12090.0,1040.0,8770.0,8520.0,390.0,8210.0,3240.0,220.0,290.0,80.0,6130.0,1310.0,840.0,660.0,780.0,63488000000.0,470.0,-29398000000.0,-220.0,1170.0,1270.0,510.0,1890.0,2130.0,1150.0,910.0,180.0,470.0,4860.0,75000.0,84000.0,35140.0,10000.0,2200.0,1070.0,720.0,85000.0,1000.0,21.091042568542566
AGT,16178000.0,23472000.0,1097000.0,4760000.0,-13151000.0,-1366000.0,6859000.0,79854000.0,272000.0,5873000.0,,-16482000.0,,-16482000.0,,-17759000.0,-17769000.0,120491000.0,80000.0,109801000.0,732000.0,5686000.0,415443000.0,172270000.0,,100063000.0,2265000.0,5249000.0,579954000.0,1959000.0,,244603000.0,989000.0,,8299000.0,,,,63741000.0,147671000.0,,,726000.0,,579892000.0,,,,,,-51220000.0,2953000.0,-1838000.0,1873000.0,93926000.0,111070000.0,,21641000.0,3440.0,11015310000.0,14500.0,240.0,3660.0,940.0,19690.0,170.0,1310.0,2620.0,4310.0,800.0,9380.0,480.0,2180.0,1710.0,550.0,1240.0,110.0,6280.0,1690.0,500.0,830.0,1100.0,34521000000.0,1630.0,22963000000.0,1080.0,1330.0,1480.0,560.0,560.0,1320.0,560.0,140.0,160.0,400.0,8460.0,43000.0,303000.0,1420.0,258000.0,910.0,1800.0,600.0,301000.0,-2000.0,
ALC,134873000.0,122012000.0,4301000.0,7252000.0,1308000.0,1599000.0,12055000.0,-9148000.0,9113000.0,3324000.0,,29809000.0,,29809000.0,703000.0,16379000.0,16387000.0,478264000.0,30381000.0,463665000.0,448000.0,2345000.0,189759000.0,128097000.0,165124000.0,32000.0,7749000.0,2419000.0,7000.0,940278000.0,14624000.0,260000000.0,646000.0,805000.0,47655000.0,,412000.0,,4618000.0,66511000.0,80680000.0,58435000.0,,,7030000.0,102000.0,849792000.0,,,,-4269000.0,6285000.0,151113000.0,-74727000.0,-171605000.0,360000.0,,-2294000.0,4440.0,224984000000.0,2270.0,1960.0,450.0,9920.0,2650.0,1680.0,80.0,53470.0,140.0,31750.0,4980.0,1880.0,35650.0,35650.0,330.0,500.0,180.0,3830.0,1470.0,790.0,720.0,890.0,131130000000.0,4170.0,122508000000.0,3890.0,1240.0,1470.0,80.0,1580.0,2210.0,760.0,810.0,250.0,380.0,4250.0,86000.0,124000.0,4570.0,80000.0,1530.0,1430.0,740.0,166000.0,42000.0,6.764680375180376
ALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
