,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,QuoteCurrent,ShareAmountCurrent,WKCurrent,CWKCurrent,WKGrahamCurrent,CWKGrahamCurrent,PCurrent,CPCurrent,ZCurrent,CZCurrent,ZOCurrent,CZOCurrent,EVCurrent,EVPCurrent,EVEBITCurrent,EVEBITDACurrent,DTAR,CG,LDER,PZAT,PELDR,TSF,ZKO,OSF,NetDebt,NetDebtEBITDA,DebtFin,DebtFinEBITDA,SP1,SP2,CAR,QR,CR,PP,RCLR,KP,PKKO,RN,CRN,CPZ,RZ,CRZ,RMO,RMT,RM,COP,CSP,Price
EHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKP,4844000.0,4297000.0,,562000.0,-49000.0,1000.0,1000.0,-27000.0,20000.0,0.0,,144000.0,,-18000.0,,1385000.0,1385000.0,5048000.0,1551000.0,32348000.0,12500000.0,7168000.0,884000.0,17651000.0,1558000.0,866000.0,1269000.0,4000.0,,61211000.0,57206000.0,42000000.0,-12698000.0,2556000.0,408000.0,2012000.0,0.0,,,4189000.0,1660000.0,117000.0,0.0,,,735000.0,8314000.0,67665000.0,,,-832000.0,103000.0,206000.0,49000.0,2128000.0,0.0,0.0,-2266000.0,470.0,5047724000.0,2370.0,200.0,1100.0,430.0,1250.0,380.0,-550.0,700.0,-360.0,,430.0,350.0,-1220.0,-1570.0,260.0,340.0,40.0,9340.0,1920.0,860.0,430.0,790.0,3654000000.0,-2610.0,-183000000.0,130.0,1860.0,1860.0,40.0,1190.0,2340.0,110.0,1080.0,340.0,1130.0,2050.0,178000.0,130000.0,1510.0,242000.0,770.0,910.0,420.0,420000.0,290000.0,0.011119769119769122
ELB,222722000.0,197728000.0,912000.0,4213000.0,19869000.0,3865000.0,4861000.0,14720000.0,3000.0,-2149000.0,,8121000.0,,8121000.0,,6695000.0,6336000.0,131019000.0,26292000.0,61428000.0,9142000.0,58294000.0,6116000.0,312648000.0,42144000.0,153024000.0,184000.0,34428000.0,113726000.0,0.0,868086000.0,348665000.0,10003000.0,,299283000.0,-27000.0,30215000.0,,7911000.0,,,29810000.0,433714000.0,130841000.0,35021000.0,,634000.0,8321000.0,161366000.0,700035000.0,33752000.0,2623000.0,-3841000.0,6137000.0,0.0,0.0,0.0,16496000.0,36700.0,5001645000.0,57820.0,630.0,31620.0,1160.0,140140.0,260.0,10900.0,3370.0,13790.0,2660.0,15110.0,110.0,1100.0,960.0,390.0,640.0,30.0,7450.0,2610.0,630.0,540.0,1190.0,76558000000.0,970.0,-107972000000.0,-1370.0,2210.0,2270.0,610.0,1660.0,1940.0,610.0,1050.0,350.0,280.0,4760.0,77000.0,81000.0,50640.0,7000.0,2280.0,5590.0,1620.0,84000.0,3000.0,170.0801169590643
ELT,34256000.0,26695000.0,1819000.0,1992000.0,3750000.0,288000.0,488000.0,3550000.0,698000.0,30000.0,0.0,3208000.0,,3208000.0,,2523000.0,2434000.0,29279000.0,8021000.0,23633000.0,,10000.0,33113000.0,4209000.0,44621000.0,0.0,10682000.0,36919000.0,,90651000.0,9848000.0,-125000.0,68974000.0,1900000.0,3265000.0,,874000.0,,767000.0,17221000.0,21878000.0,392000.0,,,11178000.0,73000.0,122470000.0,,,,-3075000.0,554000.0,-617000.0,947000.0,477000.0,74000.0,0.0,-6485000.0,4280.0,9774009000.0,9630.0,440.0,7730.0,550.0,11150.0,380.0,920.0,4630.0,960.0,4450.0,-1220.0,-110.0,-1260.0,-1020.0,220.0,280.0,20.0,5510.0,5150.0,800.0,260.0,1300.0,-31031000000.0,-2660.0,-53715000000.0,-4610.0,5060.0,5140.0,2210.0,4050.0,4130.0,2320.0,1320.0,640.0,910.0,4250.0,86000.0,76000.0,27800.0,13000.0,1130.0,5800.0,950.0,99000.0,23000.0,12.496212121212123
ELZ,17206000.0,10984000.0,1579000.0,3422000.0,1221000.0,217000.0,396000.0,1042000.0,112000.0,169000.0,0.0,1229000.0,,1229000.0,,976000.0,972000.0,21973000.0,7608000.0,16081000.0,373000.0,56197000.0,27757000.0,11289000.0,11980000.0,45759000.0,5841000.0,724000.0,3149000.0,137819000.0,73202000.0,22143000.0,9080000.0,220000.0,8034000.0,4611000.0,3424000.0,,,881000.0,60367000.0,,18658000.0,,882000.0,2849000.0,61148000.0,184164000.0,,,2821000.0,624000.0,-1038000.0,1058000.0,-525000.0,,1000.0,-572000.0,6100.0,16137045000.0,2540.0,2400.0,880.0,6940.0,4150.0,1470.0,270.0,22520.0,380.0,15850.0,6120.0,1480.0,15900.0,11330.0,290.0,420.0,160.0,1830.0,2740.0,820.0,550.0,1140.0,11146000000.0,1280.0,312000000.0,40.0,2080.0,2420.0,570.0,1260.0,2990.0,570.0,1270.0,360.0,520.0,4970.0,73000.0,60000.0,3360.0,109000.0,2110.0,3570.0,1160.0,182000.0,122000.0,2.7194571150097464
EMC,29399000.0,17894000.0,,,792000.0,426000.0,2900000.0,-1682000.0,8000.0,861000.0,,1962000.0,,1962000.0,,1832000.0,1814000.0,114544000.0,3708000.0,168463000.0,5000.0,942000.0,2425000.0,583000.0,9253000.0,6636000.0,12546000.0,2449000.0,,277517000.0,119664000.0,53141000.0,3979000.0,7000.0,35802000.0,12464000.0,25436000.0,,,18003000.0,101510000.0,848000.0,34523000.0,,5080000.0,89000.0,134760000.0,,,,4578000.0,1397000.0,-11811000.0,8602000.0,907000.0,0.0,0.0,-1959000.0,7100.0,6637612000.0,4000.0,1780.0,-5120.0,,17410.0,410.0,710.0,10030.0,1110.0,6400.0,11770.0,680.0,10600.0,6430.0,500.0,1990.0,1170.0,2560.0,670.0,550.0,2800.0,860.0,46165000000.0,3800.0,30985000000.0,2550.0,310.0,660.0,220.0,780.0,860.0,300.0,500.0,-30.0,620.0,11770.0,31000.0,66000.0,-23350.0,-16000.0,7010.0,1500.0,1240.0,17000.0,-48000.0,22.202917748917752
EMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENA,1914071000.0,,,,103580000.0,16068000.0,11804000.0,226553000.0,31917000.0,13053000.0,-5078000.0,112260000.0,,112260000.0,,84351000.0,88171000.0,8326849000.0,43090000.0,8118364000.0,168000.0,255625000.0,,4309962000.0,375665000.0,1171046000.0,527024000.0,1095495000.0,131349000.0,13587000.0,17759971000.0,12014365000.0,588018000.0,,3584174000.0,835717000.0,8908565000.0,23194000.0,7617455000.0,6000.0,1202342000.0,1517475000.0,647256000.0,52605000.0,594437000.0,1779000.0,360093000.0,16110000.0,12126622000.0,28389420000.0,326596000.0,179112000.0,-317015000.0,338094000.0,-18742000.0,1940235000.0,0.0,537498000.0,8070.0,441442578000.0,21180.0,380.0,2250.0,3590.0,16200.0,500.0,1160.0,6940.0,1150.0,7050.0,6390.0,390.0,5580.0,2420.0,230.0,310.0,150.0,5760.0,1280.0,880.0,740.0,830.0,246260000000.0,210.0,-742067000000.0,-640.0,1120.0,1280.0,620.0,2450.0,2650.0,1800.0,650.0,200.0,-3630.0,7540.0,48000.0,70000.0,,,1830.0,870.0,590.0,,,19.7229126984127
ENE,30441000.0,27441000.0,1218000.0,1857000.0,-75000.0,738000.0,357000.0,306000.0,90000.0,819000.0,,1815000.0,,1815000.0,,1317000.0,1317000.0,58855000.0,1830000.0,51986000.0,1510000.0,4541000.0,1639000.0,16195000.0,1005000.0,12939000.0,213000.0,587000.0,2243000.0,,170076000.0,111122000.0,23567000.0,,70086000.0,-5000.0,32056000.0,,,,615000.0,31505000.0,34155000.0,,,,407000.0,3000.0,120406000.0,,2853000.0,2050000.0,-9618000.0,9738000.0,6744000.0,2284000.0,,-286000.0,8850.0,16466900000.0,1010.0,8750.0,-2560.0,,7340.0,1210.0,10.0,1214430.0,170.0,50810.0,8840.0,1200.0,50750.0,13060.0,760.0,3120.0,1090.0,2980.0,590.0,510.0,5280.0,1500.0,51879000000.0,4650.0,-172000000.0,-20.0,280.0,590.0,10.0,270.0,290.0,10.0,240.0,-350.0,-240.0,14770.0,25000.0,102000.0,134790.0,3000.0,12270.0,2050.0,1760.0,28000.0,-74000.0,
ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENI,29315000.0,35012000.0,643000.0,3870000.0,-10210000.0,1080000.0,1087000.0,-10217000.0,211000.0,850000.0,0.0,-6824000.0,,-6824000.0,,-6690000.0,-6529000.0,95901000.0,625000.0,94903000.0,1070000.0,1803000.0,5504000.0,12481000.0,78607000.0,112000.0,46893000.0,,14667000.0,357970000.0,127520000.0,1800000.0,,122810000.0,13155000.0,16523000.0,7814000.0,,,13943000.0,149030000.0,55231000.0,31608000.0,,,3367000.0,11777000.0,125298000.0,,,-1527000.0,2117000.0,-8207000.0,8440000.0,-570000.0,64800000.0,0.0,34699000.0,910.0,18000000000.0,6620.0,140.0,2130.0,430.0,11410.0,80.0,120.0,7740.0,490.0,1870.0,-550.0,-50.0,-1140.0,-610.0,310.0,460.0,100.0,6950.0,1690.0,730.0,590.0,820.0,21141000000.0,1300.0,-26344000000.0,-1620.0,1390.0,1520.0,750.0,1690.0,2160.0,780.0,1240.0,280.0,290.0,2800.0,130000.0,97000.0,35340.0,10000.0,1770.0,2550.0,1050.0,140000.0,43000.0,8.380813852813853
ENP,14435000.0,11639000.0,,1406000.0,1390000.0,130000.0,416000.0,1104000.0,24000.0,203000.0,0.0,559000.0,,559000.0,,434000.0,434000.0,5725000.0,8000.0,4670000.0,12000.0,,654000.0,15726000.0,2931000.0,5180000.0,,196000.0,4056000.0,,26746000.0,13690000.0,4040000.0,,8820000.0,,669000.0,144000.0,14000.0,,,362000.0,5346000.0,3475000.0,26000.0,,,1055000.0,1419000.0,24646000.0,411000.0,216000.0,-139000.0,140000.0,-182000.0,200000.0,,-2411000.0,1070.0,20200916000.0,480.0,2220.0,200.0,5360.0,2770.0,390.0,120.0,9000.0,170.0,6290.0,1050.0,380.0,6190.0,5000.0,590.0,1460.0,90.0,5410.0,2009.0,440.0,780.0,1330.0,13881000000.0,3270.0,-375000000.0,-90.0,1700.0,1860.0,30.0,1240.0,1370.0,30.0,1010.0,210.0,110.0,4550.0,80000.0,86000.0,59920.0,6000.0,3310.0,9430.0,2450.0,86000.0,0.0,1.573362914862915
ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERB,286972000.0,258145000.0,747000.0,11815000.0,20693000.0,-155000.0,911000.0,19627000.0,1096000.0,1749000.0,180000.0,6411000.0,,6411000.0,,7940000.0,7668000.0,116845000.0,22169000.0,47681000.0,1552000.0,8922000.0,129717000.0,140498000.0,304836000.0,792000.0,124590000.0,51261000.0,,942685000.0,200000.0,-46000.0,214807000.0,9983000.0,106075000.0,,92798000.0,,,13593000.0,57520000.0,19912000.0,110251000.0,,73195000.0,19834000.0,741519000.0,,,,87331000.0,2112000.0,-5596000.0,1066000.0,-16564000.0,128000.0,468000.0,-21347000.0,10600.0,12571030000.0,18740.0,570.0,11570.0,920.0,75940.0,140.0,3310.0,3200.0,4810.0,2200.0,-420.0,-10.0,-90.0,-80.0,610.0,1570.0,170.0,1080.0,3020.0,450.0,720.0,1820.0,194132000000.0,2840.0,-138547000000.0,-2029.0,2530.0,2970.0,520.0,1250.0,1570.0,530.0,620.0,310.0,220.0,4980.0,73000.0,102000.0,6440.0,57000.0,1970.0,10510.0,1660.0,130000.0,28000.0,49.1954256854257
ERG,10322000.0,,,,467000.0,47000.0,277000.0,237000.0,84000.0,71000.0,,762000.0,,762000.0,,987000.0,984000.0,26894000.0,1973000.0,28036000.0,312000.0,1434000.0,17662000.0,4293000.0,20102000.0,,660000.0,119000.0,40550000.0,27435000.0,17322000.0,-1036000.0,16178000.0,444000.0,9649000.0,,2182000.0,,2924000.0,13034000.0,13354000.0,5924000.0,,,427000.0,89000.0,63856000.0,,,,1540000.0,603000.0,50000.0,0.0,198000.0,0.0,,426000.0,46600.0,787400000.0,35390.0,1320.0,-4080.0,,56380.0,830.0,120.0,398840.0,1010.0,46270.0,55070.0,980.0,54680.0,12190.0,400.0,670.0,200.0,5010.0,1120.0,720.0,1210.0,1130.0,18241000000.0,5130.0,6667000000.0,1870.0,930.0,1120.0,20.0,800.0,1180.0,20.0,780.0,50.0,-850.0,3670.0,99000.0,119000.0,8080.0,45000.0,2470.0,1420.0,890.0,99000.0,-28000.0,1.4081363636363635
ESS,41237000.0,25713000.0,7402000.0,4896000.0,3226000.0,1311000.0,1077000.0,3460000.0,-1827000.0,-1863000.0,,3496000.0,,3496000.0,,2893000.0,2915000.0,85044000.0,761000.0,81149000.0,120000.0,1000.0,106298000.0,28735000.0,43190000.0,2058000.0,20524000.0,,,188718000.0,14145000.0,14145000.0,92450000.0,243000.0,9459000.0,,0.0,,,7333000.0,46742000.0,,608000.0,,3383000.0,16545000.0,0.0,,,,4172000.0,1531000.0,-656000.0,757000.0,72000.0,149000.0,0.0,2793000.0,2440.0,42863637000.0,3140.0,780.0,1460.0,1670.0,3520.0,690.0,210.0,11560.0,280.0,8860.0,1800.0,510.0,6550.0,4350.0,210.0,270.0,50.0,9650.0,2310.0,830.0,370.0,680.0,8022000000.0,450.0,-27331000000.0,-1540.0,1870.0,1970.0,970.0,1570.0,3420.0,970.0,1450.0,410.0,790.0,10740.0,34000.0,64000.0,3220.0,113000.0,1630.0,2100.0,920.0,147000.0,83000.0,4.88586507936508
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETL,35404000.0,25818000.0,4669000.0,1553000.0,3364000.0,199000.0,533000.0,3030000.0,8000.0,47000.0,,2352000.0,,2352000.0,,1868000.0,1815000.0,25751000.0,22045000.0,3835000.0,143000.0,66000.0,460000.0,49584000.0,18486000.0,33148000.0,7802000.0,396000.0,1143000.0,70643000.0,38360000.0,750000.0,,31645000.0,110000.0,2817000.0,4000.0,,,188000.0,38238000.0,22052000.0,257000.0,,,383000.0,37313000.0,98156000.0,,,6513000.0,153000.0,-3330000.0,3363000.0,-87000.0,18743000.0,0.0,-5376000.0,15750.0,3906250000.0,8460.0,1860.0,1620.0,9740.0,26950.0,580.0,1540.0,10210.0,1900.0,8280.0,14810.0,550.0,7790.0,7380.0,350.0,540.0,10.0,14720.0,1540.0,650.0,740.0,960.0,14272000000.0,1820.0,-3671000000.0,-470.0,1290.0,1300.0,210.0,840.0,1360.0,210.0,970.0,130.0,80.0,7880.0,46000.0,40000.0,34330.0,11000.0,5270.0,4770.0,2440.0,57000.0,17000.0,12.005478354978356
EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,1648349000.0,1463556000.0,88865000.0,36780000.0,59148000.0,12673000.0,12559000.0,59262000.0,2753000.0,15535000.0,,46480000.0,,46480000.0,15000.0,47753000.0,47756000.0,454452000.0,548234000.0,230376000.0,3093000.0,38016000.0,55710000.0,2837683000.0,1017822000.0,1626310000.0,3078000.0,126438000.0,45917000.0,27246000.0,6498175000.0,127742000.0,139163000.0,44032000.0,0.0,48263000.0,111539000.0,24918000.0,3817000.0,,33255000.0,933258000.0,1148408000.0,116964000.0,,,63273000.0,40684000.0,2289695000.0,,1871000.0,13017000.0,-9364000.0,11079000.0,-3370000.0,8449000.0,50672000.0,78750000.0,19880.0,134392736000.0,2730.0,7280.0,-680.0,,49840.0,400.0,760.0,26060.0,1080.0,18400.0,19150.0,380.0,17730.0,13230.0,740.0,2800.0,140.0,3790.0,950.0,300.0,1100.0,880.0,867989000000.0,4460.0,-97690000000.0,-500.0,800.0,910.0,160.0,560.0,960.0,160.0,420.0,-30.0,-10.0,18840.0,19000.0,47000.0,19710.0,19000.0,8490.0,15160.0,5440.0,38000.0,-9000.0,14.888779942279944
EVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FER,60641000.0,58075000.0,1734000.0,3151000.0,-2319000.0,1055000.0,-3180000.0,1916000.0,-180000.0,794000.0,,-2856000.0,,-2856000.0,,-3852000.0,-3852000.0,173649000.0,7903000.0,168802000.0,2741000.0,3129000.0,122451000.0,81852000.0,89803000.0,76000.0,6339000.0,,220889000.0,108340000.0,75839000.0,-1696000.0,92082000.0,,25697000.0,10261000.0,63249000.0,,,67369000.0,37919000.0,39231000.0,,,8048000.0,,362817000.0,,,,-318000.0,3212000.0,-168000.0,2208000.0,-3060000.0,5094000.0,,-636000.0,5200.0,24543252000.0,6780.0,770.0,-260.0,24700.0,12050.0,430.0,360.0,14430.0,570.0,9140.0,7480.0,620.0,13140.0,6930.0,450.0,820.0,280.0,3590.0,1230.0,700.0,1050.0,1010.0,135455000000.0,5120.0,55970000000.0,2110.0,960.0,1230.0,10.0,790.0,1450.0,20.0,780.0,130.0,160.0,4270.0,85000.0,160000.0,3830.0,95000.0,2130.0,1590.0,910.0,180000.0,20000.0,10.272417748917748
FFI,3407000.0,-650000.0,,1770000.0,2506000.0,261000.0,16000.0,2751000.0,141000.0,980000.0,,1912000.0,,1912000.0,,1522000.0,1522000.0,9461000.0,24000.0,1260000.0,,37388000.0,707000.0,217373000.0,4000.0,131898000.0,64000.0,46597000.0,,245946000.0,38452000.0,1000000.0,,51329000.0,,112054000.0,,16241000.0,,20759000.0,45719000.0,1479000.0,24373000.0,,,23722000.0,20593000.0,302495000.0,,,9279000.0,83000.0,-4423000.0,27000.0,-5054000.0,,,-198000.0,70.0,25000000000.0,0.0,190.0,0.0,190.0,690.0,100.0,180.0,400.0,360.0,190.0,70.0,100.0,190.0,190.0,860.0,5910.0,2600.0,10.0,188410.0,520.0,860.0,29360.0,52215000000.0,10750.0,-3121000000.0,-640.0,34180.0,122990.0,100.0,1500.0,2080.0,100.0,1250.0,520.0,28740.0,330.0,1113000.0,831000.0,,,190.0,20570.0,190.0,,,0.5205411255411256
FMF,154576000.0,126873000.0,1826000.0,20310000.0,5567000.0,13861000.0,23794000.0,-4366000.0,38612000.0,34202000.0,304000.0,70367000.0,,70367000.0,14000.0,48688000.0,48185000.0,622721000.0,185979000.0,391998000.0,50234000.0,16366000.0,613174000.0,155871000.0,217661000.0,6849000.0,607318000.0,3000000.0,1277677000.0,1027146000.0,4815000.0,-3000.0,826629000.0,259586000.0,586333000.0,89105000.0,,,106000.0,679159000.0,16969000.0,67675000.0,,81446000.0,19091000.0,0.0,,,,,-112497000.0,7194000.0,59560000.0,12863000.0,-48234000.0,9000000.0,1000.0,46936000.0,5640.0,481500000000.0,1460.0,3860.0,440.0,12680.0,1430.0,3940.0,120.0,46800.0,210.0,26490.0,5780.0,4040.0,27130.0,20660.0,310.0,470.0,240.0,2070.0,1710.0,830.0,610.0,840.0,161251000000.0,1200.0,65230000000.0,480.0,1380.0,1710.0,390.0,2560.0,3400.0,1050.0,1490.0,360.0,870.0,2610.0,140000.0,142000.0,2880.0,127000.0,1130.0,1320.0,610.0,267000.0,125000.0,2.04954329004329
FMG,41156000.0,80293000.0,,,1159000.0,238000.0,236000.0,1418000.0,-1135000.0,699000.0,16453000.0,299000.0,,299000.0,-543000.0,-542000.0,-403000.0,22867000.0,14858000.0,9246000.0,,0.0,33000.0,74094000.0,1384000.0,14278000.0,913000.0,36000.0,,64589000.0,35562000.0,29400000.0,,7516000.0,-137000.0,5434000.0,,10263000.0,,,818000.0,8643000.0,154000.0,98000.0,,,,59500000.0,,,6998000.0,2822000.0,-2096000.0,7000000.0,5169000.0,4617000.0,,1263000.0,150.0,29400000000.0,1050.0,140.0,270.0,560.0,3950.0,40.0,30.0,5630.0,100.0,1440.0,-210.0,-50.0,-1990.0,-1150.0,610.0,1560.0,0.0,103490.0,1350.0,390.0,860.0,1160.0,34045000000.0,6390.0,-10516000000.0,-1980.0,1340.0,1350.0,230.0,1150.0,1170.0,290.0,860.0,100.0,-3530.0,2830.0,129000.0,117000.0,93690.0,4000.0,2080.0,5080.0,1680.0,122000.0,64000.0,
FON,450000.0,483000.0,5000.0,322000.0,-425000.0,-4682000.0,894000.0,2696000.0,336000.0,293000.0,7783000.0,314000.0,,314000.0,103000.0,-1973000.0,-1973000.0,13862000.0,0.0,1839000.0,0.0,38523000.0,46000.0,0.0,882000.0,1000.0,1331000.0,100000.0,40612000.0,61195000.0,14843000.0,32116000.0,7472000.0,4083000.0,6136000.0,0.0,5326000.0,,,709000.0,4506000.0,0.0,,,2444000.0,,166875000.0,,,,-414000.0,40000.0,299000.0,122000.0,-15701000.0,67029000.0,,388000.0,150.0,29764370000.0,130.0,1190.0,-30.0,245310.0,20.0,6050.0,-50.0,,-50.0,116330.0,150.0,5990.0,-3020.0,-3370.0,240.0,320.0,10.0,83250.0,880.0,600.0,3090.0,2550.0,1105000000.0,-840.0,-46000000.0,40.0,820.0,820.0,70.0,320.0,320.0,70.0,250.0,-160.0,-1160.0,830.0,441000.0,911000.0,710.0,512000.0,540.0,160.0,120.0,953000.0,42000.0,0.607635642135642
FRO,30664000.0,,,,3702000.0,93000.0,2208000.0,1587000.0,-1435000.0,352000.0,,79000.0,,79000.0,,200000.0,200000.0,32013000.0,159662000.0,28257000.0,234000.0,,1300000.0,220374000.0,29029000.0,50000.0,4831000.0,,,320716000.0,194043000.0,21243000.0,,-30000.0,711000.0,,82108000.0,,,8844000.0,79208000.0,24518000.0,52077000.0,,,4185000.0,,364173000.0,,,-524000.0,221000.0,9704000.0,-161000.0,-10442000.0,379000.0,0.0,-29068000.0,13050.0,9479166000.0,4800.0,2720.0,1420.0,9200.0,15790.0,830.0,1130.0,11510.0,1580.0,8250.0,15560.0,990.0,9840.0,9290.0,560.0,1270.0,40.0,12320.0,1470.0,460.0,810.0,1150.0,52920000000.0,3330.0,23825000000.0,1500.0,1420.0,1470.0,70.0,600.0,1270.0,80.0,520.0,150.0,-16840.0,4780.0,76000.0,137000.0,,,2080.0,4850.0,1390.0,,,
FSG,37866000.0,18210000.0,-456000.0,12570000.0,7542000.0,1630000.0,3767000.0,5405000.0,1011000.0,1990000.0,273000.0,5958000.0,,5958000.0,,4899000.0,4598000.0,86114000.0,447000.0,74856000.0,147000.0,77000.0,2157000.0,163486000.0,58690000.0,74603000.0,1351000.0,991000.0,9581000.0,85559000.0,50635000.0,8731000.0,8731000.0,41279000.0,33340000.0,26812000.0,21902000.0,,,,4958000.0,124351000.0,105155000.0,55608000.0,,,3793000.0,84947000.0,311101000.0,,5204000.0,3606000.0,-1554000.0,1440000.0,-2248000.0,-9319000.0,0.0,284000.0,16350.0,3107249000.0,21470.0,760.0,3740.0,4380.0,50240.0,330.0,1430.0,11400.0,3160.0,5170.0,15190.0,300.0,4810.0,2460.0,430.0,1140.0,400.0,2700.0,1060.0,530.0,870.0,650.0,70224000000.0,3670.0,-3612000000.0,-190.0,750.0,1060.0,70.0,1180.0,1790.0,110.0,980.0,220.0,390.0,3500.0,104000.0,120000.0,3110.0,117000.0,1730.0,1800.0,880.0,221000.0,101000.0,17.520078947368418
FTE,140254000.0,91045000.0,26529000.0,6539000.0,16141000.0,2688000.0,7035000.0,11794000.0,6385000.0,898000.0,-1182000.0,25044000.0,,25044000.0,,23760000.0,23740000.0,222848000.0,16726000.0,273331000.0,,2201000.0,186344000.0,128027000.0,98010000.0,10946000.0,48961000.0,2901000.0,424738000.0,304769000.0,23751000.0,,288915000.0,3210000.0,634466000.0,68698000.0,16423000.0,,11423000.0,75056000.0,69420000.0,11643000.0,,1024000.0,4208000.0,429621000.0,1544723000.0,,,,16796000.0,3832000.0,-1476000.0,973000.0,7753000.0,31000.0,0.0,-24667000.0,38000.0,23751084000.0,12640.0,3010.0,2890.0,13140.0,21130.0,1800.0,1800.0,21130.0,1860.0,20460.0,39710.0,1880.0,21380.0,15720.0,320.0,480.0,230.0,3310.0,1600.0,820.0,680.0,890.0,100721000000.0,1680.0,40625000000.0,680.0,1310.0,1600.0,470.0,1630.0,2780.0,570.0,1050.0,310.0,470.0,6320.0,58000.0,59000.0,3770.0,97000.0,2680.0,2100.0,1170.0,155000.0,96000.0,13.896531746031746
GBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCN,35470000.0,31396000.0,294000.0,2991000.0,789000.0,2198000.0,1724000.0,1263000.0,-934000.0,-41000.0,,370000.0,,370000.0,,215000.0,215000.0,199267000.0,44000000.0,137520000.0,335000.0,1039000.0,75786000.0,36032000.0,88608000.0,2135000.0,2870000.0,0.0,283877000.0,187771000.0,11578000.0,,-13136000.0,19882000.0,15665000.0,17194000.0,,,8513000.0,161085000.0,30975000.0,11460000.0,,4977000.0,10589000.0,456599000.0,196421000.0,,,,6047000.0,1493000.0,-7665000.0,271000.0,327000.0,,,-5225000.0,3400.0,5500000000.0,33080.0,100.0,-4059.0,2060.0,31090.0,110.0,280.0,12200.0,2009.0,1690.0,12880.0,410.0,6420.0,4059.0,360.0,560.0,130.0,7520.0,1010.0,720.0,1280.0,1140.0,85826000000.0,4930.0,52124000000.0,2990.0,890.0,1010.0,210.0,780.0,1020.0,210.0,590.0,0.0,10.0,2980.0,122000.0,212000.0,7050.0,52000.0,1780.0,840.0,570.0,174000.0,-38000.0,12.947477633477632
