,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
CPCurrent_sq,,,,,-10.41,-1.16,-15.14,2.95,-1.04,-6.70,3.76,-4.17,-4.08,-5.01,-5.32,-0.52,0.96,1.19,7.89,2.65,-12.42,2.43,-2.09,-4.88,-2.48,-2.11,-3.79,0.76,-2.00,-8.21,-0.41
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,988.25,-37.28,,,-25.45,,-78.77,63.47,231.69,640.80,1166.69,143.33,62.86,29.80,-19.49,6.42,28.45,8.14,0.49,-32.12,-59.77,-51.92,-21.84,28.03,47.53,-29.48,-61.08,-74.42,-58.83,34.34
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-42.73,-25.58,-39.35,-17.85,340.90,51.00,35.46,40.46,-15.30,1.06,7.96,-12.88,11.95,21.99,-9.11,-19.05,-24.38,-27.70,8.62,31.61,23.87,-16.69,-48.08,-27.36,-18.58,34.08,69.43
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,59.44,,,34.14,,371.00,-38.83,-69.85,-86.50,-92.11,-58.90,-38.60,-22.96,24.21,-6.03,-22.15,-7.53,-0.48,47.33,148.57,108.00,27.94,-21.90,-32.22,41.81,156.96,290.95,142.93,-25.56
CZCurrent_sy,,,145.03,,,-50.60,,-23.61,-31.32,47.79,4.31,-8.40,0.69,-29.84,-17.92,-59.72,-50.87,-42.99,-48.70,29.69,164.38,39.99,14.11,0.04,-59.35,-17.32,6.48,-6.07,30.29,41.34,47.04
CZCurrent_qq,,,,,74.63,34.38,64.88,21.74,-77.32,-33.77,-26.18,-28.81,18.07,-1.05,-7.37,14.78,-10.68,-18.03,10.03,23.53,32.23,38.31,-7.93,-24.02,-19.27,20.03,92.62,37.68,22.82,-25.41,-40.98
CZCurrent_sq,,,,,-13.98,-40.66,26.73,18.09,-22.66,27.68,-10.55,3.70,-14.99,-11.03,4.64,-49.10,3.68,3.24,-5.83,28.66,111.34,-45.33,-23.24,12.80,-14.12,11.19,-1.14,-0.50,19.12,20.62,2.85
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,51.40,-42.11,,,-100.00,,-100.00,114.68,,,,128.52,64.05,6.90,-38.50,-5.02,-10.89,12.02,35.99,37.19,38.56,-12.96,-18.30,-40.51,-62.86,-73.43,-87.40,-109.42,-14.15,131.42
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,-100.00,,,,42.51,46.74,49.15,-26.73,2.30,-4.38,-14.19,13.15,-4.02,20.20,4.17,14.15,-3.06,-24.49,-2.22,-16.89,-39.47,-45.98,-53.62,-162.15,651.36,45.62
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
