,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_qq,,,,13.89,-36.59,-8.33,-9.09,-8.46,11.76,0.75,14.93,4.55,18.63,37.70,-15.97,-13.12,-21.88,-12.67,6.11,2.88,10.49,-6.96,-2.04,-4.86,-11.68,9.92,9.77,10.27,5.59,-7.65,-1.91,-1.95,8.61
CPCurrent_sq,,,,-6.04,-4.78,-12.09,-17.14,-2.09,-24.46,34.45,32.17,-23.08,38.14,-27.95,14.53,-11.81,-1.33,19.93,-22.07,2.46,1.47,-4.45,26.95,-3.32,-0.39,0.42,-8.37,-2.03,0.07,-0.75,5.37,-6.56,-6.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-59.22,-866.75,,,,124.71,134.44,-175.66,-154.98,23.37,-44.68,-3333.04,-2665.43,-1641.33,-2124.80,-452.79,20.19,102.20,102.49,97.45,109.41,-207.54,-127.31,-6490.47,-4134.79,-10681.86,-41959.68,-22.92,5.16,46.75,52.58,15.07
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,-20.11,102.14,547.37,48.27,67.37,-104.71,-370.43,432.72,-24.94,-392.23,-278.95,-85.44,1.40,20.22,45.29,105.11,11.64,-181.64,302.16,-158.36,71.65,-19600.54,-23.76,-55.96,-10.61,42.43,4.51,12.44,1.48,-3.11
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,145.21,,,,,,,,,-18.96,80.69,,,,,,,,,,,,,,,,,,,,,
CZCurrent_sy,,188.49,,,,,,,,,0.06,-48.50,,,,,,,,,,,,,,,,,,,,,
CZCurrent_qq,,,,,,-84.55,-32.56,-40.26,,,,33.21,,,,,,,,-10.42,,,,,,,,,,,,,
CZCurrent_sq,,,,,,25.75,-7.26,61.57,,,,-16.84,,,,,,,,-3.39,,,,,,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-54.44,-312.15,,,,378.78,378.78,1032.38,683.71,21.88,56.27,-42.53,-39.31,-171.33,-155.59,-116.65,36.03,273.00,275.82,1104.30,83.74,-7.14,-5.99,-190.00,-230.84,-408.58,-447.70,-110.69,-27.86,60.57,66.72,32.41
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,56.34,-9.40,683.71,,46.01,-31.51,21.88,28.22,-46.30,-27.68,-243.25,0.08,83.92,690.88,82.17,1.55,-8.12,8.10,-7.93,2.80,-187.96,-57.16,-117.14,-15.83,46.70,4.62,33.04,2.24,-8.26
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,119.46,,,,,,,,,-17.98,-36.03,73.97,64.78,,,,-26.51,,,,-45.58,7.71,6.47,,,,,,,,,
CZOCurrent_sy,,159.27,,,,,,,,,-6.71,23.65,23.23,-12.04,,,,-25.73,,,,-20.66,-31.94,-21.63,,,,,,,,,
CZOCurrent_qq,,,,,,,,,-31.50,45.99,-17.98,-22.01,86.30,38.28,,,,,-45.09,-1.56,8.85,-7.51,8.68,-2.70,,,,,,,,,
CZOCurrent_sq,,,,,,,,,-2.03,23.22,-20.15,28.28,-2.36,-12.05,,,,,-0.21,-16.55,-1.89,-2.89,-14.40,-3.90,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,3677.71,-4.83,,,,106.74,,,,43.18,1144.20,1088.20,8224.80,44.97,679.10,711.19,-65.11,-7.24,-93.60,-94.08,197.06,3.65,1096.85,-84.49,-99.71,16.68,-100.72,-31.85,189.01,2.48,149.32,-17.90
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-95.69,,,4701.53,-97.92,,,6774.60,-81.90,-4.50,600.62,19.72,-2.74,-0.57,-69.87,218.33,-93.29,-7.98,1411.16,11.07,-22.50,-98.81,-71.91,44861.66,-100.48,212.42,19.12,15842.67,-99.77,87.15
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,5217.12,-35.32,,,,24.24,-51.63,-14.74,-6.29,69.72,1584.87,1610.53,16230.60,107.82,830.22,537.36,-82.62,-41.78,-95.23,-93.78,233.99,7.70,1040.56,-88.14,-99.74,17.99,-100.85,-4.67,242.42,8.72,146.51,-20.59
EVPCurrent_sy,,29.46,-5.96,,,,4.61,-16.96,-41.91,-17.97,0.23,-0.42,43.20,114.04,-8.52,31.38,24.38,-36.87,-10.53,-42.56,-4.65,74.30,-7.62,74.00,-7.78,-19.38,9.38,1.55,30.48,5.69,19.18,-0.35,-14.61
EVPCurrent_qq,,,,-95.10,-36.59,-8.33,4262.24,-98.09,11.76,0.75,7800.75,-81.06,13.47,861.89,0.54,-15.23,-22.26,-73.77,236.75,-93.05,1.35,1308.54,8.60,-26.43,-98.95,-69.16,49230.30,-100.53,218.60,10.78,15562.83,-99.77,102.50
EVPCurrent_sq,,,,-18.48,0.91,-32.55,88.54,-35.29,-29.41,-4.76,130.38,-35.71,1.51,42.36,-1.54,-7.67,-3.90,-27.75,39.56,-40.73,59.54,32.08,-26.04,11.65,-15.45,15.47,0.34,3.66,8.63,-6.47,13.15,-13.33,-6.91
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,8189.51,-144.86,,,,174.16,135.86,110.72,117.13,17.46,696.29,1967.25,13618.42,-303.24,-1501.42,-4971.80,-74.35,153.62,103.64,100.59,61.68,11.61,1172.99,-117.22,-100.22,-137.81,-99.79,67.66,-125.44,-159.88,-247.59,-21.64
EVEBITCurrent_sy,,181.34,-130.55,,,,254.65,-27.75,-48.70,-30.89,-4.16,60.31,227.46,180.71,4.77,21.89,-38.76,-31.50,20.34,-4.67,2.98,-9.84,-28.49,-11.86,-1.75,31.87,51.26,68.70,75.83,30.27,28.85,1.65,-16.22
