,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
ShareAmountCurrent,9000,9000,13170790000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,13620286000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,31836886000,47755329000,47755329000,47755329000,47755329000,47755329000,47755329000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50143095000,50333095000,50333095000,50333095000,50333095000,50333095000,50333095000,50333095000
WKCurrent,768111130,1000000000,5070,5180,5140,0,5470,5710,5220,0,4400,3920,3450,0,3970,1710,1650,0,1900,1920,1730,0,1620,1630,1580,2100,1420,1380,1410,1420,1450,1440,1560,1560,1480,1470,1520,1520,1510,1500,1570,1510,1620,1580,1670,1600,1250,1020,230
CWKCurrent,0,0,110,110,110,,100,100,110,,130,140,160,,140,320,330,,290,290,320,,340,340,350,260,390,400,390,390,380,380,350,350,370,370,360,360,360,370,350,360,340,350,330,340,440,540,2420
WKGrahamCurrent,-454555560,-320555560,350,470,30,0,-50,130,-450,0,-1620,-1960,-2300,0,-1600,-630,-710,0,-430,-400,-550,0,-720,-700,-730,-280,-160,-190,-160,-160,-220,-300,-100,-100,-220,-320,-310,-340,-410,-420,-380,-460,-280,-330,-260,-550,-390,-530,-850
CWKGrahamCurrent,,,1580,1160,15940,,,4390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,1000000000,1000000000,8910,9660,10680,11920,12800,13490,13920,14090,14140,13360,13770,13030,13030,5590,5520,5750,5700,5690,5680,5620,5850,6020,6250,6500,4380,4430,4420,4470,4580,4760,4840,5030,5270,5390,5500,5460,5440,5350,5370,5340,3400,3020,2670,3820,3670,3530,3490
CPCurrent,0,0,60,60,50,50,40,40,40,40,40,40,40,40,40,100,100,100,100,100,100,100,90,90,90,80,130,120,120,120,120,120,110,110,100,100,100,100,100,100,100,100,160,180,210,140,150,160,160
ZCurrent,-1777780,244000000,700,700,680,680,530,670,490,500,-620,-1500,-1220,-1650,-1850,-570,-580,-330,190,170,-20,-280,-270,-260,-20,150,90,60,40,30,40,80,90,90,-20,-40,-30,-40,70,80,100,40,120,80,90,100,-380,-560,-1430
CZCurrent,,0,790,780,800,810,1050,830,1110,1090,,,,,,,,,2900,3150,,,,,,3660,6210,9320,12860,18680,12970,7290,6350,6430,,,,,7500,6890,5400,14570,4720,6480,5870,5750,,,
