,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000,5978260000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,41.70,,,103.61,,41.77,41.42,34.49,26.01,21.51,30.34,30.99,29.50,27.35,25.21,41.32,46.12,51.79,49.11,39.57,38.18,37.93,38.33,34.50,24.29,11.27,1.65,-13.13,-14.66,-17.73
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,4.21,5.63,14.77,12.23,3.94,0.45,7.54,8.21,11.50,0.95,6.31,6.41,9.63,13.95,9.92,10.54,7.69,6.66,8.83,10.34,8.00,3.70,0.58,-1.21,-1.34,-11.38,-1.19,-4.77
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
