,2004/Q4,2005/Q4,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440
ShareAmountCurrent,36363637000,36363637000,36363637000,36363637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000,42863637000
WKCurrent,1110,1280,0,1730,2360,0,0,2590,2650,2730,0,2930,3000,2980,0,3140,3140,3120,0,3300,3320,3230,0,3470,3460,3370,3380,3470,3470,3450,3500,3530,3520,3480,3580,3620,3610,3330,3430,3470,3460,3210,3250,3290,3310,3390,3410,3450,3460,3190
CWKCurrent,2200,1910,,1410,1030,,,940,920,890,,830,810,820,,780,780,780,,740,730,760,,700,710,720,720,700,700,710,700,690,690,700,680,670,680,730,710,700,710,760,750,740,740,720,720,710,700,760
WKGrahamCurrent,410,350,0,750,1530,0,0,1290,1240,1230,0,1270,1340,1310,0,1460,1490,1420,0,1300,1340,1180,0,1420,1410,1320,1350,1430,1450,1450,1520,1560,1540,1520,1650,1710,1730,1490,1620,1690,1700,1510,1560,1590,1570,1680,1720,1730,1850,1600
CWKGrahamCurrent,5890,6980,,3230,1600,,,1900,1960,1980,,1920,1830,1860,,1670,1640,1720,,1880,1810,2070,,1720,1730,1850,1810,1710,1690,1680,1610,1570,1580,1610,1480,1430,1410,1630,1500,1450,1430,1620,1560,1540,1560,1450,1420,1410,1320,1530
PCurrent,2930,3480,3650,3890,3560,3730,3900,3900,3930,4080,4200,4090,4010,3780,3690,3520,3420,3550,3620,3790,3880,3830,3930,3960,3970,4010,3870,3950,3940,3910,3870,3880,3880,3960,4070,3940,4030,4130,4210,4300,4370,4320,4190,4250,4260,4460,4440,4430,4440,4410
CPCurrent,830,700,670,630,690,650,630,630,620,600,580,600,610,650,660,690,710,690,670,640,630,640,620,620,610,610,630,620,620,620,630,630,630,620,600,620,610,590,580,570,560,570,580,570,570,550,550,550,550,550
ZCurrent,80,170,180,230,230,230,270,290,290,330,350,330,350,250,230,210,140,240,240,260,280,210,300,270,230,230,60,100,110,130,170,100,110,80,140,150,140,200,200,200,200,140,70,80,100,180,150,160,160,160
CZCurrent,31520,14730,13840,10570,10800,10730,9180,8430,8390,7420,7070,7370,7050,9620,10490,11560,17310,10180,10320,9510,8700,11830,8070,8940,10650,10390,37830,24450,21780,18940,14560,23590,23100,30730,17760,16800,17820,12030,12110,12320,12280,18000,35490,31790,23440,13940,15870,14890,15720,15340
ZOCurrent,110,200,220,320,310,320,360,370,360,410,440,420,430,320,310,280,210,280,270,310,330,270,370,340,290,290,100,130,130,140,190,110,120,90,140,160,150,210,220,230,220,160,90,80,120,200,170,180,170,170
CZOCurrent,22030,12450,11250,7680,7790,7660,6770,6510,6720,5900,5580,5810,5690,7520,7960,8860,11860,8660,8950,7980,7390,8990,6670,7260,8430,8480,24020,18690,18090,16910,13170,21540,20710,26320,16990,15360,16670,11350,11110,10570,10990,15210,27120,29600,19800,12200,14570,13640,14410,14130
EVCurrent,2630,2710,2440,2670,2540,2440,2440,2009,2090,2200,2440,2160,2029,1990,2440,1800,1790,1750,2440,2200,2080,2150,2440,2110,2029,2009,2120,2100,2050,2050,2050,1940,1840,1940,1960,1920,1810,1750,2120,1970,1830,1840,2060,2040,1980,2090,1950,1940,1810,1970
EVPCurrent,900,780,670,680,710,650,630,510,530,540,580,530,510,530,660,510,520,490,670,580,540,560,620,530,510,500,550,530,520,520,530,500,470,490,480,490,450,420,500,460,420,430,490,480,470,470,440,440,410,450
EVEBITCurrent,23750,13830,11250,8390,8119,7660,6770,5360,5760,5320,5580,5150,4740,6140,7960,6550,8690,6220,8950,7190,6300,7930,6670,6260,7030,7000,20880,16070,15200,14200,11070,17100,15620,20910,13660,12070,12340,8140,9650,8520,8230,11460,22950,24790,16110,10470,11640,10860,10690,11420
EVEBITDACurrent,15200,9430,7440,6340,6290,5950,5360,4240,4510,4240,4450,4030,3680,4380,5520,4350,5140,4120,5860,4870,4350,5020,4580,4120,4320,4280,7520,6760,6480,6250,5540,6440,6010,6830,5790,5350,5170,4170,4980,4510,4300,5080,7180,7310,6170,5230,5210,4980,4680,5010
DTAR,470,520,,430,290,,,300,260,260,,230,210,200,,210,170,230,,210,180,220,,200,180,210,210,220,180,190,190,200,190,200,210,170,190,270,200,210,200,250,200,220,210,210,200,220,210,280
CG,880,1110,,760,400,,,440,360,360,,310,260,240,,270,210,300,,260,220,290,,250,220,270,270,280,210,230,230,240,230,250,260,210,230,370,260,260,250,340,250,280,270,270,240,270,270,400
LDER,270,320,,130,80,,,70,60,60,,60,50,50,,50,50,60,,60,60,60,,60,60,70,70,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50
PZAT,2180,2060,,3940,4090,,,7170,7910,8670,,9800,9960,10030,,9650,9340,9460,,10630,10300,10520,,10260,10070,9080,8870,9150,9000,8810,8720,8700,8800,8680,8550,8730,8650,8500,8109,8520,8400,8260,7910,8300,8620,8780,8660,8740,8870,8660
PELDR,2810,2670,,2800,3750,,,2700,2430,2340,,2210,2200,2160,,2310,2230,2320,,2040,2009,1990,,2070,2009,2050,2070,2130,2029,2080,2140,2170,2150,2170,2280,2240,2320,2430,2320,2370,2400,2460,2350,2390,2340,2460,2450,2610,2650,2720
TSF,670,620,,640,770,,,740,780,780,,810,840,850,,830,870,810,,830,860,820,,840,870,840,840,830,880,860,860,850,860,850,840,870,860,770,840,840,840,790,850,830,840,830,850,830,830,760
ZKO,700,800,,640,380,,,470,430,440,,410,370,360,,370,310,400,,400,350,440,,380,350,410,400,400,340,350,350,360,350,370,360,310,330,450,350,350,340,420,350,360,360,350,320,350,340,440
OSF,1120,1100,,1130,1090,,,930,810,810,,730,670,640,,680,580,730,,660,590,690,,640,580,670,670,680,580,610,620,630,620,650,670,580,620,820,670,680,670,790,670,700,680,700,660,740,720,880
NetDebt,32681000000,47519000000,,46177000000,38130000000,,,25583000000,20219000000,26114000000,,22811000000,12561000000,10970000000,,8022000000,-551000000,10624000000,,26635000000,15674000000,27113000000,,22614000000,14331000000,20653000000,24543000000,26529000000,14964000000,17052000000,18556000000,15261000000,9745000000,16106000000,19836000000,10012000000,8608000000,23668000000,23829000000,17934000000,10732000000,20416000000,18669000000,20355000000,16843000000,23337000000,13099000000,18180000000,12141000000,32624000000
NetDebtEBITDA,5190,4550,,3020,2200,,,1260,1020,1170,,990,530,560,,450,-40,580,,1380,760,1480,,1030,710,1020,2029,1990,1100,1210,1170,1180,740,1320,1370,650,570,1320,1310,960,590,1320,1520,1700,1220,1360,820,1090,730,1940
DebtFin,6944000000,9838000000,,8209000000,4427000000,,,-18514000000,-14996000000,-10222000000,,-11957000000,-17487000000,-19188000000,,-27331000000,-27979000000,-29389000000,,-10287000000,-15370000000,-12332000000,,-14335000000,-17370000000,-18263000000,-13636000000,-14638000000,-16707000000,-16762000000,-16611000000,-21559000000,-25685000000,-21513000000,-20524000000,-22430000000,-27181000000,-29625000000,-13733000000,-20287000000,-26240000000,-25795000000,-16101000000,-17021000000,-19516000000,-14862000000,-21018000000,-21343000000,-27047000000,-20066000000
DebtFinEBITDA,1100,940,,540,260,,,-910,-760,-460,,-520,-740,-980,,-1540,-1880,-1610,,-530,-750,-670,,-650,-860,-910,-1130,-1100,-1230,-1190,-1050,-1670,-1960,-1770,-1410,-1460,-1810,-1650,-750,-1090,-1440,-1660,-1310,-1420,-1420,-870,-1310,-1280,-1630,-1190
SP1,1590,1370,,1780,2840,,,1980,1880,1820,,1770,1800,1780,,1870,1890,1830,,1640,1680,1570,,1690,1680,1640,1660,1690,1710,1720,1760,1780,1770,1770,1850,1890,1920,1810,1890,1940,1970,1880,1920,1930,1900,1990,2020,2100,2140,2000
SP2,2020,1800,,2009,3060,,,2110,2000,1930,,1870,1900,1880,,1970,2000,1930,,1740,1770,1660,,1780,1780,1750,1770,1800,1820,1830,1870,1900,1880,1880,1960,2000,2029,1920,2009,2060,2080,2000,2040,2050,2009,2100,2140,2210,2250,2110
CAR,110,100,,40,80,,,560,610,450,,430,710,830,,970,1380,900,,360,680,400,,510,750,620,500,460,750,690,650,790,990,760,660,960,1010,670,490,690,920,690,630,610,710,510,810,680,860,460
QR,670,420,,610,1720,,,1070,1150,1080,,1320,1480,1610,,1570,2220,1370,,1160,1500,860,,1360,1640,1150,1170,1220,1680,1500,1550,1890,1760,1460,1400,2180,1840,800,1490,1660,1640,980,1520,1530,1380,1450,1680,1480,1410,640
CR,2040,1750,,1900,3240,,,2520,2810,2720,,2960,3410,3610,,3420,4420,3080,,3160,3770,2840,,3390,3920,3230,3270,3220,4200,3940,3900,3780,3890,3630,3580,4520,4100,2640,3750,3710,3840,2920,3830,3510,3560,3540,3980,3490,3630,2630
PP,110,110,,40,80,,,560,610,450,,500,790,830,,970,1380,900,,360,680,400,,510,750,620,500,460,750,690,650,790,990,760,660,960,1010,670,490,690,920,690,630,610,710,510,810,680,860,460
RCLR,0,0,,0,0,,,1310,0,0,,1590,10,0,,1450,1630,1350,,1700,1690,1360,,1730,1750,1440,1560,1670,1760,1690,1780,1950,1650,1560,1580,2060,1690,1040,1840,1790,1530,1180,1730,1750,1500,1780,1700,1640,1400,1070
KP,340,280,,320,520,,,390,390,380,,380,400,400,,410,440,390,,360,380,330,,370,380,360,370,370,400,390,400,400,400,400,410,440,440,370,430,430,440,400,430,420,420,430,450,430,460,400
PKKO,340,340,,400,770,,,620,590,570,,610,660,680,,790,810,770,,660,670,600,,710,700,670,690,690,700,700,750,770,770,750,790,840,820,710,750,760,760,680,720,720,710,720,740,750,800,720
RN,886860,2109300,2329530,2775450,3588640,3757980,3934450,6210,6250,9710,9990,10480,10240,9640,9420,10740,5790,3800,3880,3800,3720,3700,3800,3810,3790,3850,3680,3690,3730,3720,3700,3700,3620,3640,3690,3670,3700,3760,3750,3730,3810,3790,3810,3870,3870,3820,3800,3770,3750,3840
CRN,0,0,0,0,0,0,0,59000,58000,38000,37000,35000,36000,38000,39000,34000,63000,96000,94000,96000,98000,99000,96000,96000,96000,95000,99000,99000,98000,98000,99000,99000,101000,100000,99000,100000,99000,97000,97000,98000,96000,96000,96000,94000,94000,95000,96000,97000,97000,95000
CPZ,85000,106000,88000,86000,87000,83000,79000,81000,81000,76000,74000,69000,66000,62000,63000,64000,61000,66000,65000,62000,63000,63000,61000,61000,60000,58000,61000,62000,61000,59000,57000,55000,57000,58000,59000,59000,58000,65000,62000,64000,64000,62000,63000,62000,62000,56000,57000,58000,60000,68000
RZ,5730,4290,4040,4030,4110,4250,4460,4050,3740,3730,3800,3600,3450,3420,3380,3220,3230,3340,3410,3440,3380,3120,3180,3140,3160,3160,3080,3190,3080,3010,2880,3010,3110,3170,3140,2910,2900,2870,2940,2950,2940,2950,2910,2970,2960,3120,3090,2990,2870,2620
CRZ,64000,85000,90000,91000,89000,86000,82000,90000,98000,98000,96000,101000,106000,107000,108000,113000,113000,109000,107000,106000,108000,117000,115000,116000,116000,116000,118000,114000,119000,121000,127000,121000,117000,115000,116000,126000,126000,127000,124000,124000,124000,124000,126000,123000,123000,117000,118000,122000,127000,139000
RMO,2110,1970,2220,2170,1680,1760,1840,1590,1700,1790,1850,1870,1850,1790,1750,1630,1580,1560,1590,1700,1760,1810,1860,1830,1820,1800,1730,1750,1740,1720,1690,1690,1660,1660,1670,1610,1610,1600,1640,1650,1680,1680,1650,1690,1720,1800,1760,1720,1670,1620
RMT,4200,3730,3870,4030,4300,4500,4710,3650,2890,2900,2980,2690,2500,2270,2220,2100,2040,2110,2150,2110,2050,1900,1950,1950,1930,1950,1890,1930,1930,1930,1920,1940,1950,2000,2070,2020,2090,2180,2260,2350,2430,2440,2420,2480,2490,2610,2600,2610,2670,2700
RM,1400,1290,1410,1410,1210,1270,1320,1110,1070,1110,1140,1100,1060,1000,980,920,890,900,920,940,950,930,950,940,940,940,900,920,910,910,900,900,900,910,920,890,910,920,950,970,990,1000,980,1010,1020,1060,1050,1030,1020,1010
COP,,,,,,,,149000,156000,136000,133000,136000,142000,145000,147000,147000,176000,205000,201000,202000,206000,216000,211000,212000,212000,211000,217000,213000,217000,219000,226000,220000,218000,215000,215000,226000,225000,224000,221000,222000,220000,220000,222000,217000,217000,212000,214000,219000,224000,234000
