,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,10000000000,10000000000,10000000000,10000000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000,14210000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,19.95,10.93,86.34,,,,-12.67,26.51,23.14,22.33,11.04,9.31,9.65,10.28,2.04,2.45,-49.28,-84.79,-213.00,-218.58,-350.12
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,-28.02,2.98,1.32,16.29,4.27,0.24,0.66,5.55,2.64,0.55,1.23,-2.33,3.06,-50.22,-69.65,-825.65,-8.15,-4.99
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-16.60,-9.86,-46.30,,,,14.37,-20.86,-18.81,-18.29,-9.95,-8.55,-8.76,-9.36,-1.94,-2.39,97.20,557.69,,,
CWKCurrent_sy,,16.43,-2.47,2.97,,,,-8.12,-4.73,-3.77,-4.15,-10.66,-16.49,-6.35,-0.81,5.21,11.91,2.49,1.66,,,
CWKCurrent_qq,,,,,38.72,-2.88,-1.19,-14.09,-4.01,-0.36,-0.55,-5.32,-2.52,-0.60,-1.20,2.43,-2.96,100.81,229.51,,,
