,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_yy,,,,,-58.88,-44.94,88.24,,,,330.77,,,,-46.44,,173.34,-19.46,13.58,,35.70,124.51,444.31,,47.76,80.68,-56.23,,-22.70,-42.45,-1.36,2.55,,-17.87,8.99,107.33,,,54.84,-12.43,-94.17,,2305.36,-28.82,58.91,135.21,-24.36
CWKGrahamCurrent_sy,,,,,-68.77,-57.06,-65.84,,,,114.52,,,,-6.66,,-0.23,-8.43,16.02,,45.51,126.02,162.68,,99.35,22.18,4.08,,6.12,9.31,1.28,-32.51,,-31.69,-9.44,39.20,,,10.90,-8.25,-3.16,,-12.72,-14.39,-11.23,-18.91,-8.26
CWKGrahamCurrent_qq,,54.18,-69.01,,,106.48,5.93,,,,,,,163.23,-24.63,,,-22.43,6.29,,,28.33,157.68,,,56.92,-37.57,8.86,-27.52,16.83,7.00,13.18,,,42.01,115.29,1400.34,,,21.75,-0.08,-4.00,1959.42,-96.40,123.09,42.09,562.28
CWKGrahamCurrent_sq,,-64.89,25.01,,,-51.73,-0.56,,,,,,,5.00,-20.57,,,-3.62,0.64,,,49.71,16.97,,,-8.25,-0.36,14.82,1.09,-5.50,-7.67,-23.49,,,22.40,17.61,-14.63,,,-2.70,-9.89,7.31,-7.23,-4.55,-6.57,-1.97,4.95
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,,,,-2.32,-47.52,-33.13,170.19,36.51,183.99,56.44,-107.82,-100.00,-102.99,-109.42,47.29,,3929.03,2954.05,2619.85,556.03,9.06,-4.55,28.28,20.19,82.89,72.88,11.28,15.34,-1.84,-25.63,-47.83,-43.05,-45.96,-57.92,-29.51,-73.71,29.06,205.44,243.52,950.26,106.94,8.06,-22.57,-69.51,-75.42,-75.15
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,-19.34,-19.17,8.44,38.17,-56.67,3.01,338.11,-30.19,-9.86,-43.26,-121.90,100.00,,-79.03,-22.52,514.71,320.92,33.45,8.18,7.97,-30.03,16.80,45.37,1.16,6.48,10.41,-6.43,4.84,-9.38,-16.35,-34.36,14.46,-14.00,-34.87,9.96,-57.31,322.14,54.13,23.67,30.52,-16.82,-19.51,-11.39,-48.61,-32.94,-18.62
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
