,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q4,2017/Q4
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,2400000000,2400000000,2400000000,2400000000,2400000000,2640000000,2640000000,2640000000,2640000000,2640000000,2640000000,2640000000,2640000000,51531445000,52531445000,52531445000,52531445000,52531445000,27172579000,27172579000,27172579000,27172579000,27172579000,27172579000,27172579000,27172579000,7500000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,280.92,80.35,,,,-27.92,-27.10,-65.83,-75.27,-191.73,-119.11,-140.87,-88.98,106.10,121.32,115.66,-24.69,110.90,137.21,138.59,140.63,-19.85,-67.37,-60.73,-66.20,290.90
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,50.14,32.92,3.90,-65.24,51.86,-37.69,-24.82,-228.96,68.37,-33.27,120.27,-28.61,10.55,-2.10,-2.53,99.92,24.35,-1.53,-1.70,-33.41,-49.38,18.49,,
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-73.76,-44.56,,,,38.86,37.14,192.78,305.14,,,,807.02,,,,32.80,-52.59,-57.84,-58.09,-58.44,24.76,206.46,154.69,195.85,-74.42
