,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
QuoteCurrent,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
ShareAmountCurrent,302913000,418109000,418109000,418109000,418109000,418109000,418109000,418109000,4599195000,4599195000,4599195000,4945861000,4945861000,4945861000,4945861000,4945861000,4945861000,4945861000,4945861000,5440447000,5440447000,13581160000,13581160000,14519660000,14519660000,14519660000,14519660000,14519660000,14519660000,14519660000,15964760000,15964760000,15964760000,15964760000,15964760000,15964760000,15964760000,15964760000,15964760000,15964760000,15964760000,15964750000,15964750000,15964750000,15964750000,15964750000,15964750000,15964750000,15964750000,15964750000,15964750000
WKCurrent,6240,53230,54180,50410,0,56220,56590,65560,0,24060,24320,23770,0,22440,22910,23340,25150,22380,79370,69990,0,26310,26680,24560,0,25470,25590,25560,25560,25720,23420,23650,23950,23930,23980,24020,24000,8360,8440,8620,8270,6430,6280,6540,6600,280,-240,-1180,30,-810,1300
CWKCurrent,20,0,0,0,,0,0,0,,10,10,10,,10,10,10,10,10,0,0,,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,540,,,5720,,120
WKGrahamCurrent,-29400,29320,28470,23330,0,12210,11400,15740,0,3560,3180,-3160,0,-3500,-3410,-2750,6980,4920,2210,3380,0,-1020,-480,-920,0,-2660,-3230,-2920,-2980,-2840,-2280,-2020,-1560,-1630,-1420,-1110,-980,-3310,-2530,-2950,-2960,-3380,-3250,-2620,-2290,-3320,-3720,-3440,-1570,-2430,220
CWKGrahamCurrent,,10,10,10,,10,10,10,,40,50,,,,,,20,30,70,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670
PCurrent,43230,30740,29390,32530,32570,32530,32920,33290,3650,8090,17000,21360,28650,34960,31490,35860,34420,27340,26630,19470,18120,7470,7170,6050,5510,6010,6850,7560,8029,7750,6510,6500,6400,6580,6310,6200,5860,5850,6050,6040,5600,5050,4750,4360,4520,4150,3240,2100,1250,510,390
CPCurrent,0,0,10,0,0,0,0,0,40,20,10,10,10,0,0,0,0,10,10,10,10,20,20,20,30,30,20,20,20,20,20,20,20,20,20,20,30,30,20,20,30,30,30,30,30,40,50,70,120,290,380
ZCurrent,-3310,25870,27780,27570,36890,7990,7460,15150,1590,1260,1370,460,150,-850,-720,40,1640,400,960,1560,850,1490,1450,480,540,1350,1220,1560,1160,350,350,450,750,470,390,370,40,-14830,-14740,-14470,-14790,-1730,-1870,-2110,-1710,-6150,-6680,-7690,-6530,-1080,-570
CZCurrent,,10,10,10,0,20,20,10,90,120,110,330,970,,,4220,90,380,160,100,180,100,100,310,280,110,120,100,130,420,430,330,200,320,390,410,3780,,,,,,,,,,,,,,
