,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000,414067114000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,11.38,-1.98,,,,4.74,6.56,5.24,6.57,5.99,5.75,3.88,3.62,2.98,-0.62,-0.04,0.33,0.08,3.16,7.56,5.86,7.20,8.60,11.27
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,2.43,-1.15,0.92,2.49,4.21,-2.38,2.21,1.93,3.97,-4.11,1.95,1.31,0.33,-3.55,2.33,1.06,3.42,0.57,0.71,2.34,4.77,3.04
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-10.22,2.03,,,,-4.54,-6.15,-4.95,-6.16,-5.64,-5.44,-3.75,-3.50,-2.89,0.63,0.05,-0.32,-0.08,-3.06,-7.03,-5.54,-6.73,-7.91,-10.12
