,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sy,,23.17,-17.60,,,,-12.30,0.49,-8.81,-14.52,35.76,-2.25,9.22,9.08,1.39,15.18,-4.18,48.20,10.16,63.26,38.50,15.89,16.47,-18.61,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05,-1.28
CPCurrent_qq,,,,-50.70,153.63,-13.69,3.77,17.41,8.11,44.67,36.16,1.47,17.10,-8.80,12.40,1.03,3.60,5.92,-21.07,-4.60,-6.51,-5.73,-4.34,-0.29,-3.12,-0.61,-2.54,-2.50,19.09,0.65,2.97,-10.17,0.31
CPCurrent_sq,,,,-11.69,20.99,-3.68,-14.78,1.19,9.78,-9.71,35.35,-27.14,22.66,-9.82,25.80,-17.23,2.04,39.47,-6.49,22.67,-13.43,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,139.17,-23.26,,,,-449.68,-232.41,-4591.93,-11435.21,43.37,40.39,79.82,80.20,73.83,74.41,53.18,132.55,355.46,440.82,436.32,157.47,-55.65,-88.79,-61.46,-30.35,-108.32,-154.78,-107.98,-95.88,148.51,293.82,694.70
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,154.91,-103.76,141.52,-8878.16,3.48,-33.38,-0.30,56.15,-1.61,54.84,1.61,42.04,0.63,17.38,168.41,354.83,32.57,-18.46,-47.63,-21.65,-66.49,180.26,-5.35,-109.36,-120.72,59.17,148.82,10.27,781.90,25.27
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,30.31,,,,,,,,,,,,,,,,,,,-61.16,125.46,791.97,159.48,43.57,,,,2329.29,,,
CZCurrent_sy,,,56.34,,,,,,,,,,,,,,,,,,,-29.58,-21.32,-19.91,-13.73,-32.54,,,,1.29,,,
CZCurrent_qq,,,,-60.77,,,,,,,,,,,,,,,-78.01,-24.56,22.64,90.94,27.63,198.44,-64.32,5.65,,,,,-9.25,-88.67,-20.17
CZCurrent_sq,,,,-7.21,,,,,,,,,,,,,,,-22.31,8.37,-11.88,-5.09,-13.20,10.31,-5.08,-25.78,,,,,13.58,-25.36,-11.72
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,153.94,-111.02,,,,-1582.86,-6158.90,-2510.98,-3936.06,32.93,37.14,82.04,81.84,79.84,78.55,47.18,143.34,423.36,404.68,447.68,120.51,-44.95,-32.64,-42.04,1.45,-81.26,-93.18,-89.57,-69.69,90.05,695.29,452.15
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,72.89,-228.27,168.07,-2877.87,-0.83,-36.94,-0.01,51.43,5.50,60.87,-1.12,46.09,-0.57,3.65,182.97,302.19,-5.24,9.95,-47.38,0.40,15.95,-5.40,-7.88,-81.45,-57.79,44.64,167.70,16.29,76.62,0.42
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,,,,,,,-54.65,81.65,48.46,72.54,-1.43,433.59,1366.03,858.63,229.92,-47.37,-87.42,-81.88
CZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,-29.26,13.95,-24.28,-26.00,-25.94,-29.36,9.05,0.92,8.34,16.27,-22.38,-35.48
CZOCurrent_qq,,,,,,,,,,,,,,,,,,,-75.14,5.52,-9.04,90.03,-0.40,-13.76,5.71,8.56,439.15,136.95,-30.88,-62.64,-14.00,-43.38,-0.42
CZOCurrent_sq,,,,,,,,,,,,,,,,,,,-33.13,23.48,-1.76,-12.79,7.72,-17.95,-3.99,-12.72,2.76,26.65,-11.15,-6.31,10.28,-15.45,-26.14
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,5.27,-22.30,,,,11.76,9.53,-1.55,,3.63,5.86,17.21,45.21,5.52,6.77,6.53,2.31,15.89,2.84,5.74,9.76,9.71,21.11,22.50,15.75,-16.77,-37.82,-48.94,-46.72,-36.33,-21.70,29.65
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,1.66,1.00,-18.84,34.11,-0.37,-9.22,-17.56,38.98,1.78,0.52,2.13,0.99,2.99,0.29,-1.92,14.40,-8.61,3.11,1.81,14.35,0.89,4.30,-3.80,-17.78,-24.62,-14.35,0.37,-1.74,-7.31,41.83
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
