,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,5204080000,5204080000,5204080000,6354080000,6354080000,6354080000,6354080000,6354080000,6354080000,6354080000,6354080000,6354080000,6354080000,6354080000,6354080000,6354080000,7665436000,7665436000,7665436000,7665436000,7665436000,7665436000,7665436000,7665436000,7665436000,7665436000,7665436000,7665436000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,123.39,,,,-60.96,-59.34,-49.58,-41.06,21.26,18.99,15.88,14.47,-33.50,-17.58,-14.62,1.44,68.32,40.83,17.52,2.31,7.96,9.10,7.21,7.69,9.61,6.94,17.60
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,-1.28,-15.10,-8.76,-48.94,2.81,5.29,6.66,5.03,0.88,2.54,5.37,-38.98,25.03,6.22,25.18,1.25,4.61,-11.35,8.98,6.83,5.72,-12.89,9.47,8.73,3.14,-4.21
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
