,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_qq,,,,,-7.72,-5.23,-2.96,1.21,3.48,3.61,5.04,2.67,-3.69,-4.30,-5.82,-6.14,-0.88,-1.82,-0.87,-0.91,-1.78,-0.50,0.78,0.95,2.51,-1.69,-2.70,-6.19,-7.67,-5.58,-5.76
CPCurrent_sq,,,,,37.19,-31.53,-15.34,-7.52,77.51,-41.13,10.63,32.94,7.31,3.76,-0.35,8.88,3.72,-1.75,-6.76,-16.06,-1.17,-0.96,-12.66,7.71,-1.42,-7.67,-5.48,-4.89,-1.86,4.53,-6.32
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-7.59,-65.42,,315.97,,,100.00,32.20,10.17,-0.92,-7.54,-18.19,-17.78,-20.36,-27.55,-18.41,-14.06,10.73,67.30,115.44,95.47,49.19,-13.51,-46.01,-56.89,-57.55,-60.35,-66.67,2.87,47.28
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,47.49,19.82,5.01,7.78,-2.51,-0.15,-5.56,0.58,-13.74,0.35,-8.53,-8.51,-2.85,5.71,17.85,38.24,25.10,-4.09,-10.05,-19.87,-21.91,-23.42,-11.42,-25.16,-34.35,136.33,26.82
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,8.18,189.16,,-75.95,,,-49.99,-24.36,-9.24,0.96,8.14,22.24,21.63,25.54,38.04,22.54,16.38,-9.70,-40.22,-53.58,-48.86,-32.97,15.64,85.21,131.97,135.51,152.18,199.85,-2.78,-32.09
CZCurrent_sy,,7.35,108.18,,-59.58,,,-41.01,89.57,162.79,51.30,25.70,-32.20,-38.81,15.64,13.74,31.42,33.81,-9.71,-17.81,-23.77,-39.88,-22.72,-19.62,-26.47,-11.60,1.00,22.12,12.90,12.43,-12.03
CZCurrent_qq,,,,,-32.18,-16.55,-4.78,-7.20,2.58,0.13,5.92,-0.60,15.96,-0.38,9.33,9.29,2.94,-5.39,-15.17,-27.65,-20.07,4.25,11.18,24.81,28.02,30.57,12.88,33.65,52.23,-57.67,-21.15
CZCurrent_sq,,,,,-39.03,-24.44,3.90,23.24,95.93,4.74,-40.18,2.39,5.68,-5.47,13.06,0.71,22.10,-3.75,-23.71,-8.32,13.25,-24.09,-1.95,-4.64,3.60,-8.73,12.02,15.29,-4.22,-9.12,-12.35
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-28.71,-45.93,,297.83,,,55.42,-8.95,-24.24,-31.71,-24.57,2.99,1.01,1.48,-13.36,-19.38,-10.51,-2.50,17.61,49.96,42.62,39.77,28.19,-25.54,-47.17,-59.79,-52.56,-60.84,29.54,133.80
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,36.44,16.77,2.88,-5.18,-20.07,-2.85,-7.25,4.73,9.14,-4.72,-6.82,-10.59,1.55,5.77,1.52,7.86,29.48,0.59,-0.51,-1.07,-24.79,-28.64,-24.27,16.73,-37.93,136.08,36.69
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
