,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140,8140
ShareAmountCurrent,10711200000,10711200000,10711200000,10711200000,10711200000,10711200000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000,11256577000
WKCurrent,1530,2370,1980,1360,1490,1470,2000,2390,2290,2090,1960,1960,1500,1230,1210,1370,1100,460,400,700,580,230,480,1030,700,400,520,890,730,560,680,880,590,280,310
CWKCurrent,5320,3440,4120,6000,5470,5540,4059,3410,3550,3890,4150,4150,5440,6640,6700,5940,7410,17680,20130,11640,14090,36100,16790,7930,11570,20460,15700,9150,11170,14650,11910,9290,13720,28590,26620
WKGrahamCurrent,110,800,-220,-1170,370,-2690,-1780,-2000,1170,880,510,330,170,-250,-550,-680,-1930,-2630,-2660,-2190,-2150,-2450,-2120,-1420,-2040,-2280,-2210,-1810,-1770,-1880,-1730,-1520,-1970,-2690,-3130
CWKGrahamCurrent,74710,10180,,,22000,,,,6970,9300,15860,24840,49030,,,,,,,,,,,,,,,,,,,,,,
PCurrent,10800,15030,12200,13050,14510,15320,15170,15950,17100,17370,17060,16680,16170,16420,17670,18890,21790,24150,26910,30860,32270,34500,37300,39250,38370,36940,35040,33440,35340,36680,34880,34410,32450,32530,35430
CPCurrent,750,540,670,620,560,530,540,510,480,470,480,490,500,500,460,430,370,340,300,260,250,240,220,210,210,220,230,240,230,220,230,240,250,250,230
ZCurrent,210,940,-120,-620,250,400,320,340,350,340,-70,-320,-750,-830,-660,-580,-460,-810,-800,-590,-340,-40,230,410,240,270,150,-20,170,280,380,100,-140,-280,-420
CZCurrent,38160,8690,,,32830,20260,25270,24170,23250,23650,,,,,,,,,,,,,35860,20000,34140,30080,55070,,46940,29360,21600,77980,,,
ZOCurrent,370,1120,40,-640,280,280,250,260,340,160,340,10,-710,-790,-920,-390,-320,-520,-540,-140,250,520,840,990,760,760,640,350,280,220,270,10,-70,-140,-280
CZOCurrent,22150,7270,228240,,29240,29240,32650,30720,24020,50790,24020,1221710,,,,,,,,,33150,15740,9740,8250,10710,10770,12780,23080,28630,37720,30400,916290,,,
EVCurrent,8130,7700,8380,8550,8470,8140,8140,8140,8390,8430,8140,8340,8280,8950,8990,9250,10390,10700,10840,10490,10940,11110,11210,10610,11000,11020,10100,9720,10280,10970,10860,10350,10310,11370,11750
EVPCurrent,750,510,690,660,580,530,540,510,490,490,480,500,510,540,510,490,480,440,400,340,340,320,300,270,290,300,290,290,290,300,310,300,320,350,330
EVEBITCurrent,22130,6880,235080,-13270,30410,29240,32650,30720,24770,52630,24020,1251300,-11700,-11270,-9750,-23790,-32530,-20460,-19920,-74280,44550,21490,13420,10750,14470,14580,15850,27550,36160,50830,40580,1165530,-154490,-83360,-42540
EVEBITDACurrent,15560,6170,42500,-21610,15370,14770,16110,15530,13270,16260,15570,14690,-25180,-22810,-24620,675780,104310,-200750,-530410,24590,13120,9960,7740,6600,7700,7740,7780,9690,11340,13000,12020,16720,19320,26220,43800
DTAR,420,350,540,680,630,650,470,460,510,510,580,600,650,750,790,780,860,940,960,910,920,960,930,850,900,930,930,890,920,940,920,890,930,980,830
CG,740,550,1170,2130,1740,1830,890,840,1030,1060,1400,1510,1860,2890,3690,3400,6370,16149,21740,11730,13900,35210,18270,7260,10700,19690,15720,9190,12080,15490,11110,8200,13710,33550,30270
LDER,10,10,190,350,40,50,90,50,40,40,40,40,40,460,600,680,2280,5540,6920,3580,3920,10140,4070,1900,3330,1420,1180,670,3840,4820,3760,2970,4260,9660,8430
PZAT,73930,98670,5780,4600,14610,,,,10240,13110,,17210,17240,2070,2000,1890,800,790,720,770,790,740,840,790,610,2390,2340,2340,470,450,450,400,480,560,880
PELDR,1090,1520,1080,730,1390,,,,2150,1810,1400,1270,1200,1260,1150,1160,1180,980,1070,1090,1000,910,900,1130,1060,360,400,530,1400,1340,1350,1450,1220,1040,820
TSF,580,650,550,430,380,370,580,570,510,500,430,410,360,380,340,380,440,380,350,360,330,300,260,340,360,120,130,160,370,350,390,430,360,310,260
ZKO,910,620,1110,1680,880,,,,670,720,840,900,940,1070,1140,1170,1380,1550,1430,1360,1370,1450,1310,1230,1370,1410,1370,1280,1250,1280,1300,1270,1320,1390,1510
OSF,980,940,990,900,1140,,,,1360,1230,1140,1080,1070,910,810,810,500,230,190,320,280,120,230,470,330,200,250,400,360,300,370,460,310,140,130
NetDebt,8274000000,3442000000,17992000000,27682330000,19046810000,28804000000,20016000000,22457000000,17791000000,20425000000,28443000000,29089000000,27487000000,34947000000,44599000000,47690000000,71001000000,76574000000,89716000000,82688000000,82610000000,82072000000,92964000000,74850000000,77095000000,79970000000,80238000000,81062000000,89057000000,89840000000,75032000000,68263000000,79101000000,96006000000,94304000000
NetDebtEBITDA,1480,260,8510,-6530,3230,4880,3520,3810,2500,3500,4830,4550,-7430,-7920,-10850,309680,63340,-127620,-390070,17220,8800,6530,5700,4140,4790,4990,5490,7180,8720,9460,7380,9790,13170,19660,31230
DebtFin,-67000000,-4725000000,2611000000,4412530000,3487980000,,,,2842000000,3307000000,,2219000000,1524000000,9098000000,9544000000,12441000000,25303000000,28820000000,30366000000,26407000000,31496000000,33470000000,34521000000,27822000000,32228000000,32410000000,22052000000,17757000000,24132000000,31842000000,30668000000,24924000000,24393000000,36405000000,40639000000
DebtFinEBITDA,-10,-350,1240,-1040,590,,,,400,570,,350,-410,-2060,-2320,80790,22570,-48030,-132030,5500,3360,2660,2120,1540,2000,2020,1510,1570,2360,3350,3010,3580,4059,7460,13460
SP1,1080,1510,890,540,1310,,,,2040,1720,1350,1200,1130,850,710,690,360,150,130,230,200,80,170,380,240,140,180,320,290,230,280,370,230,100,90
SP2,1090,1520,1060,730,1370,,,,2120,1790,1400,1240,1180,1240,1130,1150,1180,980,1050,1070,990,900,890,1110,1050,340,390,530,1390,1340,1350,1450,1220,1040,810
CAR,320,470,200,120,60,,,,110,60,,100,100,120,120,90,130,110,120,140,120,100,90,140,120,80,120,120,150,100,180,240,200,120,130
QR,620,1060,550,280,710,,,,700,630,1220,540,530,550,530,480,480,410,480,490,450,390,400,570,510,400,390,400,540,450,610,630,520,430,360
CR,1120,1630,1080,710,1170,,,,1560,1450,1220,1140,1080,1110,1050,1070,1130,980,1020,1060,1020,970,980,1100,1060,760,790,840,1170,1140,1170,1240,1100,1010,920
PP,320,760,320,130,320,,,,340,190,80,130,130,150,140,120,150,130,140,150,120,110,90,150,130,100,140,130,150,110,190,250,200,150,130
RCLR,280,290,240,150,390,,,,370,460,,420,420,410,400,370,330,280,350,350,330,280,320,430,390,310,260,280,390,350,430,390,320,280,230
KP,50,220,30,-160,110,-630,-420,-430,270,220,120,80,50,70,30,40,70,-10,10,30,10,-20,-20,60,40,-200,-180,-130,110,90,100,130,60,10,-50
PKKO,-820,-6340,-900,2780,-1600,9610,420,7190,-4290,-2670,-3180,-720,-600,-800,-320,-610,-1370,160,-260,-550,-190,280,240,-870,-460,2560,2420,1850,-1640,-1280,-1310,-1770,-930,-110,1020
RN,34660,40450,26570,35620,19820,20930,16110,16930,20440,19200,18870,16520,14600,13820,13990,14450,15570,16830,16880,17760,17500,18110,19450,19510,18890,16900,16480,16219,16440,17420,16160,16520,16720,17110,20330
CRN,11000,9000,14000,10000,18000,17000,23000,22000,18000,19000,19000,22000,25000,26000,26000,25000,23000,22000,22000,21000,21000,20000,19000,19000,19000,22000,22000,22000,22000,21000,23000,22000,22000,21000,18000
