,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
KP,80,-100,-150,0,,360,540,250,,250,80,270,,100,100,120,,80,100,-10,,0,280,380,,360,250,280,520,-290,160,-490,-530,-280,-40,-120,-130,-170,-220,-250,-210,-300,-290,-10,-10,-210,-60
PKKO,80,-100,-130,0,,770,930,430,,400,360,390,,290,250,250,,180,230,-20,,-10,1840,2820,,4210,4890,6660,18690,-4390,2880,-7660,-8300,-6180,-1980,36090,4460,-31890,-86840,-90660,-51060,-107360,-96120,-2770,-3220,-42770,-14860
RN,3340,3690,4090,4420,4280,5100,5040,4960,5320,5370,5460,5160,6410,4910,4250,4350,4180,4820,5800,5470,5820,2640,1100,610,500,350,320,450,390,480,600,520,380,180,90,30,-30,50,50,50,50,50,50,50,60,90,130
CRN,109000,99000,89000,83000,85000,72000,72000,74000,69000,68000,67000,71000,57000,74000,86000,84000,87000,76000,63000,67000,63000,138000,332000,601000,728000,1046000,1129000,818000,937000,754000,608000,705000,970000,2033000,3900000,11759000,-12005000,6941000,6802000,7186000,7730000,7696000,7662000,7316000,6004000,4205000,2787000
CPZ,183000,204000,217000,214000,221000,204000,148000,149000,139000,110000,112000,90000,73000,92000,106000,105000,110000,101000,94000,169000,159000,277000,362000,399000,483000,631000,958000,1221000,1427000,1796000,1979000,2951000,3841000,6073000,11081000,29649000,-35795000,28609000,28418000,28698000,29197000,30535000,31488000,29738000,26056000,22537000,19627000
RZ,4180,4050,4050,3680,3280,3650,4210,5720,6180,7380,10660,9600,11720,7350,6360,5740,5590,5490,5540,5530,5320,5320,5740,6630,5720,6760,5220,4480,4220,4220,6030,8220,12880,8460,5010,780,,,,,,,,,,,
CRZ,87000,90000,90000,99000,111000,100000,87000,64000,59000,49000,34000,38000,31000,50000,57000,64000,65000,67000,66000,66000,69000,69000,64000,55000,64000,54000,70000,81000,86000,87000,60000,44000,28000,43000,73000,467000,,,,,,,,,,,
RMO,1760,1910,1970,1970,1910,1400,1180,1030,1100,1350,1630,1780,2210,2200,2110,2140,2060,2130,2160,1720,1830,1240,730,490,400,230,160,130,90,100,100,100,130,80,50,20,-10,10,20,20,20,20,20,20,20,20,20
RMT,3480,3180,2810,2410,2340,2100,2230,1940,2080,1870,660,640,800,730,980,840,800,720,650,610,650,540,510,460,380,310,200,150,140,140,160,180,210,140,90,30,-20,30,30,30,40,40,40,40,40,50,50
RM,1170,1190,1160,1090,1050,840,770,670,720,780,470,470,590,550,670,600,580,530,490,450,470,380,300,240,190,130,90,70,60,60,60,60,80,50,30,10,-10,10,10,10,10,10,10,10,10,10,10
COP,196000,189000,179000,182000,196000,172000,159000,138000,128000,117000,101000,109000,88000,124000,143000,148000,152000,143000,129000,133000,132000,207000,396000,656000,792000,1100000,1199000,899000,1023000,841000,668000,749000,998000,2076000,3973000,12226000,,,,,,,,,,,
CSP,13000,-15000,-38000,-32000,-25000,-32000,11000,-11000,-11000,7000,-11000,19000,15000,32000,37000,43000,42000,42000,35000,-36000,-27000,-70000,34000,257000,309000,469000,241000,-322000,-404000,-955000,-1311000,-2202000,-2843000,-3997000,-7108000,-17423000,,,,,,,,,,,
