,2013/Q4,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,
ShareAmountCurrent,1008000000,1008000000,1008000000,1102000000,1102000000,1102000000,1102000000,1102000000,1124100000,1124100000,1124100000,1124100000
ShareAmountCurrent_yy,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,
WKCurrent_yy,,483.29,98.07,,,152.57,,96.24,76.93,61.82,49.19,39.57
WKCurrent_sy,,,,,,,,,,,,
WKCurrent_qq,,,,,22.44,22.92,15.91,12.49,10.40,12.43,6.86,5.24
WKCurrent_sq,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,
CWKCurrent_yy,,-82.86,-49.51,,,-60.41,,-49.04,-43.48,-38.20,-32.97,-28.35
CWKCurrent_sy,,13.09,19.11,,,-19.32,,-1.22,-4.76,-8.29,2.57,14.45
CWKCurrent_qq,,,,,-18.33,-18.65,-13.73,-11.10,-9.42,-11.05,-6.42,-4.97
CWKCurrent_sq,,,,,15.75,17.85,-13.67,-16.12,11.60,13.47,-3.44,-6.41
WKGrahamCurrent,,,,,,,,,,,,
WKGrahamCurrent_yy,,161.01,62.66,,,-194.20,,-102.86,25.46,80.83,-1.95,-31.34
WKGrahamCurrent_sy,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,-35.38,3.22,-10.79,-39.75,50.26,75.11,-489.15,-80.03
WKGrahamCurrent_sq,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-61.69,-38.51,,,,,,,,,
CWKGrahamCurrent_sy,,11.96,-12.61,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,
PCurrent_yy,,357.69,26.80,,,217.24,,33.32,24.34,2.89,-4.10,15.87
PCurrent_sy,,,,,,,,,,,,
