,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CG,1070,2490,2360,860,840,900,900,890,920,960,1030,1170,1190,1710,1810,1810,1130,70,140,140,150,140,130,160,180,80,80,90,90,90,90,100,90,100,100,110,110,100,120,140,140,150,160,170,160,170,160,160,140,160,150,160
LDER,340,720,780,240,190,190,360,220,330,230,310,230,320,330,490,290,170,0,20,20,20,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,0,0,0,0,0,10,10,0,0,80
PZAT,3030,3690,3180,2570,3240,6160,3090,5210,3480,5240,3780,5750,4190,5790,4200,7040,7310,91820,10620,11180,11190,13640,29830,17290,13270,14420,11310,12400,11900,11890,13000,14140,16560,25960,27430,28580,33400,49280,30720,34620,30410,20090,123870,288150,66640,36150,33210,29330,29860,37080,38800,2160
PELDR,1080,700,690,1730,1660,1010,1080,1040,1040,1010,1000,910,880,790,750,730,720,560,3850,3800,3760,1640,1600,1580,1420,2060,2040,1950,1890,1850,1640,1560,1310,1250,1240,1300,1310,1290,1310,1360,1370,1350,1370,1420,1430,1430,1410,1370,1360,1210,1280,1500
TSF,650,490,530,670,650,620,710,640,690,620,640,570,600,490,530,460,550,410,900,900,890,890,890,880,870,930,930,930,930,930,930,920,930,920,920,910,910,910,900,880,880,880,860,860,860,860,860,860,880,860,870,920
ZKO,1610,4120,3650,770,760,1490,1400,1430,1430,1620,1450,1820,1750,2270,2500,2750,2340,140,160,160,170,270,260,300,380,140,150,160,160,160,200,230,290,360,370,340,330,330,360,370,370,390,400,380,370,380,380,400,380,540,450,390
OSF,1150,1420,1340,1030,1020,1140,1100,1110,1110,1220,1090,1230,1160,1160,1200,1310,1420,80,590,590,610,440,410,470,530,290,290,300,300,290,320,340,370,440,440,430,430,420,460,490,490,500,520,520,510,520,520,530,500,630,560,530
NetDebt,5281000000,7426000000,7597000000,-314000000,-4000000,60088000000,60431000000,62206000000,67190000000,76179000000,77928000000,86590000000,79647000000,88875000000,79213000000,88455000000,26311000000,-749000000,-10779000000,-10201000000,-9623000000,-1472000000,-3299000000,-2670000000,-1037000000,196000000,-11572000000,-10193000000,-9659000000,110000000,-6848000000,-5633000000,-2395000000,519000000,-752000000,-871000000,-1077000000,811000000,-964000000,-1471000000,-1450000000,1092000000,-1130000000,-1296000000,-1617000000,1178000000,-1530000000,-1242000000,-970000000,670000000,-1189000000,-2243000000
NetDebtEBITDA,1550,-2060,-2600,-230,0,113590,15190,19090,9850,5860,6890,50050,-28690,-38880,-24350,28950,15330,550,4019,3330,7630,690,1680,1420,520,-120,5890,4370,4059,-50,2790,2300,1050,-220,540,2340,-22440,960,-1870,-5430,-6500,35230,5160,10370,7320,-3100,2940,800,470,-140,270,590
DebtFin,-1479000000,788000000,-488000000,-5267000000,-5314000000,12648000000,-20766000000,16101000000,-13894000000,25033000000,-12482000000,26889000000,-9202000000,34119000000,-7888000000,32692000000,-9502000000,5000000,-8967000000,-8410000000,-7895000000,293000000,-1647000000,-1572000000,-892000000,267000000,-11238000000,-10372000000,-9813000000,199000000,-6805000000,-5758000000,-2232000000,439000000,-1470000000,-1429000000,-1747000000,848000000,-1879000000,-3021000000,-3008000000,1737000000,-2717000000,-2876000000,-2679000000,2035000000,-2601000000,-157000000,-1422000000,1605000000,-1670000000,-1356000000
DebtFinEBITDA,-430,-220,170,-3880,-2550,23910,-5220,4940,-2040,1920,-1100,15540,3310,-14930,2420,10700,-5540,0,3340,2740,6260,-140,840,840,450,-170,5720,4450,4130,-80,2770,2350,980,-190,1060,3830,-36400,1000,-3640,-11150,-13490,56030,12410,23010,12120,-5360,5000,100,690,-350,380,360
SP1,710,350,370,1340,1340,770,790,780,770,750,750,680,660,510,480,480,610,560,3770,3720,3690,1610,1590,1560,1390,2029,2000,1910,1850,1800,1600,1520,1270,1210,1210,1260,1270,1260,1280,1320,1330,1310,1320,1380,1380,1380,1360,1320,1310,1160,1230,1340
SP2,950,590,650,1660,1600,910,1070,950,1030,920,990,830,880,680,710,620,710,560,3850,3800,3760,1640,1600,1580,1420,2050,2029,1940,1880,1830,1620,1530,1290,1220,1210,1270,1280,1270,1280,1330,1340,1320,1330,1380,1380,1380,1360,1330,1310,1170,1230,1450
CAR,510,140,90,1480,1300,310,430,310,250,190,190,140,130,,120,,290,,4760,4520,4070,,970,830,480,,5620,4990,4870,,3440,2640,1220,,680,570,670,,620,820,810,,710,720,670,,660,600,450,,550,1740
QR,530,130,280,1650,1580,490,900,530,750,390,610,340,570,290,400,190,490,7190,7420,7340,6910,4120,4050,3620,2940,7900,8070,7280,7200,7150,5690,4820,3640,2810,2730,2880,2910,2880,2720,2640,2640,2550,2360,2470,2520,2530,2500,2360,2490,1670,2020,4330
CR,910,340,410,1810,1700,850,1190,930,1090,810,990,680,780,550,550,430,500,7210,7500,7390,6970,4130,4090,3660,3010,7980,8189,7410,7330,7330,5870,5010,3860,3030,2960,3090,3140,3100,2920,2810,2820,2730,2550,2660,2730,2730,2700,2570,2730,1910,2270,4760
PP,510,140,90,1480,1300,310,430,310,330,190,260,140,220,60,180,,380,1450,6890,6650,6110,1960,3000,2520,1720,1050,6980,6070,5970,1130,4500,3620,2330,870,1400,1380,1440,730,1350,1430,1420,750,1300,1330,1420,730,1410,1350,1330,820,1400,3110
RCLR,250,140,230,230,280,350,480,380,440,350,360,310,360,380,270,340,110,5740,520,680,790,2150,1020,1090,1200,6900,1160,1290,1320,6150,1310,1320,1470,2120,1490,1660,1650,2340,1510,1350,1370,1970,1210,1300,1280,1980,1260,1200,1390,1070,830,1600
KP,-30,-330,-280,270,240,-60,50,-30,30,-70,0,-140,-90,-230,-210,-300,-220,180,660,660,650,350,340,320,260,480,470,450,440,420,350,320,210,170,160,190,200,190,200,220,220,210,210,240,240,240,230,210,210,120,160,280
PKKO,-20,-200,-150,130,130,-240,110,-40,30,-60,0,-110,-70,-160,-150,-240,-120,760,-550,-220,-170,490,490,480,340,1290,1270,1110,1040,1030,860,810,510,430,440,570,630,670,730,840,880,790,740,800,850,870,880,840,830,460,740,1480
RN,17790,16440,17590,20140,21040,7300,8860,8960,9420,11050,11050,11200,11010,10200,10070,9100,9210,1070,-2940,-17150,-24650,6300,5470,5030,4810,2320,2240,2220,2190,2390,2330,2200,2160,3240,3150,2900,2630,2400,2150,2060,1950,1880,1870,1900,1860,1720,1610,1420,1280,1410,1410,1440
CRN,21000,22000,21000,18000,17000,50000,41000,41000,39000,33000,33000,33000,33000,36000,36000,40000,40000,343000,-124000,-21000,-15000,58000,67000,72000,76000,157000,163000,164000,167000,153000,157000,166000,169000,113000,116000,126000,139000,152000,170000,177000,187000,194000,195000,193000,197000,212000,227000,257000,285000,258000,259000,254000
CPZ,81000,101000,95000,84000,81000,149000,104000,103000,95000,82000,87000,91000,96000,102000,110000,119000,131000,1055000,-344000,-51000,-8000,57000,58000,58000,56000,58000,61000,61000,62000,63000,64000,68000,68000,72000,72000,74000,81000,85000,96000,106000,118000,126000,133000,132000,138000,146000,156000,179000,195000,210000,229000,215000
RZ,34650,21500,30160,44200,78240,12960,14080,13410,12980,13920,12010,12270,12900,15080,19680,22750,30120,4490,-13600,-599560,-819630,133110,145810,149200,146360,147090,166550,192430,287860,291950,338990,316350,324750,339300,303510,333060,312440,251750,286810,335720,425590,435720,586980,635710,413610,402730,294950,206650,,,,
CRZ,11000,17000,12000,8000,5000,28000,26000,27000,28000,26000,30000,30000,28000,24000,19000,16000,12000,81000,-27000,-1000,0,3000,3000,2000,2000,2000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,,,,
RMO,4940,5360,6880,6060,4860,2690,3360,3570,3830,4530,4420,4610,4670,4830,5200,5330,5480,620,-1550,-4830,-6330,980,1100,1320,1760,1310,1030,890,760,770,820,850,970,1150,1370,1530,1480,1400,1250,1160,1070,1030,1010,1020,990,940,870,760,700,700,670,630
RMT,2340,1820,2009,2580,3060,1390,1750,1780,1870,2190,2180,2210,2190,2190,2120,2009,1860,200,-560,-2490,-5870,2230,1770,1520,1360,1180,1030,940,850,810,770,710,650,590,570,550,540,530,510,510,500,510,520,550,560,550,520,440,390,340,300,290
RM,1590,1360,1560,1810,1880,910,1150,1190,1260,1470,1450,1480,1470,1500,1500,1450,1380,150,-400,-1610,-2950,680,680,710,770,620,510,460,400,390,400,390,390,390,400,410,400,390,360,350,340,340,340,360,360,350,320,280,250,230,210,200
COP,32000,39000,33000,26000,22000,78000,67000,68000,67000,59000,63000,63000,61000,60000,55000,56000,52000,424000,-151000,-22000,,61000,70000,74000,78000,159000,165000,166000,168000,154000,158000,167000,170000,114000,117000,127000,140000,153000,171000,178000,188000,195000,196000,194000,198000,213000,228000,259000,,,,
CSP,-49000,-62000,-62000,-58000,-59000,-71000,-37000,-35000,-28000,-23000,-24000,-28000,-35000,-42000,-55000,-63000,-79000,-631000,193000,29000,,4000,12000,16000,22000,101000,104000,105000,106000,91000,94000,99000,102000,42000,45000,53000,59000,68000,75000,72000,70000,69000,63000,62000,60000,67000,72000,80000,,,,
