,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent,10800,6740,7030,8480,8250,10930,10960,10230,10670,10190,9800,8970,9970,62520,861280,-63620,-59240,14250,11870,10770,10040,8970,7900,7990,8260,11200,12090,14880,11940,11360,13950,15330,21510,19570,22040,-20400,-23780,-18200,-27200,9400,9100,7790,8620,8100,7190,4680,3950,3840,3600,3840,4560,4330
DTAR,350,420,410,410,400,520,520,510,500,510,510,510,520,560,590,580,550,560,550,560,530,530,520,510,540,540,530,510,500,460,470,490,470,460,480,560,550,560,540,540,520,500,490,510,480,470,420,430,430,420,460,480
CG,550,850,810,800,760,1250,1240,1200,1140,1180,1180,1180,1210,1480,1700,1570,1430,1440,1390,1480,1260,1240,1220,1170,1320,1300,1210,1130,1070,920,940,1030,950,920,980,1370,1330,1400,1280,1300,1170,1080,1060,1120,990,980,800,840,820,790,850,950
LDER,250,330,320,300,280,480,510,440,420,560,570,500,550,260,280,800,740,690,580,550,530,490,360,420,460,490,450,460,380,350,310,330,280,300,350,570,560,660,530,480,550,460,440,440,400,360,310,300,290,280,320,330
PZAT,3570,3350,3370,3440,3510,2830,2600,2890,2990,2250,2130,2340,2170,5710,5780,1920,1970,2050,2420,2610,2480,2580,3280,2670,2590,2210,2240,2240,2530,2710,3050,2980,3320,3200,2800,1890,1910,1840,2200,2280,1880,2400,2540,2570,2690,2870,3100,3210,3240,3200,2860,2750
PELDR,1270,1070,1090,1140,1190,1010,1050,1040,1060,1160,1210,1200,1210,770,710,1070,1100,1090,1050,1000,1070,1060,1040,1210,1160,1290,1350,1340,1360,1340,1320,1300,1300,1260,1290,1370,1360,1240,1210,1250,1380,1180,1160,1170,1200,1200,1240,1240,1280,1300,1330,1370
TSF,790,670,670,660,670,610,630,610,620,670,680,650,670,480,450,660,670,660,630,590,640,630,580,620,600,620,630,660,640,680,650,630,630,660,660,640,650,670,650,620,690,670,670,650,670,660,690,670,670,680,710,680
ZKO,910,1130,1080,980,910,1410,1380,1310,1230,1230,1160,1130,1160,1500,1640,1510,1440,1410,1410,1430,1340,1300,1210,1140,1190,1060,1010,1020,950,940,930,960,920,970,990,1060,1060,1210,1180,1090,1030,1160,1180,1140,1100,1040,950,950,900,880,980,960
OSF,930,900,890,860,840,960,960,950,920,910,900,900,900,910,900,900,910,910,920,900,920,930,910,950,940,910,920,920,930,930,930,930,930,940,940,920,920,910,920,910,920,940,940,920,930,920,910,900,900,900,980,980
NetDebt,5230291000000,12747682000000,12926142000000,13128856000000,11859740000000,20979814000000,20734916000000,21101395000000,20043316000000,21863876000000,22085622000000,22977245000000,24085134000000,24842047000000,27374694000000,27475830000000,26129653000000,24258815000000,24457540000000,27109808000000,25095789000000,23864496000000,25081115000000,25684758000000,28805210000000,26230195000000,26577296000000,25013791000000,24637363000000,21745000000000,23756282000000,21872448000000,22448235000000,20946000000000,24456000000000,22914000000000,22921000000000,21540000000000,21417000000000,22023000000000,20376000000000,20739000000000,19513000000000,21701000000000,20293000000000,21105000000000,18895000000000,18337000000000,18346000000000,18775000000000,22839000000000,25279000000000
NetDebtEBITDA,1300,1900,1960,2470,2210,4480,4410,4280,4280,4340,4250,4120,4580,27970,408660,-31600,-27820,6630,5570,5630,4860,4300,3940,4130,4640,5900,6530,7350,6130,5080,6570,7120,10360,8810,10600,-9700,-11410,-7920,-11680,4330,3880,3330,3510,3650,3060,2190,1640,1640,1560,1690,2220,2380
