,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
QuoteCurrent,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
ShareAmountCurrent,8490000000,8490000000,8490000000,8490000000,8490000000,8490000000,8490000000,8490000000,11320000000,11320000000,11320000000,11320000000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000,25007500000
WKCurrent,680,650,1230,1310,1330,1210,0,1240,2250,2280,0,4320,2000,2040,0,2150,2160,2060,2520,2480,2490,2520,2570,2520,2530,2600,2640,2700,2700,2760,2830,2780,2770,2800,2780,2910,2820,2960,2990,-560
CWKCurrent,490,510,270,250,250,270,,270,150,140,,80,170,160,,150,150,160,130,130,130,130,130,130,130,130,120,120,120,120,120,120,120,120,120,110,120,110,110,
WKGrahamCurrent,140,110,680,660,680,590,0,120,1430,1270,0,1400,570,610,0,680,660,570,630,510,460,420,220,100,120,20,80,280,380,230,310,210,10,100,50,300,30,70,140,-1270
CWKGrahamCurrent,2420,2910,480,500,480,560,,2750,230,260,,240,580,540,,490,500,580,530,650,720,780,1510,3330,2650,15600,4059,1180,880,1450,1070,1550,54650,3350,6010,1090,12740,4580,2330,
PCurrent,2080,1920,2490,3180,3200,3100,3850,5880,5300,6750,7650,8860,4460,4980,6100,6640,6790,6810,5840,5280,5130,5330,5770,6440,6660,7740,8270,8420,8740,8860,9030,9060,9130,8840,8950,8820,8450,7800,7240,5730
CPCurrent,160,170,130,100,100,110,90,60,60,50,40,40,70,70,50,50,50,50,60,60,60,60,60,50,50,40,40,40,40,40,40,40,40,40,40,40,40,40,50,60
ZCurrent,170,200,220,110,90,10,-20,30,50,90,130,60,20,40,60,120,120,70,40,-20,-20,0,50,120,110,170,150,160,200,170,180,80,10,-10,-70,80,80,160,170,-3280
CZCurrent,1920,1640,1470,2910,3590,32960,,12020,6440,3530,2610,5480,20080,7900,5200,2770,2730,4490,7610,,,,7260,2810,3000,1890,2170,2009,1680,1920,1800,4290,25150,,,3920,4320,2070,1990,
