,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_qq,,,14.29,-48.75,,,-56.76,-35.42,,,,,,,137.43,,,,,,,,,,,,,,,,,-8.02,2.49,6.07,48.47,0.26,0.51,0.64,-1.14,,-0.50,-45.73,373.72,,,
CWKGrahamCurrent_sq,,,375.69,-98.93,,,40.36,20.93,,,,,,,3.94,,,,,,,,,,,,,,,,,14.28,-16.73,1.16,-7.60,-18.71,16.82,14.95,-2.23,,14.49,44.71,-14.99,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,-83.06,,,,-100.00,78.07,-100.00,100.00,,2414.79,,,,14.98,-46.78,-70.98,-83.99,-21.61,-36.42,-46.94,-47.71,-44.57,-46.44,-39.42,-39.02,-51.64,-66.32,-93.16,-100.00,-100.00,-100.00,-100.00,,,,,,343.03,,,,,-25.21,696.89,479.40
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,-257.83,132.40,-339.90,100.00,,100.00,,,,133.21,81.73,56.65,-82.68,7.94,-0.90,-13.59,-15.19,-12.46,-17.30,-14.84,-10.11,-15.41,-6.45,-14.27,-28.71,-41.09,-81.00,-100.00,,,,,,89.70,69.65,40.77,-2.21,,-84.32,79.66,-19.03,227.77,67.12,30.63
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,490.08,,,,,,,,,,,,,-12.50,90.24,239.13,506.67,27.38,56.41,89.74,91.21,80.37,86.89,64.86,63.79,106.74,197.37,1361.89,,,,,,,,,,-77.46,,,,,33.69,-87.45,-82.73
CPCurrent_sy,,94.98,,,,,,,,,,,,,136.27,27.56,-32.32,-12.98,-19.04,39.59,75.20,-24.21,-3.42,-41.29,-53.78,28.49,-48.33,-26.26,-25.16,,,,,,,,,,-16.64,,,,,14.95,-11.02,31.06
CPCurrent_qq,,,,,,,,,,,,-57.29,-43.90,-34.78,460.00,-7.14,,16.67,17.58,14.02,21.31,17.57,10.92,18.13,7.02,16.80,40.00,69.92,426.11,,,,,,,-47.36,-41.00,-29.01,2.26,,537.32,-44.36,23.57,-69.49,-40.16,-23.44
CPCurrent_sq,,,,,,,,,,,,22.47,81.37,-44.68,92.30,-33.88,,-28.88,78.92,13.99,20.78,-69.23,127.99,-30.71,-4.92,-14.46,-8.32,-1.11,-3.50,,,,,,,-3.08,-5.76,-15.02,7.40,,22.79,34.64,-17.84,-15.37,-4.95,98.30
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,133.79,,,,725.33,1877.21,1088.98,-112.59,-172.48,-130.74,-121.00,218.33,220.98,122.42,135.75,-84.00,-99.63,-154.67,-218.62,-782.97,-12628.69,-345.99,-93.26,-56.97,80.99,103.02,83.71,90.66,110.31,-422.29,1106.40,-305.01,-1360.39,-530.31,-248.77,-49.54,-46.19,87.51,,,,,106.18,108.57,107.90
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-6.76,32.44,602.04,-4.80,123.38,-20.36,-107.43,-448.14,5.26,45.59,141.87,460.42,-82.45,-13.23,-81.26,-86.89,-2663.35,-88.25,-7.93,-140.57,8.75,18.42,12.34,70.87,114.49,-540.42,49.76,132.15,-553.08,1475.28,-120.22,-0.05,-126.58,-224.60,79.68,2.19,80.64,,2.92,5.38,-1.27,106.64,34.78,-12.81
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
