,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,96300000000,105920000000,105920000000,105920000000,105920000000,105920000000,105920000000,105920000000,105920000000,105920000000,105920000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,88.67,,24.72,,,,-5.48,-6.13,-18.51,,-0.57,-1.03,31.75,26.71,21.09,20.61,15.76,13.53,10.03,-3.44,11.45,-0.56,-37.42,-22.56,-35.71,-30.19,8.48,-7.18,-3.12
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,6.27,-6.70,-100.00,,5.53,-19.00,8.54,7.17,5.05,7.82,4.39,2.41,4.63,3.49,2.38,-0.75,-8.18,19.45,-8.65,-37.54,13.64,-0.84,-0.81,-2.95,-2.77,3.50
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
