,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
ShareAmountCurrent,3985428000,4195733000,4195733000,4195733000,4195731000,4195731000,4195731000,4195731000,4195731000,4195731000,46108506000,46108506000,46108506000,46108506000,46108506000,46108506000,46108506000,46108506000,46108506000,46108506000,46108506000
WKCurrent,8840,5370,1690,330,220,550,4410,100,-960,-830,570,620,680,690,980,1070,1020,1030,650,660,580
CWKCurrent,420,690,2180,11080,16520,6730,840,37320,,,6470,6010,5430,5400,3780,3460,3630,3580,5730,5610,6430
WKGrahamCurrent,-42160,-39820,-41210,-42010,-8410,-2870,900,-2940,-3010,-870,-100,-20,-100,-270,550,580,350,430,350,360,270
CWKGrahamCurrent,,,,,,,4110,,,,,,,,6680,6390,10620,8570,10680,10300,13540
PCurrent,5700,7520,8770,8189,7570,5580,28850,28000,25220,25230,4530,5700,6440,7280,3530,3120,3590,3710,3780,3490,2960
CPCurrent,650,490,420,450,490,660,130,130,150,150,820,650,570,510,1050,1180,1030,1000,980,1060,1250
ZCurrent,-8370,-6740,-7390,-7340,-6500,-4760,180,1440,690,490,-40,20,150,150,140,110,90,100,100,90,40
CZCurrent,,,,,,,20210,2570,5390,7550,,240620,23910,25040,27280,32290,42740,38140,37740,41290,91620
ZOCurrent,-6050,-4240,-4390,-4550,-5220,-4850,560,1510,1540,1830,170,270,370,410,150,90,120,130,150,150,110
CZOCurrent,,,,,,,6640,2460,2400,2020,21300,13760,9920,9070,24400,39860,30910,28760,24080,25220,34150
EVCurrent,31310,32520,32270,32810,7480,4640,7800,4600,4710,3860,3970,4200,4160,4280,4070,4380,4400,4270,4170,4050,4140
EVPCurrent,5490,4320,3680,4010,990,830,270,160,190,150,880,740,650,590,1150,1400,1220,1150,1100,1160,1400
EVEBITCurrent,-5170,-7660,-7350,-7210,-1430,-960,14000,3060,3060,2110,22840,15620,11140,10490,26840,47170,36750,33230,27130,27590,38230
EVEBITDACurrent,-9570,-20080,-18220,-16850,-2880,-1640,13300,4860,12320,6350,22440,15740,11360,10660,26480,46270,36210,32770,26820,27290,37690
DTAR,820,890,960,990,990,850,780,970,1430,4650,810,720,710,720,650,630,670,630,720,660,710
CG,5010,8240,26160,134550,41580,5640,3480,32130,-3350,-1270,4200,2510,2420,2510,1820,1670,2060,1730,2560,1950,2400
LDER,10,20,50,260,380,,800,,,,630,530,260,200,130,120,130,120,230,220,250
PZAT,567030,492710,495090,491640,98940,,10,,,,20,20,40,40,40,50,50,60,50,50,100
PELDR,410,380,300,270,500,,2270,,,,1380,1480,1100,860,2600,2530,1710,1930,2650,2790,2480
TSF,170,110,40,10,30,,400,,,,310,430,370,340,400,420,370,410,350,410,370
ZKO,21220,9970,14150,15400,10330,13560,940,12940,15140,5690,1050,1010,1060,1190,760,760,860,810,830,780,840
OSF,3630,1190,560,120,270,2180,1190,420,-7110,-114270,880,980,930,850,1760,1650,1300,1380,1780,1720,1590
NetDebt,175888000000,181440000000,183916000000,187899000000,38972000000,12981000000,55745000000,13272000000,13517000000,4147000000,94382000000,70945000000,70220000000,76878000000,48934000000,64017000000,75567000000,62195000000,65854000000,50152000000,58722000000
NetDebtEBITDA,-13480,-26700,-24750,-23000,-3570,-1100,22660,3340,8430,1630,11580,5770,4160,4160,6900,14670,13490,10340,9190,7340,11590
DebtFin,110027000000,120940000000,119887000000,122141000000,15841000000,3926000000,17201000000,3791000000,4232000000,671000000,12350000000,23036000000,20989000000,26588000000,17097000000,31278000000,32219000000,26502000000,21582000000,15999000000,20374000000
DebtFinEBITDA,-8440,-17800,-16140,-14950,-1450,-330,6990,950,2640,260,1510,1870,1240,1440,2410,7170,5750,4410,3010,2340,4019
SP1,170,120,40,10,30,160,1260,30,-470,-20090,850,970,870,720,2310,2180,1520,1720,2160,2200,1900
SP2,170,120,40,10,40,160,2270,30,-470,-20090,1380,1480,1100,860,2600,2440,1710,1930,2650,2670,2380
CAR,0,0,10,0,0,0,170,10,0,70,170,10,80,30,200,10,30,30,100,150,90
QR,-260,-190,-210,-220,-330,-230,1360,-210,-200,180,1110,1230,1040,900,1400,1390,1230,1320,1310,1390,1290
CR,50,100,70,70,100,70,1380,80,70,180,1120,1250,1050,920,1410,1430,1240,1340,1330,1440,1340
PP,0,20,10,0,0,0,170,10,0,70,170,10,90,40,440,240,230,270,150,180,90
RCLR,20,50,30,20,80,60,990,50,50,90,480,830,620,590,680,850,790,790,900,840,890
KP,-780,-800,-890,-930,-890,-790,230,-890,-1330,-3830,90,140,30,-60,250,250,150,200,220,260,210
PKKO,-7270,-6160,-5590,-5980,-1220,-560,160,-110,-120,-40,60,60,10,-20,210,240,140,160,140,150,150
RN,7340,3130,4019,4420,5450,6290,8410,8740,8270,8330,17790,11320,8840,7600,3550,2850,2860,2750,2680,2700,2510
CRN,50000,117000,91000,83000,67000,58000,43000,42000,44000,44000,21000,32000,41000,48000,103000,128000,128000,133000,136000,135000,145000
CPZ,2826000,2145000,1841000,1970000,1719000,1660000,218000,89000,77000,70000,55000,59000,69000,79000,154000,186000,174000,171000,164000,164000,171000
RZ,8650,8140,9170,8880,10430,11160,62470,358390,359370,279820,366520,308330,257779,304560,172170,150120,153460,143310,139890,126910,114330
CRZ,42000,45000,40000,41000,35000,33000,6000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,3000,3000
RMO,2730,1700,2140,2170,2660,3110,5690,6360,5960,5980,7680,5910,4780,4270,2060,1620,1670,1580,1670,1680,1570
RMT,110,160,190,190,220,230,2000,6060,8390,11690,15860,15180,12290,9550,5040,4710,5650,6790,7330,7450,7870
RM,110,150,180,170,200,210,1480,3100,3490,3960,5180,4250,3440,2950,1460,1210,1290,1290,1360,1370,1310
COP,92000,162000,131000,124000,102000,91000,49000,43000,45000,45000,22000,33000,42000,49000,105000,130000,130000,136000,139000,138000,148000
CSP,-2734000,-1983000,-1710000,-1846000,-1617000,-1569000,-169000,-46000,-32000,-25000,-33000,-26000,-27000,-30000,-49000,-56000,-44000,-35000,-25000,-26000,-23000
