,2012/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,720,720,720,720,720,720,720,720,720,720,720,720
ShareAmountCurrent,145642482000,145642482000,145642482000,145642482000,160054247000,171818953000,171818953000,171818953000,171818953000,171818953000,171818953000,171818953000
WKCurrent,30,110,100,130,150,140,140,140,130,150,210,210
CWKCurrent,25120,6760,6990,5430,4860,5090,5210,5260,5350,4900,3470,3500
WKGrahamCurrent,-20,-40,-60,-40,-10,-20,-30,-40,-50,60,40,50
CWKGrahamCurrent,,,,,,,,,,11960,19420,14980
PCurrent,0,0,0,0,0,0,0,0,0,0,0,0
CPCurrent,,,,4033180,4268110,2170340,2170340,3990630,4123649,,1275360,521980
ZCurrent,0,-10,-10,-20,-20,-10,-10,-10,-10,0,10,0
CZCurrent,,,,,,,,,,194820,116490,163640
ZOCurrent,0,-10,-10,-10,-20,-10,-20,-10,-10,10,10,10
CZOCurrent,,,,,,,,,,113080,103180,116050
EVCurrent,720,750,770,740,720,730,740,750,760,700,720,720
EVPCurrent,,,,4158060,4273040,2206980,2242700,4159790,4349890,,1271610,521419
EVEBITCurrent,-213560,-103900,-87230,-57410,-46500,-54220,-48200,-57650,-62740,109960,102870,115930
EVEBITDACurrent,-213560,-104900,-87920,-57720,-46750,-54580,-48530,-58140,-63410,108270,101860,114960
DTAR,410,320,390,380,130,160,240,270,300,110,150,180
CG,680,470,640,610,150,190,310,380,430,130,180,210
LDER,510,340,540,510,80,160,270,350,390,80,130,130
PZAT,,70,40,40,160,80,50,30,20,90,40,30
PELDR,910,950,990,1190,1000,3940,3440,3350,3110,1830,1380,1480
TSF,890,910,930,930,940,980,970,980,970,960,960,930
ZKO,33960,7210,7110,1780,2630,4100,5280,5750,15170,240,500,480
OSF,20420,5120,4580,1400,2400,13880,14360,14270,33980,410,610,620
NetDebt,2823014000,6988000000,9214000000,6104000000,3132000000,4238000000,6594000000,7893000000,9698000000,-8172000000,-2156000000,-133000000
NetDebtEBITDA,-5750,-6700,-7230,-3260,-1270,-1840,-2500,-3560,-4710,-7360,-1780,-120
DebtFin,-29850000,4547000000,7233000000,3247000000,133000000,2088000000,4124000000,5244000000,6787000000,-3418000000,-363000000,-132000000
DebtFinEBITDA,60,-4360,-5670,-1730,-50,-910,-1570,-2360,-3300,-3080,-300,-120
SP1,600,710,640,790,920,3390,2720,2480,2240,1690,1220,1310
SP2,910,950,990,1190,990,3940,3440,3350,3110,1830,1380,1480
CAR,40,170,280,2820,260,620,710,1620,170,2850,210,50
QR,110,310,610,3120,650,1350,1180,2370,740,11260,7250,5470
CR,110,480,830,3280,850,1600,1360,2680,770,11330,7370,5470
PP,40,170,280,2820,260,620,710,1620,170,9520,4940,2660
RCLR,70,200,400,360,460,720,470,740,570,1750,2310,1380
KP,-90,-50,-10,150,-10,10,10,30,-10,430,260,300
PKKO,,110000,27900,-462500,17850,-28670,-20280,-50630,8640,-729120,-920580,-1436220
RN,,,,40,40,90,90,60,60,,60,90
CRN,,,,8792000,8466000,4173000,3906000,6317000,5785000,,6584000,4072000
CPZ,,,,27249000,24901000,9544000,8555000,11447000,9569000,,4087000,2566000
RZ,,,,,,,,,,,,
CRZ,,,,,,,,,,,,
RMO,,,,10,10,20,20,20,30,,10,20
RMT,,,,0,0,0,0,0,0,,10,10
RM,,,,0,0,0,0,0,0,,0,10
COP,,,,,,,,,,,,
CSP,,,,,,,,,,,,
