,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
ShareAmountCurrent,5277364000,5277364000,5277364000,5277364000,5277364000,5277364000,5277364000,5277364000,5277364000,5800000000,5800000000,5800000000,5800000000,5800000000,5800000000,5800000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,6380000000,14347711000,14347711000,14347711000,14347711000,14347711000,22847711000,22847711000,22847711000,22847711000
WKCurrent,140,230,350,490,510,440,450,480,600,1190,1280,1520,0,1830,1960,2020,2610,2670,2680,2690,3130,3250,3280,3450,3610,3660,3750,3740,3760,3670,6690,3250,3540,3850,3970,4160,4760,4870,4820,4630
CWKCurrent,20080,12360,8300,5930,5700,6530,6490,6040,4820,2430,2260,1900,,1590,1480,1440,1110,1090,1080,1080,930,890,890,840,800,790,770,780,770,790,430,890,820,750,730,700,610,600,600,630
WKGrahamCurrent,-60,-710,-1050,-890,-830,-960,-910,-850,-700,-40,-170,-530,0,-480,-1440,-1400,-490,-500,-390,-310,-850,-1230,-1390,-1890,-2160,-2440,-2450,-2310,-1690,-1540,-14000,-6000,-5630,-4710,-4420,-4460,-1100,-920,-810,-1140
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,1500,1930,2620,2520,2480,2440,2440,2890,3660,3910,4590,5440,6650,8090,9070,9560,8350,7760,7310,6920,7780,8500,9160,10280,10280,10230,10210,9760,9680,9820,11410,7530,9970,12310,14110,14610,9590,9870,9930,10160
CPCurrent,1930,1500,1110,1150,1170,1190,1190,1000,790,740,630,530,440,360,320,300,350,370,400,420,370,340,320,280,280,280,280,300,300,300,250,380,290,240,210,200,300,290,290,290
ZCurrent,50,90,40,0,-40,90,100,90,190,200,290,500,650,740,780,600,410,330,220,180,530,600,610,770,480,410,470,350,210,70,-320,-80,180,570,840,940,570,460,340,230
CZCurrent,62210,31430,76910,1093170,,30550,30370,33050,15350,14680,10140,5850,4470,3930,3710,4840,7120,8880,13430,16550,5520,4860,4770,3780,6000,7070,6170,8180,13980,40490,,,15890,5060,3470,3070,5110,6330,8610,12740
