,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,-17.33,-34.12,-39.19,,,,-86.60,-83.23,12.60,,9.05,1.27,-7.47,,-6.47,-4.14,13.11,,31.57,33.68,19.25,,-1.62,-5.54,4.06,,16.85,20.05,11.35,,-2.26,1.39,6.96,6.86,10.85,10.84,0.85,-8.15,-20.73,-20.49,-1.60,9.54,28.71,34.60,19.75,10.60,26.55,21.14,15.39
CWKGrahamCurrent_sy,15.94,-49.76,-10.56,,,,-58.56,-45.12,-24.11,,-21.07,-25.30,-10.03,,-3.99,-13.40,-10.33,,15.36,-3.95,8.99,,30.57,71.38,9.49,,13.17,-17.89,-4.85,,-12.02,-5.78,-9.72,-32.54,-10.57,-3.02,6.59,30.97,7.70,-16.55,-0.41,-7.61,-0.19,43.59,19.73,14.58,19.10,16.89,18.55
CWKGrahamCurrent_qq,,,,-14.64,-83.26,,,6.82,12.44,,,-0.80,2.73,,,1.68,21.21,,,3.30,8.13,,,-0.82,19.13,,,1.89,10.49,-2.84,-10.65,5.70,16.56,-2.93,-7.31,5.70,6.05,-11.59,-20.00,6.01,31.25,-1.58,-6.01,10.86,16.76,-9.10,7.54,6.13,11.22
CWKGrahamCurrent_sq,,,,-14.64,-35.99,,,13.04,-11.49,,,6.98,6.61,,,-3.51,10.39,,,-19.66,25.25,,,5.45,-19.98,,,-23.49,-7.27,22.17,1.51,-18.07,-11.15,-8.70,34.55,-11.15,-2.34,12.17,10.65,-31.16,16.55,4.06,19.54,-0.96,-2.81,-0.42,24.25,-2.79,-1.44
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,59.23,13.46,103.94,,,,-14.01,-29.76,-1.95,8.15,21.00,19.22,26.50,11.60,-10.47,-10.60,-18.53,-14.72,6.01,20.74,45.93,61.83,61.10,52.09,25.87,13.74,11.42,8.66,16.79,19.50,4.59,5.41,-2.72,-15.03,-10.81,-7.96,8.06,44.37,78.98,70.23,45.55,6.42,-27.09,-28.62,-24.10,-7.39,13.62,19.07,19.06
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,19.78,-28.56,0.27,0.22,-2.16,-0.27,10.60,12.13,-3.60,5.82,-2.43,-10.04,-3.75,-3.57,2.14,11.83,9.62,16.55,13.27,11.32,3.50,-3.54,2.35,9.05,0.93,3.67,4.73,-4.56,1.72,-4.33,-8.52,0.19,4.97,12.33,22.21,24.21,-0.17,-3.96,-10.64,-14.90,-2.26,2.11,9.04,4.41,2.43,2.10
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
